,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,fbxa-79,Unkn,D0,75.5
,A02,SYBR,fbxa-79,Unkn,D0,77
,A03,SYBR,fbxa-79,Unkn,D0,77
,A04,SYBR,ugt-29,Unkn,D0,77
,A05,SYBR,ugt-29,Unkn,D0,77
,A06,SYBR,ugt-29,Unkn,D0,77
,A07,SYBR,fbxc-58,Unkn,D0,68.5
,A07,SYBR,fbxc-58,Unkn,D0,76
,A08,SYBR,fbxc-58,Unkn,D0,76
,A08,SYBR,fbxc-58,Unkn,D0,68
,A09,SYBR,fbxc-58,Unkn,D0,68.5
,A09,SYBR,fbxc-58,Unkn,D0,76
,A10,SYBR,fbxa-128,Unkn,D0,75
,A11,SYBR,fbxa-128,Unkn,D0,75
,A12,SYBR,fbxa-128,Unkn,D0,None
,B01,SYBR,fbxa-79,Unkn,D1,77
,B02,SYBR,fbxa-79,Unkn,D1,77
,B03,SYBR,fbxa-79,Unkn,D1,77
,B04,SYBR,ugt-29,Unkn,D1,77
,B05,SYBR,ugt-29,Unkn,D1,77
,B06,SYBR,ugt-29,Unkn,D1,77
,B07,SYBR,fbxc-58,Unkn,D1,68.5
,B08,SYBR,fbxc-58,Unkn,D1,68.5
,B09,SYBR,fbxc-58,Unkn,D1,68.5
,B10,SYBR,fbxa-128,Unkn,D1,75.5
,B11,SYBR,fbxa-128,Unkn,D1,75.5
,B12,SYBR,fbxa-128,Unkn,D1,75.5
,C01,SYBR,fbxa-79,Unkn,D2,76.5
,C02,SYBR,fbxa-79,Unkn,D2,77
,C03,SYBR,fbxa-79,Unkn,D2,77
,C04,SYBR,ugt-29,Unkn,D2,76.5
,C05,SYBR,ugt-29,Unkn,D2,77
,C06,SYBR,ugt-29,Unkn,D2,77
,C07,SYBR,fbxc-58,Unkn,D2,69
,C08,SYBR,fbxc-58,Unkn,D2,69
,C09,SYBR,fbxc-58,Unkn,D2,69
,C10,SYBR,fbxa-128,Unkn,D2,75.5
,C11,SYBR,fbxa-128,Unkn,D2,75.5
,C12,SYBR,fbxa-128,Unkn,D2,75.5
,D01,SYBR,fbxa-79,Unkn,D3,77.5
,D02,SYBR,fbxa-79,Unkn,D3,77
,D03,SYBR,fbxa-79,Unkn,D3,77.5
,D04,SYBR,ugt-29,Unkn,D3,77
,D05,SYBR,ugt-29,Unkn,D3,77
,D06,SYBR,ugt-29,Unkn,D3,76.5
,D07,SYBR,fbxc-58,Unkn,D3,69
,D08,SYBR,fbxc-58,Unkn,D3,69
,D09,SYBR,fbxc-58,Unkn,D3,69
,D10,SYBR,fbxa-128,Unkn,D3,75.5
,D11,SYBR,fbxa-128,Unkn,D3,75.5
,D12,SYBR,fbxa-128,Unkn,D3,75.5
,E01,SYBR,fbxa-79,Unkn,D4,77.5
,E02,SYBR,fbxa-79,Unkn,D4,77.5
,E03,SYBR,fbxa-79,Unkn,D4,77.5
,E04,SYBR,ugt-29,Unkn,D4,77
,E05,SYBR,ugt-29,Unkn,D4,77
,E06,SYBR,ugt-29,Unkn,D4,77
,E07,SYBR,fbxc-58,Unkn,D4,69
,E08,SYBR,fbxc-58,Unkn,D4,69
,E09,SYBR,fbxc-58,Unkn,D4,69
,E10,SYBR,fbxa-128,Unkn,D4,75.5
,E11,SYBR,fbxa-128,Unkn,D4,75.5
,E12,SYBR,fbxa-128,Unkn,D4,75.5
,F01,SYBR,fbxa-79,Unkn,D5,77.5
,F02,SYBR,fbxa-79,Unkn,D5,77.5
,F03,SYBR,fbxa-79,Unkn,D5,77
,F04,SYBR,ugt-29,Unkn,D5,71
,F05,SYBR,ugt-29,Unkn,D5,71
,F06,SYBR,ugt-29,Unkn,D5,71
,F07,SYBR,fbxc-58,Unkn,D5,69
,F08,SYBR,fbxc-58,Unkn,D5,69
,F09,SYBR,fbxc-58,Unkn,D5,69
,F10,SYBR,fbxa-128,Unkn,D5,75.5
,F11,SYBR,fbxa-128,Unkn,D5,75.5
,F12,SYBR,fbxa-128,Unkn,D5,75.5
