,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,fbxa-79,Unkn,D0,,16.2193910188643,16.2193910188643,0,NaN,NaN,NaN,0,68,
,A02,SYBR,fbxa-79,Unkn,D0,,15.901608048747,15.901608048747,0,NaN,NaN,NaN,0,68,
,A03,SYBR,fbxa-79,Unkn,D0,,16.1182725597881,16.1182725597881,0,NaN,NaN,NaN,0,68,
,A04,SYBR,ugt-29,Unkn,D0,,13.5641609085576,13.5641609085576,0,NaN,NaN,NaN,0,68,
,A05,SYBR,ugt-29,Unkn,D0,,13.7416699879006,13.7416699879006,0,NaN,NaN,NaN,0,68,
,A06,SYBR,ugt-29,Unkn,D0,,13.6429207125392,13.6429207125392,0,NaN,NaN,NaN,0,68,
,A07,SYBR,fbxc-58,Unkn,D0,,13.0323245052811,13.0323245052811,0,NaN,NaN,NaN,0,68,
,A08,SYBR,fbxc-58,Unkn,D0,,12.8976860218271,12.8976860218271,0,NaN,NaN,NaN,0,68,
,A09,SYBR,fbxc-58,Unkn,D0,,12.8700087350852,12.8700087350852,0,NaN,NaN,NaN,0,68,
,A10,SYBR,fbxa-128,Unkn,D0,,13.3594425282145,13.3594425282145,0,NaN,NaN,NaN,0,68,
,A11,SYBR,fbxa-128,Unkn,D0,,13.3633088566561,13.3633088566561,0,NaN,NaN,NaN,0,68,
,A12,SYBR,fbxa-128,Unkn,D0,,13.8603156435991,13.8603156435991,0,NaN,NaN,NaN,0,68,
,B01,SYBR,fbxa-79,Unkn,D1,,20.3932478541945,20.3932478541945,0,NaN,NaN,NaN,0,68,
,B02,SYBR,fbxa-79,Unkn,D1,,20.3730395046709,20.3730395046709,0,NaN,NaN,NaN,0,68,
,B03,SYBR,fbxa-79,Unkn,D1,,20.2496467175902,20.2496467175902,0,NaN,NaN,NaN,0,68,
,B04,SYBR,ugt-29,Unkn,D1,,19.2228336622552,19.2228336622552,0,NaN,NaN,NaN,0,68,
,B05,SYBR,ugt-29,Unkn,D1,,19.3322912380854,19.3322912380854,0,NaN,NaN,NaN,0,68,
,B06,SYBR,ugt-29,Unkn,D1,,19.3375443806216,19.3375443806216,0,NaN,NaN,NaN,0,68,
,B07,SYBR,fbxc-58,Unkn,D1,,17.7977661258892,17.7977661258892,0,NaN,NaN,NaN,0,68,
,B08,SYBR,fbxc-58,Unkn,D1,,17.3732545156407,17.3732545156407,0,NaN,NaN,NaN,0,68,
,B09,SYBR,fbxc-58,Unkn,D1,,17.575998123507,17.575998123507,0,NaN,NaN,NaN,0,68,
,B10,SYBR,fbxa-128,Unkn,D1,,17.6113018522325,17.6113018522325,0,NaN,NaN,NaN,0,68,
,B11,SYBR,fbxa-128,Unkn,D1,,17.4746054098373,17.4746054098373,0,NaN,NaN,NaN,0,68,
,B12,SYBR,fbxa-128,Unkn,D1,,17.8031590468833,17.8031590468833,0,NaN,NaN,NaN,0,68,
,C01,SYBR,fbxa-79,Unkn,D2,,24.0558646030536,24.0558646030536,0,NaN,NaN,NaN,0,68,
,C02,SYBR,fbxa-79,Unkn,D2,,23.7768054735497,23.7768054735497,0,NaN,NaN,NaN,0,68,
,C03,SYBR,fbxa-79,Unkn,D2,,23.703093940439,23.703093940439,0,NaN,NaN,NaN,0,68,
,C04,SYBR,ugt-29,Unkn,D2,,21.6657513763828,21.6657513763828,0,NaN,NaN,NaN,0,68,
,C05,SYBR,ugt-29,Unkn,D2,,21.5807344656074,21.5807344656074,0,NaN,NaN,NaN,0,68,
,C06,SYBR,ugt-29,Unkn,D2,,21.6083725300011,21.6083725300011,0,NaN,NaN,NaN,0,68,
,C07,SYBR,fbxc-58,Unkn,D2,,20.3675038471565,20.3675038471565,0,NaN,NaN,NaN,0,68,
,C08,SYBR,fbxc-58,Unkn,D2,,20.3407562188608,20.3407562188608,0,NaN,NaN,NaN,0,68,
,C09,SYBR,fbxc-58,Unkn,D2,,20.2682253301509,20.2682253301509,0,NaN,NaN,NaN,0,68,
,C10,SYBR,fbxa-128,Unkn,D2,,21.3833005786897,21.3833005786897,0,NaN,NaN,NaN,0,68,
,C11,SYBR,fbxa-128,Unkn,D2,,21.4273269931144,21.4273269931144,0,NaN,NaN,NaN,0,68,
,C12,SYBR,fbxa-128,Unkn,D2,,21.7007318968218,21.7007318968218,0,NaN,NaN,NaN,0,68,
,D01,SYBR,fbxa-79,Unkn,D3,,27.7229148472072,27.7229148472072,0,NaN,NaN,NaN,0,68,
