,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,fbxa-79,Unkn,D1,None
,A02,SYBR,fbxa-79,Unkn,D1,None
,A03,SYBR,fbxa-79,Unkn,D1,None
,A04,SYBR,ugt-31,Unkn,D1,77.5
,A05,SYBR,ugt-31,Unkn,D1,77
,A06,SYBR,ugt-31,Unkn,D1,77.5
,A07,SYBR,t22f3.3,Unkn,D1,76
,A08,SYBR,t22f3.3,Unkn,D1,75.5
,A09,SYBR,t22f3.3,Unkn,D1,76
,A10,SYBR,cest-34,Unkn,D1,75
,A11,SYBR,cest-34,Unkn,D1,68
,A12,SYBR,cest-34,Unkn,D1,None
,B01,SYBR,fbxa-79,Unkn,D2,None
,B02,SYBR,fbxa-79,Unkn,D2,None
,B03,SYBR,fbxa-79,Unkn,D2,73.5
,B04,SYBR,ugt-31,Unkn,D2,77.5
,B05,SYBR,ugt-31,Unkn,D2,77.5
,B06,SYBR,ugt-31,Unkn,D2,77.5
,B07,SYBR,t22f3.3,Unkn,D2,76
,B08,SYBR,t22f3.3,Unkn,D2,76
,B09,SYBR,t22f3.3,Unkn,D2,75.5
,B10,SYBR,cest-34,Unkn,D2,75.5
,B11,SYBR,cest-34,Unkn,D2,75.5
,B12,SYBR,cest-34,Unkn,D2,66.5
,C01,SYBR,fbxa-79,Unkn,D3,None
,C02,SYBR,fbxa-79,Unkn,D3,None
,C03,SYBR,fbxa-79,Unkn,D3,None
,C04,SYBR,ugt-31,Unkn,D3,77.5
,C05,SYBR,ugt-31,Unkn,D3,77.5
,C06,SYBR,ugt-31,Unkn,D3,77.5
,C07,SYBR,t22f3.3,Unkn,D3,76
,C08,SYBR,t22f3.3,Unkn,D3,75.5
,C09,SYBR,t22f3.3,Unkn,D3,75.5
,C10,SYBR,cest-34,Unkn,D3,75.5
,C11,SYBR,cest-34,Unkn,D3,75.5
,C12,SYBR,cest-34,Unkn,D3,75.5
,D01,SYBR,fbxa-79,Unkn,D4,72.5
,D02,SYBR,fbxa-79,Unkn,D4,None
,D03,SYBR,fbxa-79,Unkn,D4,None
,D04,SYBR,ugt-31,Unkn,D4,77.5
,D05,SYBR,ugt-31,Unkn,D4,77.5
,D06,SYBR,ugt-31,Unkn,D4,77.5
,D07,SYBR,t22f3.3,Unkn,D4,75.5
,D08,SYBR,t22f3.3,Unkn,D4,75.5
,D09,SYBR,t22f3.3,Unkn,D4,75.5
,D10,SYBR,cest-34,Unkn,D4,75.5
,D11,SYBR,cest-34,Unkn,D4,75.5
,D12,SYBR,cest-34,Unkn,D4,73.5
,E01,SYBR,fbxa-79,Unkn,D5,None
,E02,SYBR,fbxa-79,Unkn,D5,None
,E03,SYBR,fbxa-79,Unkn,D5,74.5
,E04,SYBR,ugt-31,Unkn,D5,77
,E05,SYBR,ugt-31,Unkn,D5,77
,E06,SYBR,ugt-31,Unkn,D5,77
,E07,SYBR,t22f3.3,Unkn,D5,75.5
,E08,SYBR,t22f3.3,Unkn,D5,75.5
,E09,SYBR,t22f3.3,Unkn,D5,75.5
,E10,SYBR,cest-34,Unkn,D5,75.5
,E11,SYBR,cest-34,Unkn,D5,75.5
,E12,SYBR,cest-34,Unkn,D5,75.5
,F01,SYBR,fbxa-79,Unkn,D6,70.5
,F02,SYBR,fbxa-79,Unkn,D6,None
,F03,SYBR,fbxa-79,Unkn,D6,None
,F04,SYBR,ugt-31,Unkn,D6,77.5
,F05,SYBR,ugt-31,Unkn,D6,77
,F06,SYBR,ugt-31,Unkn,D6,77
,F07,SYBR,t22f3.3,Unkn,D6,76
,F08,SYBR,t22f3.3,Unkn,D6,75.5
,F09,SYBR,t22f3.3,Unkn,D6,76
,F10,SYBR,cest-34,Unkn,D6,75.5
,F11,SYBR,cest-34,Unkn,D6,75.5
,F12,SYBR,cest-34,Unkn,D6,72.5
