,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,fbxa-79,Unkn,D1,,NaN,0,0,NaN,NaN,0,0,68,
,A02,SYBR,fbxa-79,Unkn,D1,,NaN,0,0,NaN,NaN,0,0,68,
,A03,SYBR,fbxa-79,Unkn,D1,,NaN,0,0,NaN,NaN,0,0,68,
,A04,SYBR,ugt-31,Unkn,D1,,10.5073174455254,10.5073174455254,0,NaN,NaN,NaN,0,68,
,A05,SYBR,ugt-31,Unkn,D1,,9.95336920139643,9.95336920139643,0,NaN,NaN,NaN,0,68,
,A06,SYBR,ugt-31,Unkn,D1,,10.3822033348214,10.3822033348214,0,NaN,NaN,NaN,0,68,
,A07,SYBR,t22f3.3,Unkn,D1,,12.033781987513,12.033781987513,0,NaN,NaN,NaN,0,68,
,A08,SYBR,t22f3.3,Unkn,D1,,12.1154915161052,12.1154915161052,0,NaN,NaN,NaN,0,68,
,A09,SYBR,t22f3.3,Unkn,D1,,11.9594949600187,11.9594949600187,0,NaN,NaN,NaN,0,68,
,A10,SYBR,cest-34,Unkn,D1,,10.2250700887657,10.2250700887657,0,NaN,NaN,NaN,0,68,
,A11,SYBR,cest-34,Unkn,D1,,10.1166741506778,10.1166741506778,0,NaN,NaN,NaN,0,68,
,A12,SYBR,cest-34,Unkn,D1,,12.1715242497268,12.1715242497268,0,NaN,NaN,NaN,0,68,
,B01,SYBR,fbxa-79,Unkn,D2,,NaN,0,0,NaN,NaN,0,0,68,
,B02,SYBR,fbxa-79,Unkn,D2,,NaN,0,0,NaN,NaN,0,0,68,
,B03,SYBR,fbxa-79,Unkn,D2,,37.8823913982517,37.8823913982517,0,NaN,NaN,NaN,0,68,
,B04,SYBR,ugt-31,Unkn,D2,,14.7008044684367,14.7008044684367,0,NaN,NaN,NaN,0,68,
,B05,SYBR,ugt-31,Unkn,D2,,14.8016729752522,14.8016729752522,0,NaN,NaN,NaN,0,68,
,B06,SYBR,ugt-31,Unkn,D2,,14.7456386119432,14.7456386119432,0,NaN,NaN,NaN,0,68,
,B07,SYBR,t22f3.3,Unkn,D2,,16.4339793555812,16.4339793555812,0,NaN,NaN,NaN,0,68,
,B08,SYBR,t22f3.3,Unkn,D2,,16.3202239226434,16.3202239226434,0,NaN,NaN,NaN,0,68,
