,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,tba-1,Unkn,D0,None
,A02,SYBR,tba-1,Unkn,D0,75
,A03,SYBR,tba-1,Unkn,D0,78.5
,A04,SYBR,oac-7,Unkn,D0,77.5
,A05,SYBR,oac-7,Unkn,D0,77.5
,A06,SYBR,oac-7,Unkn,D0,77.5
,A07,SYBR,ceh-74,Unkn,D0,77
,A08,SYBR,ceh-74,Unkn,D0,77
,A09,SYBR,ceh-74,Unkn,D0,75.5
,A10,SYBR,zip-2,Unkn,D0,78
,A11,SYBR,zip-2,Unkn,D0,71.5
,A12,SYBR,zip-2,Unkn,D0,None
,B01,SYBR,tba-1,Unkn,D1,79.5
,B02,SYBR,tba-1,Unkn,D1,79.5
,B03,SYBR,tba-1,Unkn,D1,79.5
,B04,SYBR,oac-7,Unkn,D1,77.5
,B05,SYBR,oac-7,Unkn,D1,77.5
,B06,SYBR,oac-7,Unkn,D1,77.5
,B07,SYBR,ceh-74,Unkn,D1,77
,B08,SYBR,ceh-74,Unkn,D1,77
,B09,SYBR,ceh-74,Unkn,D1,77
,B10,SYBR,zip-2,Unkn,D1,80.5
,B11,SYBR,zip-2,Unkn,D1,80
,B12,SYBR,zip-2,Unkn,D1,75
,C01,SYBR,tba-1,Unkn,D2,79
,C02,SYBR,tba-1,Unkn,D2,79
,C03,SYBR,tba-1,Unkn,D2,79
,C04,SYBR,oac-7,Unkn,D2,77.5
,C05,SYBR,oac-7,Unkn,D2,77.5
,C06,SYBR,oac-7,Unkn,D2,77.5
,C07,SYBR,ceh-74,Unkn,D2,77
,C08,SYBR,ceh-74,Unkn,D2,77
,C09,SYBR,ceh-74,Unkn,D2,77
,C10,SYBR,zip-2,Unkn,D2,80.5
,C11,SYBR,zip-2,Unkn,D2,80.5
,C12,SYBR,zip-2,Unkn,D2,80.5
,D01,SYBR,tba-1,Unkn,D3,79
,D02,SYBR,tba-1,Unkn,D3,79
,D03,SYBR,tba-1,Unkn,D3,79
,D04,SYBR,oac-7,Unkn,D3,77.5
,D05,SYBR,oac-7,Unkn,D3,77.5
,D06,SYBR,oac-7,Unkn,D3,77.5
,D07,SYBR,ceh-74,Unkn,D3,77
,D08,SYBR,ceh-74,Unkn,D3,77
,D09,SYBR,ceh-74,Unkn,D3,77
,D10,SYBR,zip-2,Unkn,D3,80.5
,D11,SYBR,zip-2,Unkn,D3,80.5
,D12,SYBR,zip-2,Unkn,D3,80.5
,E01,SYBR,tba-1,Unkn,D4,79.5
,E02,SYBR,tba-1,Unkn,D4,79.5
,E03,SYBR,tba-1,Unkn,D4,79
,E04,SYBR,oac-7,Unkn,D4,77.5
,E05,SYBR,oac-7,Unkn,D4,77.5
,E06,SYBR,oac-7,Unkn,D4,77.5
,E07,SYBR,ceh-74,Unkn,D4,77
,E08,SYBR,ceh-74,Unkn,D4,77
,E09,SYBR,ceh-74,Unkn,D4,77
,E10,SYBR,zip-2,Unkn,D4,81
,E11,SYBR,zip-2,Unkn,D4,81
,E12,SYBR,zip-2,Unkn,D4,81
,F01,SYBR,tba-1,Unkn,D5,78.5
,F02,SYBR,tba-1,Unkn,D5,None
,F03,SYBR,tba-1,Unkn,D5,None
,F04,SYBR,oac-7,Unkn,D5,78
,F05,SYBR,oac-7,Unkn,D5,78
,F06,SYBR,oac-7,Unkn,D5,77.5
,F07,SYBR,ceh-74,Unkn,D5,77
,F08,SYBR,ceh-74,Unkn,D5,77
,F09,SYBR,ceh-74,Unkn,D5,77
,F10,SYBR,zip-2,Unkn,D5,81
,F11,SYBR,zip-2,Unkn,D5,81
,F12,SYBR,zip-2,Unkn,D5,80.5
