,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,tba-1,Unkn,D0,,NaN,0,0,NaN,NaN,0,0,68,
,A02,SYBR,tba-1,Unkn,D0,,30.7075587166373,30.7075587166373,0,NaN,NaN,NaN,0,68,
,A03,SYBR,tba-1,Unkn,D0,,29.9686718242182,29.9686718242182,0,NaN,NaN,NaN,0,68,
,A04,SYBR,oac-7,Unkn,D0,,12.5542395076691,12.5542395076691,0,NaN,NaN,NaN,0,68,
,A05,SYBR,oac-7,Unkn,D0,,11.9824109452148,11.9824109452148,0,NaN,NaN,NaN,0,68,
,A06,SYBR,oac-7,Unkn,D0,,12.6361679076562,12.6361679076562,0,NaN,NaN,NaN,0,68,
,A07,SYBR,ceh-74,Unkn,D0,,12.0301957060551,12.0301957060551,0,NaN,NaN,NaN,0,68,
,A08,SYBR,ceh-74,Unkn,D0,,12.1261098222047,12.1261098222047,0,NaN,NaN,NaN,0,68,
,A09,SYBR,ceh-74,Unkn,D0,,12.3556901721484,12.3556901721484,0,NaN,NaN,NaN,0,68,
,A10,SYBR,zip-2,Unkn,D0,,10.6216008045415,10.6216008045415,0,NaN,NaN,NaN,0,68,
,A11,SYBR,zip-2,Unkn,D0,,10.3152694740814,10.3152694740814,0,NaN,NaN,NaN,0,68,
,A12,SYBR,zip-2,Unkn,D0,,10.4203483524852,10.4203483524852,0,NaN,NaN,NaN,0,68,
,B01,SYBR,tba-1,Unkn,D1,,10.9385315513963,10.9385315513963,0,NaN,NaN,NaN,0,68,
,B02,SYBR,tba-1,Unkn,D1,,10.7302933751192,10.7302933751192,0,NaN,NaN,NaN,0,68,
,B03,SYBR,tba-1,Unkn,D1,,10.5705106104104,10.5705106104104,0,NaN,NaN,NaN,0,68,
,B04,SYBR,oac-7,Unkn,D1,,15.9817889626801,15.9817889626801,0,NaN,NaN,NaN,0,68,
,B05,SYBR,oac-7,Unkn,D1,,16.0167160790368,16.0167160790368,0,NaN,NaN,NaN,0,68,
,B06,SYBR,oac-7,Unkn,D1,,16.2766536838059,16.2766536838059,0,NaN,NaN,NaN,0,68,
,B07,SYBR,ceh-74,Unkn,D1,,16.1408032530713,16.1408032530713,0,NaN,NaN,NaN,0,68,
,B08,SYBR,ceh-74,Unkn,D1,,16.0711053339238,16.0711053339238,0,NaN,NaN,NaN,0,68,
,B09,SYBR,ceh-74,Unkn,D1,,16.4380438800369,16.4380438800369,0,NaN,NaN,NaN,0,68,
,B10,SYBR,zip-2,Unkn,D1,,15.7564920863509,15.7564920863509,0,NaN,NaN,NaN,0,68,
