,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,FAU5,FAU5,FAU5,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
A,Cq,27.0474388695041,26.696676111066,26.6271927174476,27.0458103179239,26.5846942393843,26.6851105095602,26.1874387963482,26.0172359841255,26.0481707720565,25.3344775900475,25.252554774211,NaN
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
B,Cq,31.422562742345,31.5926769980975,31.4459042506443,30.2655092896795,30.6507120434608,30.3449060113544,28.8064488207514,28.4200398647114,28.6381143813856,25.9448144552537,26.0168792834358,26.1093457998505
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
C,Cq,30.9507964010134,30.7188619378661,30.4496498359161,30.4963958050884,30.3360136463532,30.3605025177804,30.668527795043,30.5429866313948,30.3960095663572,28.9290108431758,28.7663370298969,28.8521835767196
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
D,Cq,34.6932285680936,34.4665754211993,34.3475422286764,38.629996521218,NaN,40.7551431204147,32.1329748914206,31.5341396945209,31.4437153068515,29.1416474761186,29.1556373975651,29.0147422588386
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
E,Cq,34.037417660494,34.7311045088939,33.7368535799885,34.0794303426121,34.2178130363559,34.1405220045839,35.3534534532034,34.8389753989187,34.773733094576,33.9693681152514,33.686967325753,33.8021500433054
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,
F,copy number,,,,,,,,,,,,
G,Content,NRT,NRT,NRT,NRT,NRT,,NRT,NRT,NRT,,NRT,NRT
G,Sample,N2,N2,N2,N2,N2,,N2 treated,N2 treated,N2 treated,,N2 treated,N2 treated
G,Cq,NaN,38.0666654825414,NaN,35.0438892143733,NaN,,29.1123576273253,29.0377525333385,NaN,,39.1078639143936,40.48679945887
G,copy number,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
H,Content,NRT,NRT,NRT,NRT,NRT,,NRT,NRT,NRT,,NRT,NRT
H,Sample,FAU5,FAU5,FAU5,FAU5,FAU5,,FAU5 treated,FAU5 treated,FAU5 treated,,FAU5 treated,FAU5 treated
H,Cq,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
