,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,tba-1,Unkn,N2,5015.55283272484,,Unknown,Unassigned,False
,A02,SYBR,tba-1,Unkn,N2,5909.50629108857,,Unknown,Unassigned,False
,A03,SYBR,tba-1,Unkn,N2,5460.06423351014,,Unknown,Unassigned,False
,A04,SYBR,tba-1,Unkn,N2 treated,5182.00268450119,,Unknown,Unassigned,False
,A05,SYBR,tba-1,Unkn,N2 treated,5267.51028301936,,Unknown,Unassigned,False
,A06,SYBR,tba-1,Unkn,N2 treated,5217.39103940731,,Unknown,Unassigned,False
,A07,SYBR,tba-1,Unkn,FAU5,4560.98024837466,,Unknown,Unassigned,False
,A08,SYBR,tba-1,Unkn,FAU5,5076.2898109975,,Unknown,Unassigned,False
,A09,SYBR,tba-1,Unkn,FAU5,5581.79356574505,,Unknown,Unassigned,False
,A10,SYBR,tba-1,Unkn,FAU5 treated,5283.284420313,,Unknown,Unassigned,False
,A11,SYBR,tba-1,Unkn,FAU5 treated,4619.12605471676,,Unknown,Unassigned,False
,A12,SYBR,tba-1,Unkn,FAU5 treated,-66.3552639066424,,Unknown,Unassigned,False
,B01,SYBR,oac-7,Unkn,N2,5720.10675130498,,Unknown,Unassigned,False
,B02,SYBR,oac-7,Unkn,N2,5782.90187190612,,Unknown,Unassigned,False
,B03,SYBR,oac-7,Unkn,N2,6527.85194062258,,Unknown,Unassigned,False
,B04,SYBR,oac-7,Unkn,N2 treated,6359.41048135868,,Unknown,Unassigned,False
,B05,SYBR,oac-7,Unkn,N2 treated,5697.58987404102,,Unknown,Unassigned,False
,B06,SYBR,oac-7,Unkn,N2 treated,5986.92948270283,,Unknown,Unassigned,False
,B07,SYBR,oac-7,Unkn,FAU5,5299.84820016203,,Unknown,Unassigned,False
,B08,SYBR,oac-7,Unkn,FAU5,6684.94613369878,,Unknown,Unassigned,False
,B09,SYBR,oac-7,Unkn,FAU5,6317.34647064745,,Unknown,Unassigned,False
,B10,SYBR,oac-7,Unkn,FAU5 treated,6662.80063207678,,Unknown,Unassigned,False
,B11,SYBR,oac-7,Unkn,FAU5 treated,5704.18434614033,,Unknown,Unassigned,False
,B12,SYBR,oac-7,Unkn,FAU5 treated,5560.14245908788,,Unknown,Unassigned,False
,C01,SYBR,fbxa-79,Unkn,N2,5289.93738051319,,Unknown,Unassigned,False
,C02,SYBR,fbxa-79,Unkn,N2,5146.60238598326,,Unknown,Unassigned,False
,C03,SYBR,fbxa-79,Unkn,N2,5078.13370797971,,Unknown,Unassigned,False
,C04,SYBR,fbxa-79,Unkn,N2 treated,5223.81157319521,,Unknown,Unassigned,False
,C05,SYBR,fbxa-79,Unkn,N2 treated,5115.34127610263,,Unknown,Unassigned,False
,C06,SYBR,fbxa-79,Unkn,N2 treated,4811.55934463428,,Unknown,Unassigned,False
,C07,SYBR,fbxa-79,Unkn,FAU5,5211.16740459906,,Unknown,Unassigned,False
,C08,SYBR,fbxa-79,Unkn,FAU5,5071.10816374195,,Unknown,Unassigned,False
,C09,SYBR,fbxa-79,Unkn,FAU5,5309.72283953842,,Unknown,Unassigned,False
,C10,SYBR,fbxa-79,Unkn,FAU5 treated,5470.80105967116,,Unknown,Unassigned,False
,C11,SYBR,fbxa-79,Unkn,FAU5 treated,5304.83533406966,,Unknown,Unassigned,False
,C12,SYBR,fbxa-79,Unkn,FAU5 treated,4719.45381492447,,Unknown,Unassigned,False
,D01,SYBR,ugt-31,Unkn,N2,3003.55895815966,,Unknown,Unassigned,False
,D02,SYBR,ugt-31,Unkn,N2,3488.21417935814,,Unknown,Unassigned,False
,D03,SYBR,ugt-31,Unkn,N2,3530.08826234942,,Unknown,Unassigned,False
,D04,SYBR,ugt-31,Unkn,N2 treated,4257.73962319251,,Unknown,Unassigned,False
,D05,SYBR,ugt-31,Unkn,N2 treated,3841.39384853899,,Unknown,Unassigned,False
,D06,SYBR,ugt-31,Unkn,N2 treated,3962.87480737415,,Unknown,Unassigned,False
,D07,SYBR,ugt-31,Unkn,FAU5,3846.11862061275,,Unknown,Unassigned,False
,D08,SYBR,ugt-31,Unkn,FAU5,4009.00159066827,,Unknown,Unassigned,False
,D09,SYBR,ugt-31,Unkn,FAU5,3859.95336095988,,Unknown,Unassigned,False
,D10,SYBR,ugt-31,Unkn,FAU5 treated,3588.01595028387,,Unknown,Unassigned,False
,D11,SYBR,ugt-31,Unkn,FAU5 treated,3763.43171012369,,Unknown,Unassigned,False
,D12,SYBR,ugt-31,Unkn,FAU5 treated,3584.89769345897,,Unknown,Unassigned,False
,E01,SYBR,ugt-29,Unkn,N2,5274.36274635206,,Unknown,Unassigned,False
,E02,SYBR,ugt-29,Unkn,N2,4875.71553089556,,Unknown,Unassigned,False
,E03,SYBR,ugt-29,Unkn,N2,4889.42805834624,,Unknown,Unassigned,False
,E04,SYBR,ugt-29,Unkn,N2 treated,4936.10900947805,,Unknown,Unassigned,False
,E05,SYBR,ugt-29,Unkn,N2 treated,4918.63514972294,,Unknown,Unassigned,False
,E06,SYBR,ugt-29,Unkn,N2 treated,5005.44647044426,,Unknown,Unassigned,False
,E07,SYBR,ugt-29,Unkn,FAU5,4867.49771472042,,Unknown,Unassigned,False
,E08,SYBR,ugt-29,Unkn,FAU5,4765.06394305795,,Unknown,Unassigned,False
,E09,SYBR,ugt-29,Unkn,FAU5,5200.00529541939,,Unknown,Unassigned,False
,E10,SYBR,ugt-29,Unkn,FAU5 treated,5126.87171671359,,Unknown,Unassigned,False
,E11,SYBR,ugt-29,Unkn,FAU5 treated,5050.66937048317,,Unknown,Unassigned,False
,E12,SYBR,ugt-29,Unkn,FAU5 treated,4537.76654471878,,Unknown,Unassigned,False
,F01,SYBR,fbxa-128,Unkn,N2,4537.02261239844,,Unknown,Unassigned,False
,F02,SYBR,fbxa-128,Unkn,N2,4863.41809569146,,Unknown,Unassigned,False
,F03,SYBR,fbxa-128,Unkn,N2,4517.25059509788,,Unknown,Unassigned,False
,F04,SYBR,fbxa-128,Unkn,N2 treated,4459.22623266015,,Unknown,Unassigned,False
,F05,SYBR,fbxa-128,Unkn,N2 treated,4558.13744943983,,Unknown,Unassigned,False
,F06,SYBR,fbxa-128,Unkn,N2 treated,5082.14668707531,,Unknown,Unassigned,False
,F07,SYBR,fbxa-128,Unkn,FAU5,4803.24899482857,,Unknown,Unassigned,False
,F08,SYBR,fbxa-128,Unkn,FAU5,4445.22537334271,,Unknown,Unassigned,False
,F09,SYBR,fbxa-128,Unkn,FAU5,4889.24832884632,,Unknown,Unassigned,False
,F10,SYBR,fbxa-128,Unkn,FAU5 treated,4841.10024472901,,Unknown,Unassigned,False
,F11,SYBR,fbxa-128,Unkn,FAU5 treated,5413.02407428877,,Unknown,Unassigned,False
,F12,SYBR,fbxa-128,Unkn,FAU5 treated,4468.28515121689,,Unknown,Unassigned,False
,G01,SYBR,tba-1,NRT,N2,0.967507348006256,,NRT,Unassigned,False
,G02,SYBR,oac-7,NRT,N2,-0.139908099376044,,NRT,Unassigned,False
,G03,SYBR,ugt-29,NRT,N2,-0.374256266407974,,NRT,Unassigned,False
,G04,SYBR,ugt-31,NRT,N2,0.353688997788231,,NRT,Unassigned,False
,G05,SYBR,fbxa-79,NRT,N2,-0.782184610921195,,NRT,Unassigned,False
,G06,SYBR,fbxa-128,NRT,N2,-1.58943028277999,,NRT,Unassigned,False
,G07,SYBR,tba-1,NRT,N2 treated,0.39724688179349,,NRT,Unassigned,False
,G08,SYBR,oac-7,NRT,N2 treated,-0.139095659014311,,NRT,Unassigned,False
,G09,SYBR,ugt-29,NRT,N2 treated,-0.597620235455088,,NRT,Unassigned,False
,G10,SYBR,fbxa-128,NRT,N2 treated,-1.10500150346761,,NRT,Unassigned,False
,G11,SYBR,ugt-31,NRT,N2 treated,-0.146854575042107,,NRT,Unassigned,False
,G12,SYBR,fbxa-79,NRT,N2 treated,-1.2099925579505,,NRT,Unassigned,False
,H01,SYBR,tba-1,NRT,FAU5,0.0624353989558585,,NRT,Unassigned,False
,H02,SYBR,oac-7,NRT,FAU5,1.04204880350289,,NRT,Unassigned,False
,H03,SYBR,ugt-29,NRT,FAU5,-0.465282711409782,,NRT,Unassigned,False
,H04,SYBR,ugt-31,NRT,FAU5,-1.30287084528054,,NRT,Unassigned,False
,H05,SYBR,fbxa-79,NRT,FAU5,-0.098239225954876,,NRT,Unassigned,False
,H06,SYBR,fbxa-128,NRT,FAU5,-0.630720766491686,,NRT,Unassigned,False
,H07,SYBR,tba-1,NRT,FAU5 treated,-1.16975858938285,,NRT,Unassigned,False
,H08,SYBR,oac-7,NRT,FAU5 treated,-1.06264857676406,,NRT,Unassigned,False
,H09,SYBR,ugt-29,NRT,FAU5 treated,-1.38150119637676,,NRT,Unassigned,False
,H10,SYBR,fbxa-128,NRT,FAU5 treated,-0.10653410438681,,NRT,Unassigned,False
,H11,SYBR,ugt-31,NRT,FAU5 treated,-0.0392021636658683,,NRT,Unassigned,False
,H12,SYBR,fbxa-79,NRT,FAU5 treated,0.196183218055648,,NRT,Unassigned,False
