,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,tba-1,Unkn,N2,79
,A02,SYBR,tba-1,Unkn,N2,79.5
,A03,SYBR,tba-1,Unkn,N2,79.5
,A04,SYBR,tba-1,Unkn,N2 treated,79.5
,A05,SYBR,tba-1,Unkn,N2 treated,79.5
,A06,SYBR,tba-1,Unkn,N2 treated,79.5
,A07,SYBR,tba-1,Unkn,FAU5,79.5
,A08,SYBR,tba-1,Unkn,FAU5,79.5
,A09,SYBR,tba-1,Unkn,FAU5,79.5
,A10,SYBR,tba-1,Unkn,FAU5 treated,79
,A11,SYBR,tba-1,Unkn,FAU5 treated,79.5
,A12,SYBR,tba-1,Unkn,FAU5 treated,None
,B01,SYBR,oac-7,Unkn,N2,87.5
,B02,SYBR,oac-7,Unkn,N2,87.5
,B02,SYBR,oac-7,Unkn,N2,80.5
,B03,SYBR,oac-7,Unkn,N2,87.5
,B03,SYBR,oac-7,Unkn,N2,81
,B04,SYBR,oac-7,Unkn,N2 treated,88
,B04,SYBR,oac-7,Unkn,N2 treated,81
,B05,SYBR,oac-7,Unkn,N2 treated,81
,B05,SYBR,oac-7,Unkn,N2 treated,87.5
,B06,SYBR,oac-7,Unkn,N2 treated,81
,B06,SYBR,oac-7,Unkn,N2 treated,87.5
,B07,SYBR,oac-7,Unkn,FAU5,81
,B08,SYBR,oac-7,Unkn,FAU5,87
,B08,SYBR,oac-7,Unkn,FAU5,81
,B09,SYBR,oac-7,Unkn,FAU5,81
,B09,SYBR,oac-7,Unkn,FAU5,87.5
,B10,SYBR,oac-7,Unkn,FAU5 treated,81
,B10,SYBR,oac-7,Unkn,FAU5 treated,87
,B11,SYBR,oac-7,Unkn,FAU5 treated,87
,B11,SYBR,oac-7,Unkn,FAU5 treated,80.5
,B12,SYBR,oac-7,Unkn,FAU5 treated,87.5
,C01,SYBR,fbxa-79,Unkn,N2,77.5
,C02,SYBR,fbxa-79,Unkn,N2,77
,C03,SYBR,fbxa-79,Unkn,N2,77.5
,C04,SYBR,fbxa-79,Unkn,N2 treated,77.5
,C05,SYBR,fbxa-79,Unkn,N2 treated,77.5
