,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,tba-1,Unkn,N2,,23.5828348458617,23.5828348458617,0,NaN,NaN,NaN,0,68,
,A02,SYBR,tba-1,Unkn,N2,,23.3013102433458,23.3013102433458,0,NaN,NaN,NaN,0,68,
,A03,SYBR,tba-1,Unkn,N2,,23.4071592703287,23.4071592703287,0,NaN,NaN,NaN,0,68,
,A04,SYBR,tba-1,Unkn,N2 treated,,23.2035092547423,23.2035092547423,0,NaN,NaN,NaN,0,68,
,A05,SYBR,tba-1,Unkn,N2 treated,,23.1376154481222,23.1376154481222,0,NaN,NaN,NaN,0,68,
,A06,SYBR,tba-1,Unkn,N2 treated,,23.1624299556557,23.1624299556557,0,NaN,NaN,NaN,0,68,
,A07,SYBR,tba-1,Unkn,FAU5,,23.675358906483,23.675358906483,0,NaN,NaN,NaN,0,68,
,A08,SYBR,tba-1,Unkn,FAU5,,23.6465295684934,23.6465295684934,0,NaN,NaN,NaN,0,68,
,A09,SYBR,tba-1,Unkn,FAU5,,23.3719541828292,23.3719541828292,0,NaN,NaN,NaN,0,68,
,A10,SYBR,tba-1,Unkn,FAU5 treated,,23.0762410012973,23.0762410012973,0,NaN,NaN,NaN,0,68,
,A11,SYBR,tba-1,Unkn,FAU5 treated,,23.2206705842143,23.2206705842143,0,NaN,NaN,NaN,0,68,
,A12,SYBR,tba-1,Unkn,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,B01,SYBR,oac-7,Unkn,N2,,20.0237470549925,20.0237470549925,0,NaN,NaN,NaN,0,68,
,B02,SYBR,oac-7,Unkn,N2,,19.9337333571388,19.9337333571388,0,NaN,NaN,NaN,0,68,
,B03,SYBR,oac-7,Unkn,N2,,19.8339186267117,19.8339186267117,0,NaN,NaN,NaN,0,68,
,B04,SYBR,oac-7,Unkn,N2 treated,,19.6492352735278,19.6492352735278,0,NaN,NaN,NaN,0,68,
,B05,SYBR,oac-7,Unkn,N2 treated,,19.7027356566551,19.7027356566551,0,NaN,NaN,NaN,0,68,
,B06,SYBR,oac-7,Unkn,N2 treated,,19.9682479689421,19.9682479689421,0,NaN,NaN,NaN,0,68,
,B07,SYBR,oac-7,Unkn,FAU5,,19.0734275444564,19.0734275444564,0,NaN,NaN,NaN,0,68,
,B08,SYBR,oac-7,Unkn,FAU5,,19.1642780303279,19.1642780303279,0,NaN,NaN,NaN,0,68,
,B09,SYBR,oac-7,Unkn,FAU5,,19.1357390941846,19.1357390941846,0,NaN,NaN,NaN,0,68,
,B10,SYBR,oac-7,Unkn,FAU5 treated,,19.5857312115108,19.5857312115108,0,NaN,NaN,NaN,0,68,
,B11,SYBR,oac-7,Unkn,FAU5 treated,,19.8227337955604,19.8227337955604,0,NaN,NaN,NaN,0,68,
,B12,SYBR,oac-7,Unkn,FAU5 treated,,19.9336487865217,19.9336487865217,0,NaN,NaN,NaN,0,68,
,C01,SYBR,fbxa-79,Unkn,N2,,27.0577864560264,27.0577864560264,0,NaN,NaN,NaN,0,68,
,C02,SYBR,fbxa-79,Unkn,N2,,27.0209368492483,27.0209368492483,0,NaN,NaN,NaN,0,68,
,C03,SYBR,fbxa-79,Unkn,N2,,27.0750155053834,27.0750155053834,0,NaN,NaN,NaN,0,68,
,C04,SYBR,fbxa-79,Unkn,N2 treated,,25.3661225466227,25.3661225466227,0,NaN,NaN,NaN,0,68,
,C05,SYBR,fbxa-79,Unkn,N2 treated,,25.3824028351862,25.3824028351862,0,NaN,NaN,NaN,0,68,
,C06,SYBR,fbxa-79,Unkn,N2 treated,,25.4537662357459,25.4537662357459,0,NaN,NaN,NaN,0,68,
,C07,SYBR,fbxa-79,Unkn,FAU5,,26.1321892176397,26.1321892176397,0,NaN,NaN,NaN,0,68,
,C08,SYBR,fbxa-79,Unkn,FAU5,,26.2527740208177,26.2527740208177,0,NaN,NaN,NaN,0,68,
,C09,SYBR,fbxa-79,Unkn,FAU5,,26.1129274634415,26.1129274634415,0,NaN,NaN,NaN,0,68,
,C10,SYBR,fbxa-79,Unkn,FAU5 treated,,24.3339171389095,24.3339171389095,0,NaN,NaN,NaN,0,68,
,C11,SYBR,fbxa-79,Unkn,FAU5 treated,,24.35028355567,24.35028355567,0,NaN,NaN,NaN,0,68,
,C12,SYBR,fbxa-79,Unkn,FAU5 treated,,24.4581953822845,24.4581953822845,0,NaN,NaN,NaN,0,68,
,D01,SYBR,ugt-31,Unkn,N2,,31.6761937681023,31.6761937681023,0,NaN,NaN,NaN,0,68,
,D02,SYBR,ugt-31,Unkn,N2,,32.0758694459133,32.0758694459133,0,NaN,NaN,NaN,0,68,
,D03,SYBR,ugt-31,Unkn,N2,,32.1028297595862,32.1028297595862,0,NaN,NaN,NaN,0,68,
,D04,SYBR,ugt-31,Unkn,N2 treated,,28.6554487828973,28.6554487828973,0,NaN,NaN,NaN,0,68,
,D05,SYBR,ugt-31,Unkn,N2 treated,,28.8211213216252,28.8211213216252,0,NaN,NaN,NaN,0,68,
,D06,SYBR,ugt-31,Unkn,N2 treated,,28.6092675942709,28.6092675942709,0,NaN,NaN,NaN,0,68,
,D07,SYBR,ugt-31,Unkn,FAU5,,30.7066965255451,30.7066965255451,0,NaN,NaN,NaN,0,68,
,D08,SYBR,ugt-31,Unkn,FAU5,,30.5084049242622,30.5084049242622,0,NaN,NaN,NaN,0,68,
,D09,SYBR,ugt-31,Unkn,FAU5,,30.7784354808952,30.7784354808952,0,NaN,NaN,NaN,0,68,
,D10,SYBR,ugt-31,Unkn,FAU5 treated,,28.5828863072609,28.5828863072609,0,NaN,NaN,NaN,0,68,
,D11,SYBR,ugt-31,Unkn,FAU5 treated,,28.2804143589405,28.2804143589405,0,NaN,NaN,NaN,0,68,
,D12,SYBR,ugt-31,Unkn,FAU5 treated,,28.1716016544874,28.1716016544874,0,NaN,NaN,NaN,0,68,
,E01,SYBR,ugt-29,Unkn,N2,,26.2276479914219,26.2276479914219,0,NaN,NaN,NaN,0,68,
,E02,SYBR,ugt-29,Unkn,N2,,26.3577210162973,26.3577210162973,0,NaN,NaN,NaN,0,68,
,E03,SYBR,ugt-29,Unkn,N2,,26.3031655330553,26.3031655330553,0,NaN,NaN,NaN,0,68,
,E04,SYBR,ugt-29,Unkn,N2 treated,,22.2837154072753,22.2837154072753,0,NaN,NaN,NaN,0,68,
,E05,SYBR,ugt-29,Unkn,N2 treated,,22.2729454223821,22.2729454223821,0,NaN,NaN,NaN,0,68,
,E06,SYBR,ugt-29,Unkn,N2 treated,,22.225289774058,22.225289774058,0,NaN,NaN,NaN,0,68,
,E07,SYBR,ugt-29,Unkn,FAU5,,25.1878310612711,25.1878310612711,0,NaN,NaN,NaN,0,68,
,E08,SYBR,ugt-29,Unkn,FAU5,,25.3232721101076,25.3232721101076,0,NaN,NaN,NaN,0,68,
,E09,SYBR,ugt-29,Unkn,FAU5,,25.1795226078417,25.1795226078417,0,NaN,NaN,NaN,0,68,
,E10,SYBR,ugt-29,Unkn,FAU5 treated,,21.2355263662777,21.2355263662777,0,NaN,NaN,NaN,0,68,
,E11,SYBR,ugt-29,Unkn,FAU5 treated,,21.2806112250752,21.2806112250752,0,NaN,NaN,NaN,0,68,
,E12,SYBR,ugt-29,Unkn,FAU5 treated,,21.3995644302086,21.3995644302086,0,NaN,NaN,NaN,0,68,
,F01,SYBR,fbxa-128,Unkn,N2,,28.630068611113,28.630068611113,0,NaN,NaN,NaN,0,68,
,F02,SYBR,fbxa-128,Unkn,N2,,28.6409279835121,28.6409279835121,0,NaN,NaN,NaN,0,68,
,F03,SYBR,fbxa-128,Unkn,N2,,28.7831233564644,28.7831233564644,0,NaN,NaN,NaN,0,68,
