,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,tba-1,Unkn,N2,79.5,978.566192929182,62.5,87,
,A02,SYBR,tba-1,Unkn,N2,79.5,975.542246074768,62.5,89,
,A03,SYBR,tba-1,Unkn,N2,79.5,982.174040394558,67.5,87.5,
,A04,SYBR,tba-1,Unkn,N2 treated,79.5,1102.69324364409,62.5,88.5,
,A05,SYBR,tba-1,Unkn,N2 treated,79.5,1081.06780551857,62.5,87,
,A06,SYBR,tba-1,Unkn,N2 treated,80,1131.4422935119,62.5,87.5,
,A07,SYBR,tba-1,Unkn,FAU5,80,966.237862741992,68.5,88.5,
,A08,SYBR,tba-1,Unkn,FAU5,79.5,1137.64944940719,62.5,88,
,A09,SYBR,tba-1,Unkn,FAU5,79.5,1130.90681512168,68,87,
,A10,SYBR,tba-1,Unkn,FAU5 treated,79.5,1267.00695221824,62.5,89.5,
,A11,SYBR,tba-1,Unkn,FAU5 treated,79.5,1168.30040806654,62.5,86.5,
,A12,SYBR,tba-1,Unkn,FAU5 treated,None,None,None,None,
,B01,SYBR,fbxa-79,Unkn,N2,77.5,1140.64844401836,62.5,81.5,
,B02,SYBR,fbxa-79,Unkn,N2,77.5,1160.5810384923,62.5,81.5,
,B03,SYBR,fbxa-79,Unkn,N2,77.5,1208.53922730468,62.5,81,
,B04,SYBR,fbxa-79,Unkn,N2 treated,77.5,1325.20968539415,62.5,81.5,
,B05,SYBR,fbxa-79,Unkn,N2 treated,77.5,1159.59037487697,62.5,81.5,
,B06,SYBR,fbxa-79,Unkn,N2 treated,77.5,1123.19198202485,63.5,81,
,B07,SYBR,fbxa-79,Unkn,FAU5,77.5,985.779201803689,62.5,81,
,B08,SYBR,fbxa-79,Unkn,FAU5,77,1180.09720701726,63,81,
,B09,SYBR,fbxa-79,Unkn,FAU5,77,1259.67565616785,73,81,
,B10,SYBR,fbxa-79,Unkn,FAU5 treated,77.5,1358.64091142373,64,81.5,
,B11,SYBR,fbxa-79,Unkn,FAU5 treated,77.5,1304.65332131601,63.5,81,
,B12,SYBR,fbxa-79,Unkn,FAU5 treated,76.5,1395.08701964507,63.5,80,
,C01,SYBR,ugt-29,Unkn,N2,76.5,1167.98085301016,62.5,81.5,
,C02,SYBR,ugt-29,Unkn,N2,77,1295.7461872092,62.5,84.5,
,C03,SYBR,ugt-29,Unkn,N2,77,1315.09254622092,62.5,82,
,C04,SYBR,ugt-29,Unkn,N2 treated,77,1448.56884573842,62.5,83,
,C05,SYBR,ugt-29,Unkn,N2 treated,77,1388.69498626775,62.5,83.5,
,C06,SYBR,ugt-29,Unkn,N2 treated,77,1274.2104368643,62.5,82,
