,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,tba-1,Unkn,N2,79.5
,A02,SYBR,tba-1,Unkn,N2,79.5
,A03,SYBR,tba-1,Unkn,N2,79.5
,A04,SYBR,tba-1,Unkn,N2 treated,79.5
,A05,SYBR,tba-1,Unkn,N2 treated,79.5
,A06,SYBR,tba-1,Unkn,N2 treated,80
,A07,SYBR,tba-1,Unkn,FAU5,80
,A08,SYBR,tba-1,Unkn,FAU5,79.5
,A09,SYBR,tba-1,Unkn,FAU5,79.5
,A10,SYBR,tba-1,Unkn,FAU5 treated,79.5
,A11,SYBR,tba-1,Unkn,FAU5 treated,79.5
,A12,SYBR,tba-1,Unkn,FAU5 treated,None
,B01,SYBR,fbxa-79,Unkn,N2,77.5
,B02,SYBR,fbxa-79,Unkn,N2,77.5
,B03,SYBR,fbxa-79,Unkn,N2,77.5
,B04,SYBR,fbxa-79,Unkn,N2 treated,77.5
,B05,SYBR,fbxa-79,Unkn,N2 treated,77.5
,B06,SYBR,fbxa-79,Unkn,N2 treated,77.5
,B07,SYBR,fbxa-79,Unkn,FAU5,77.5
,B08,SYBR,fbxa-79,Unkn,FAU5,77
,B09,SYBR,fbxa-79,Unkn,FAU5,77
,B10,SYBR,fbxa-79,Unkn,FAU5 treated,77.5
,B11,SYBR,fbxa-79,Unkn,FAU5 treated,77.5
,B12,SYBR,fbxa-79,Unkn,FAU5 treated,76.5
,C01,SYBR,ugt-29,Unkn,N2,76.5
,C02,SYBR,ugt-29,Unkn,N2,77
,C03,SYBR,ugt-29,Unkn,N2,77
,C04,SYBR,ugt-29,Unkn,N2 treated,77
,C05,SYBR,ugt-29,Unkn,N2 treated,77
,C06,SYBR,ugt-29,Unkn,N2 treated,77
,C07,SYBR,ugt-29,Unkn,FAU5,77
,C08,SYBR,ugt-29,Unkn,FAU5,76.5
,C09,SYBR,ugt-29,Unkn,FAU5,76.5
,C10,SYBR,ugt-29,Unkn,FAU5 treated,77
,C11,SYBR,ugt-29,Unkn,FAU5 treated,77
,C12,SYBR,ugt-29,Unkn,FAU5 treated,77
,D01,SYBR,ugt-31,Unkn,N2,77.5
,D02,SYBR,ugt-31,Unkn,N2,77.5
,D03,SYBR,ugt-31,Unkn,N2,77.5
,D04,SYBR,ugt-31,Unkn,N2 treated,77.5
,D05,SYBR,ugt-31,Unkn,N2 treated,77.5
,D06,SYBR,ugt-31,Unkn,N2 treated,77.5
,D07,SYBR,ugt-31,Unkn,FAU5,77.5
,D08,SYBR,ugt-31,Unkn,FAU5,77.5
,D09,SYBR,ugt-31,Unkn,FAU5,77.5
,D10,SYBR,ugt-31,Unkn,FAU5 treated,77.5
,D11,SYBR,ugt-31,Unkn,FAU5 treated,77.5
,D12,SYBR,ugt-31,Unkn,FAU5 treated,77.5
,E01,SYBR,fbxa-79,Unkn,RB2060,77.5
,E02,SYBR,fbxa-79,Unkn,RB2060,77.5
,E03,SYBR,fbxa-79,Unkn,RB2060,77.5
,E04,SYBR,fbxa-79,Unkn,RB2060 treated,77.5
,E05,SYBR,fbxa-79,Unkn,RB2060 treated,77.5
,E06,SYBR,fbxa-79,Unkn,RB2060 treated,77.5
,E07,SYBR,tba-1,NRT,FAU5,None
,E08,SYBR,tba-1,NRT,FAU5 treated,None
,E09,SYBR,tba-1,NRT,RB2060,None
,E10,SYBR,tba-1,NRT,RB2060 treated,None
,E11,SYBR,tba-1,NRT,N2,None
,E12,SYBR,tba-1,NRT,N2 treated,None
,F01,SYBR,tba-1,Unkn,RB2060,80
,F02,SYBR,tba-1,Unkn,RB2060,80
,F03,SYBR,tba-1,Unkn,RB2060,80
,F04,SYBR,tba-1,Unkn,RB2060 treated,80
,F05,SYBR,tba-1,Unkn,RB2060 treated,80
,F06,SYBR,tba-1,Unkn,RB2060 treated,80
,F07,SYBR,fbxa-79,NRT,FAU5,None
,F08,SYBR,fbxa-79,NRT,FAU5 treated,None
,F09,SYBR,fbxa-79,NRT,RB2060,None
,F10,SYBR,fbxa-79,NRT,RB2060 treated,None
,F11,SYBR,fbxa-79,NRT,N2,None
,F12,SYBR,fbxa-79,NRT,N2 treated,None
,G01,SYBR,ugt-29,Unkn,RB2060,77
,G02,SYBR,ugt-29,Unkn,RB2060,77
,G03,SYBR,ugt-29,Unkn,RB2060,77
,G04,SYBR,ugt-29,Unkn,RB2060 treated,77
,G05,SYBR,ugt-29,Unkn,RB2060 treated,77
,G06,SYBR,ugt-29,Unkn,RB2060 treated,77
,G07,SYBR,ugt-29,NRT,FAU5,None
,G08,SYBR,ugt-29,NRT,FAU5 treated,None
,G09,SYBR,ugt-29,NRT,RB2060,None
,G10,SYBR,ugt-29,NRT,RB2060 treated,None
,G11,SYBR,ugt-29,NRT,N2,None
,G12,SYBR,ugt-29,NRT,N2 treated,None
,H01,SYBR,ugt-31,Unkn,RB2060,76.5
,H02,SYBR,ugt-31,Unkn,RB2060,77.5
,H03,SYBR,ugt-31,Unkn,RB2060,77.5
,H04,SYBR,ugt-31,Unkn,RB2060 treated,77.5
,H05,SYBR,ugt-31,Unkn,RB2060 treated,77.5
,H06,SYBR,ugt-31,Unkn,RB2060 treated,77.5
,H07,SYBR,ugt-31,NRT,FAU5,None
,H08,SYBR,ugt-31,NRT,FAU5 treated,None
,H09,SYBR,ugt-31,NRT,RB2060,None
,H10,SYBR,ugt-31,NRT,RB2060 treated,None
,H11,SYBR,ugt-31,NRT,N2,None
,H12,SYBR,ugt-31,NRT,N2 treated,None
