,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,tba-1,Unkn,N2,,22.4755395921442,22.4755395921442,0,NaN,NaN,NaN,0,68,
,A02,SYBR,tba-1,Unkn,N2,,22.5128931225116,22.5128931225116,0,NaN,NaN,NaN,0,68,
,A03,SYBR,tba-1,Unkn,N2,,22.5301401708065,22.5301401708065,0,NaN,NaN,NaN,0,68,
,A04,SYBR,tba-1,Unkn,N2 treated,,25.0249546515017,25.0249546515017,0,NaN,NaN,NaN,0,68,
,A05,SYBR,tba-1,Unkn,N2 treated,,25.0638060720238,25.0638060720238,0,NaN,NaN,NaN,0,68,
,A06,SYBR,tba-1,Unkn,N2 treated,,25.0134967735991,25.0134967735991,0,NaN,NaN,NaN,0,68,
,A07,SYBR,tba-1,Unkn,FAU5,,23.5934803748947,23.5934803748947,0,NaN,NaN,NaN,0,68,
,A08,SYBR,tba-1,Unkn,FAU5,,23.171187592974,23.171187592974,0,NaN,NaN,NaN,0,68,
,A09,SYBR,tba-1,Unkn,FAU5,,23.1437555514908,23.1437555514908,0,NaN,NaN,NaN,0,68,
,A10,SYBR,tba-1,Unkn,FAU5 treated,,23.407580304885,23.407580304885,0,NaN,NaN,NaN,0,68,
,A11,SYBR,tba-1,Unkn,FAU5 treated,,23.604526679523,23.604526679523,0,NaN,NaN,NaN,0,68,
,A12,SYBR,tba-1,Unkn,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,B01,SYBR,fbxa-79,Unkn,N2,,24.8727974111619,24.8727974111619,0,NaN,NaN,NaN,0,68,
,B02,SYBR,fbxa-79,Unkn,N2,,24.9491696178274,24.9491696178274,0,NaN,NaN,NaN,0,68,
,B03,SYBR,fbxa-79,Unkn,N2,,24.7492547834417,24.7492547834417,0,NaN,NaN,NaN,0,68,
,B04,SYBR,fbxa-79,Unkn,N2 treated,,25.0811580109726,25.0811580109726,0,NaN,NaN,NaN,0,68,
,B05,SYBR,fbxa-79,Unkn,N2 treated,,25.2689755152802,25.2689755152802,0,NaN,NaN,NaN,0,68,
,B06,SYBR,fbxa-79,Unkn,N2 treated,,25.3209164394418,25.3209164394418,0,NaN,NaN,NaN,0,68,
,B07,SYBR,fbxa-79,Unkn,FAU5,,26.0910453891619,26.0910453891619,0,NaN,NaN,NaN,0,68,
,B08,SYBR,fbxa-79,Unkn,FAU5,,25.8135071910476,25.8135071910476,0,NaN,NaN,NaN,0,68,
,B09,SYBR,fbxa-79,Unkn,FAU5,,25.585847901391,25.585847901391,0,NaN,NaN,NaN,0,68,
,B10,SYBR,fbxa-79,Unkn,FAU5 treated,,24.7315406791143,24.7315406791143,0,NaN,NaN,NaN,0,68,
,B11,SYBR,fbxa-79,Unkn,FAU5 treated,,24.8074026939157,24.8074026939157,0,NaN,NaN,NaN,0,68,
,B12,SYBR,fbxa-79,Unkn,FAU5 treated,,24.8790360159453,24.8790360159453,0,NaN,NaN,NaN,0,68,
,C01,SYBR,ugt-29,Unkn,N2,,23.9865449468639,23.9865449468639,0,NaN,NaN,NaN,0,68,
,C02,SYBR,ugt-29,Unkn,N2,,23.872856526942,23.872856526942,0,NaN,NaN,NaN,0,68,
,C03,SYBR,ugt-29,Unkn,N2,,23.7734590368466,23.7734590368466,0,NaN,NaN,NaN,0,68,
,C04,SYBR,ugt-29,Unkn,N2 treated,,22.1199228600393,22.1199228600393,0,NaN,NaN,NaN,0,68,
,C05,SYBR,ugt-29,Unkn,N2 treated,,22.1470253514651,22.1470253514651,0,NaN,NaN,NaN,0,68,
,C06,SYBR,ugt-29,Unkn,N2 treated,,22.2361139979633,22.2361139979633,0,NaN,NaN,NaN,0,68,
,C07,SYBR,ugt-29,Unkn,FAU5,,24.6765658780727,24.6765658780727,0,NaN,NaN,NaN,0,68,
,C08,SYBR,ugt-29,Unkn,FAU5,,24.4594913929747,24.4594913929747,0,NaN,NaN,NaN,0,68,
,C09,SYBR,ugt-29,Unkn,FAU5,,24.453287620815,24.453287620815,0,NaN,NaN,NaN,0,68,
,C10,SYBR,ugt-29,Unkn,FAU5 treated,,21.7210711549966,21.7210711549966,0,NaN,NaN,NaN,0,68,
,C11,SYBR,ugt-29,Unkn,FAU5 treated,,21.7856640380288,21.7856640380288,0,NaN,NaN,NaN,0,68,
,C12,SYBR,ugt-29,Unkn,FAU5 treated,,22.001682341325,22.001682341325,0,NaN,NaN,NaN,0,68,
