,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G7,G8,G9,G11,G12,H1,H2,H3,H4,H5,H7,H8,H9,H11,H12
,60,-18.6115014574834,-24.0278233424565,-28.8319716941908,-36.952263644308,-16.8628069790439,-21.4334658131722,9.07324662427186,1.03275440305447,-15.3991725560643,-14.9548313847231,-4.30146418508821,66.1155912575252,-5.44457234170318,-11.3905456149805,-13.6947003470782,-17.6190713631984,-13.5320777072789,-5.33059407527435,-14.5664888978451,-16.5606357468432,8.69958596000015,7.89110443829532,8.68268395432483,58.1998211073769,-11.1181096952093,-12.0320302908465,-21.9470517728905,-13.0496015560484,-18.1547527139985,-7.99238336122198,-16.5507862620143,-16.4569882394674,-2.98746474588211,-9.65745686640389,15.5956444989731,-10.9409857438811,6.39594980708353,-17.7787980626933,-11.703773270335,-8.97038430837847,-10.1623360620194,-4.33152989429982,-8.89314472433034,-14.3081371956443,-2.19058792233386,-13.8601485966453,-5.45977024114381,-19.0515699341527,-6.49390561320001,-13.6713204174071,-16.2759694954248,-19.5621862834946,-11.4727966404921,-14.0635607182714,-24.0225498373768,-19.7136565281235,-17.3534096560311,-11.9558497630426,-17.6380719151171,-15.5701076804274,1.56092671369527,2.20916859559566,1.98394877954098,1.50443188028368,2.52009299839,1.75447190448176,1.86989837744943,2.2088013542496,2.61561149548589,1.861104403176,1.72652526617986,1.94213027284042,2.31436876144744,2.04066971279747,2.06306130340312,2.20428397706792,1.89472063448767,1.98347791122961,2.58649782809351,1.53907520882842
,60.5,-40.3249198245487,-52.0602839086573,-62.4692720040769,-80.0632378960017,-36.5360817879287,-46.4391759285422,19.658701019257,2.2376345399498,-33.3648738714708,-32.4021346669006,-9.31983906769165,143.250447724639,-11.7965734070233,-24.6795154991237,-29.6718507520038,-38.1746546202639,-29.319501699106,-11.5496204964304,-31.5607259453291,-35.8813774514933,18.8491029133313,17.097392949642,18.8124819010397,126.099612399318,-24.0892376729528,-26.0693989634999,-47.5519455079298,-28.2741367047715,-39.335297546997,-17.316830615981,-35.860036901031,-35.6568078521764,-6.4728402827443,-20.9244898772092,33.7905630811076,-23.7054691117417,13.857891248681,-38.5207291358358,-25.3581754190589,-19.4358326681531,-22.0183948010424,-9.38498143765014,-19.2684802360491,-31.0009639238974,-4.74627383172128,-30.0303219593961,-11.8295021891431,-41.2784015239993,-14.0701288285998,-29.6211942377156,-35.264600573418,-42.3847369475709,-24.8577260543998,-30.4710482229223,-52.0488579809828,-42.7129224776008,-37.599054254734,-25.9043411532587,-38.2158224827513,-33.7352333075937,3.38200787967361,4.78653195712405,4.29855568900553,3.25960240728136,5.46020149651213,3.80135579304408,4.05144648447435,4.78573626754087,5.66715824021964,4.03239287354774,3.7408047433899,4.20794892448777,5.01446564980279,4.42145104439425,4.46996615737368,4.77594861698049,4.10522804139015,4.29753547433103,5.60407862753641,3.33466295246126
,61,-37.2230029149682,-48.0556466849146,-57.663943388377,-73.9045272886169,-33.7256139580898,-42.8669316263483,18.1464932485469,2.06550880610735,-30.7983451121268,-29.9096627694466,-8.60292837017687,132.231182515053,-10.8891446834061,-22.7810912299622,-27.3894006941589,-35.2381427263992,-27.0641554145595,-10.6611881505528,-29.1329777956885,-33.1212714936844,17.3991719199983,15.7822088765945,17.3653679086538,116.399642214755,-22.236219390418,-24.0640605816923,-43.8941035457831,-26.0992031120968,-36.3095054279991,-15.984766722444,-33.1015725240286,-32.9139764789304,-5.97492949176399,-19.3149137328085,31.1912889979453,-21.8819714877616,12.7918996141671,-35.5575961253869,-23.4075465406697,-17.9407686167585,-20.3246721240391,-8.6630597885985,-17.7862894486607,-28.6162743912917,-4.3811758446659,-27.7202971932886,-10.9195404822842,-38.1031398683069,-12.9878112263998,-27.3426408348143,-32.5519389908472,-39.1243725669885,-22.9455932809826,-28.1271214365436,-48.0450996747534,-39.4273130562469,-34.7068193120604,-23.9116995260849,-35.2761438302302,-31.1402153608567,3.12185342739144,4.41833719119097,3.96789755908247,3.00886376056781,5.04018599678085,3.50894380896381,3.73979675489983,4.41760270849971,5.23122299097196,3.72220880635132,3.4530505323599,3.884260545681,4.62873752289488,4.08133942559419,4.12612260680601,4.40856795413583,3.78944126897551,3.9669558224594,5.17299565618788,3.0781504176561
,61.5,-37.2230029149669,-48.0556466849048,-57.6639433883809,-73.904527288606,-33.7256139580936,-42.8669316263492,18.1464932485496,2.0655088060937,-30.7983451121429,-29.9096627694375,-8.60292837018437,132.231182515032,-10.8891446833916,-22.7810912299803,-27.3894006941407,-35.2381427263851,-27.0641554145579,-10.6611881505626,-29.1329777957008,-33.1212714936808,17.3991719199751,15.7822088766002,17.3653679086549,116.399642214763,-22.2362193904255,-24.0640605816886,-43.8941035457963,-26.0992031121068,-36.3095054279995,-15.9847667224374,-33.1015725240313,-32.9139764789259,-5.97492949175694,-19.3149137328005,31.1912889979419,-21.8819714877575,12.7918996141734,-35.5575961253821,-23.4075465406784,-17.9407686167528,-20.3246721240462,-8.66305978859168,-17.7862894486652,-28.6162743912826,-4.38117584465863,-27.7202971932859,-10.9195404822835,-38.1031398683233,-12.9878112264041,-27.3426408348234,-32.5519389908429,-39.1243725669847,-22.9455932809828,-28.1271214365404,-48.0450996747395,-39.4273130562362,-34.7068193120681,-23.9116995260922,-35.2761438302273,-31.1402153608565,3.12185342738803,4.41833719118631,3.96789755907685,3.0088637605661,5.04018599677852,3.50894380895835,3.73979675490182,4.41760270849937,5.231222990974,3.72220880635177,3.45305053236001,3.88426054568345,4.62873752289443,4.08133942559635,4.12612260680652,4.40856795413652,3.78944126897727,3.96695582246377,5.17299565618737,3.07815041765627
,62,-37.2230029149569,-48.0556466849721,-57.6639433883565,-73.9045272886997,-33.7256139580588,-42.8669316263361,18.1464932485048,2.06550880622194,-30.7983451120244,-29.9096627695144,-8.6029283701348,132.231182515178,-10.8891446835016,-22.7810912298244,-27.3894006942842,-35.2381427265043,-27.0641554145539,-10.66118815048,-29.1329777956175,-33.1212714937055,17.3991719201674,15.7822088765422,17.3653679086333,116.399642214698,-22.2362193903614,-24.0640605817096,-43.8941035456949,-26.0992031120227,-36.3095054279966,-15.9847667224858,-33.1015725240077,-32.9139764789704,-5.97492949181333,-19.3149137328683,31.1912889979842,-21.8819714877902,12.7918996141225,-35.5575961254235,-23.4075465406033,-17.9407686167942,-20.3246721239916,-8.66305978864852,-17.7862894486289,-28.6162743913355,-4.38117584472934,-27.7202971933234,-10.919540482307,-38.1031398681805,-12.9878112263664,-27.3426408347548,-32.5519389908852,-39.1243725670092,-22.9455932809849,-28.127121436575,-48.0450996748505,-39.4273130563217,-34.7068193120101,-23.911699526034,-35.2761438302673,-31.140215360852,3.12185342741225,4.41833719122661,3.9678975591209,3.00886376058077,5.0401859967929,3.50894380899626,3.73979675488323,4.41760270850227,5.23122299095922,3.72220880635325,3.4530505323591,3.88426054566435,4.62873752289806,4.08133942558419,4.12612260680345,4.40856795412947,3.78944126896522,3.96695582242876,5.17299565618879,3.07815041766162
,62.5,-39.2474134145084,-50.9586578009553,-61.1117277644614,-76.855044163462,-36.7401253486732,-45.6937767821048,15.978405948448,-0.675617800507325,-34.0667351606319,-32.2299658622876,-11.7304586180567,130.571610495526,-14.082153381278,-26.3635611822949,-30.4044978718616,-37.872460614406,-30.1898827191287,-13.841169974897,-31.9275818586323,-36.7033406996056,14.4861664985822,12.6301225833563,14.0665362791592,113.084052667994,-24.8506134042773,-27.035780599442,-46.5613851702565,-27.8930501754596,-38.3410875706222,-18.6130813548489,-35.336014836369,-35.5592077137617,-8.77688255496082,-21.7947840197535,28.8846860082324,-24.7467380747175,10.5825759953975,-37.9986869355341,-25.7748928459289,-20.3200980303995,-22.0984293185522,-11.4193492620172,-19.5160385485747,-30.7770132467454,-6.68728907309514,-29.7765010243522,-13.2092915461335,-40.4141651663003,-15.2373863637706,-29.524097243605,-34.5463373485102,-40.7827383499794,-24.8768404898024,-30.138803099371,-50.186419476807,-41.5249519692104,-36.5516448588114,-25.8648127356851,-37.3126107004689,-32.6917602683694,3.05811072412456,4.35287314472458,3.92460445569515,2.98837732283135,5.02096317693082,3.49664755031637,3.67785857324077,4.41621386826967,5.27684650874983,3.68909151823988,3.421859756186,3.83438366027696,4.61594514006021,4.03114137250765,4.17357513128519,4.37448334556905,3.76848334240719,3.94668853134448,5.24261473979192,3.07009260750027
,63,-26.8752083620091,-33.1867322544269,-39.8693949132262,-58.8877299179399,-18.2050044332564,-28.2748532907592,29.598921053986,16.3214094173325,-13.9256727054105,-17.936414388078,7.82905898999525,141.333204787953,5.50069068706125,-4.57402728513671,-12.1023705218433,-21.9934039719662,-11.0503500792724,5.75266770813391,-14.9607580277152,-14.9307000133226,32.6784887078866,32.1122281885098,34.4482356182821,134.732869806752,-8.80578654292344,-8.84465920319803,-30.2950576863188,-16.8352514567018,-25.8926873897121,-2.4119469897571,-21.6469236534499,-19.3982957369187,8.61185291102538,-6.5034860946339,43.2836901190599,-7.12431530319009,24.2471690349275,-23.2015240583573,-11.2637923881598,-5.70374164982786,-11.3102442807024,5.61864586371757,-8.98372484884726,-17.6292533279827,7.5846902670562,-17.1730080028678,0.788230473142221,-26.396524331243,-1.38015544799009,-16.0848983614571,-22.2813570475791,-30.7147253483124,-12.9937108091221,-17.8706464956392,-37.1076149427699,-28.7021313236203,-25.1871909625052,-13.8615631664802,-24.981895593206,-23.3527390395561,3.53962921481155,4.82429068532269,4.23125630847903,3.1313609339976,5.14644621569897,3.55051068019202,4.16910793345488,4.45823912926977,4.99839965987513,3.93906544130442,3.68422240927157,4.15673132340976,4.72518252342093,4.36333017082876,3.87310161380555,4.64163351761431,3.90544744601453,4.094183245897,4.78085863891675,3.13408432547578
,63.5,-1.80559874727055,2.82492162378412,2.12014521015158,-21.933509229626,18.7741463744258,6.10483055894588,54.5496966270316,49.2993450592162,26.0336041714552,10.368794906479,44.386827156613,158.09012894278,44.9097821001187,40.7075267726166,26.1768200759793,12.0478978381018,27.6915634322663,44.4562054300934,20.4732396155107,30.4518497821546,66.7775772165915,70.1573811487731,74.4564737603207,168.07084510369,23.3734734295294,28.0697846737814,2.92183191216213,4.71431520178567,-0.962096234056844,29.5135638710874,5.88331582598312,13.3988879438091,42.1150680792623,23.5937225214643,70.3728892807308,27.839235456514,51.00353640925,7.85693117579399,17.9927443535717,23.5015258565463,11.0369254828245,38.9062236964746,12.8107732221688,9.47700366986055,35.2862886010064,8.09394687027452,29.2776223319102,2.89160802128913,26.0008355914581,10.3503310952624,2.07006859062381,-9.80143525285007,10.5450782244459,7.29576742625227,-10.566524827216,-2.75934262096098,-2.99717596853407,10.0100999984024,0.994769583433936,-3.2700337161159,3.75277806268844,5.2192574123842,4.52485190658609,3.23876540295709,5.44748092580085,3.84724766774411,4.23979331548276,4.2516008267765,4.4503750440465,4.05297685540006,3.66561351107077,4.77216375988962,4.72636416196036,4.87026757262521,3.32578657798933,4.71751897901351,4.09571030418215,4.20383046748606,4.15037450928838,3.14078720725547
,64,19.2266974353679,31.0557277626376,33.8651119092176,9.44416742878752,46.7914178620231,32.1144842315173,70.3148626778791,71.704949278768,55.0298709113965,31.5875025556511,68.1430814657349,167.250965305761,75.3882664801995,77.5400895067676,57.7827625454272,41.4767696917866,57.9177181283335,73.6707008860069,49.9924377296036,67.3244829366154,89.6854121649953,98.2022028931372,103.010134804767,180.736583641792,48.3318852368557,56.7979552868046,30.9235321921351,22.2210477087724,19.5819580612251,53.6467376785542,27.9602376536791,40.7307557967954,65.1130766489189,46.1800117094381,88.3698916079338,55.082669271749,69.6788145970327,34.0125627698474,40.5118945840673,45.896135596078,29.4290627494556,63.001904076029,30.1250713164191,32.4653396118345,55.5158894021772,28.5617436440491,51.982352883135,27.9903235002655,46.7591648564917,30.9640723832099,20.8592652848715,8.1021474743311,28.6485670998486,27.6660169405488,11.6256955913004,18.7114624582023,15.3974931189985,28.6968174681081,23.1891980554001,14.4513277764274,3.30537243821794,4.89910997416553,4.32758827733102,3.47651646580277,4.76631895958332,4.14289804907548,3.42737965628896,3.96523536025802,3.81905145116411,3.80655726649599,2.8415554686535,4.36332990765385,4.26450607066681,4.80375119586432,3.09370068054244,4.20117469716547,4.35101987564508,4.09098169585866,3.8585541668366,3.03564861291295
,64.5,37.8340517726185,54.7747928000676,58.9116980613667,36.8186607378696,68.5843581397396,54.2097611747731,81.6414400684039,86.9374556362318,76.2457782710899,47.874093202985,84.7032641520229,178.436541329247,100.987082449101,108.026178320207,85.5894585833757,68.5264526527367,84.3277573933265,97.7088813516782,75.347430181381,97.99812304072,107.646981286615,120.070114276876,124.215234774479,187.524837814275,69.4629555309407,80.2236931664486,57.8775314655059,41.6182148986265,40.147198400274,74.1973054051564,49.4083046846656,66.0717355868424,84.5598152200239,65.9429147414417,101.55659321678,77.7147826544285,82.8532981687981,57.5316196923523,61.1445721992727,65.5954039187643,47.2068727023502,82.9556325238755,46.6928898630213,54.0894518699965,72.5401482054492,48.2980439760015,71.6273366987218,50.6250064913788,64.5723530200848,50.4615972002016,38.3146768534948,26.362813752412,45.6689904790387,46.9042161367531,33.3859555261467,40.3251506358213,34.4378909581171,46.0294764338721,42.6427430764923,31.4548605598717,3.52430002459073,4.4843699334811,4.37659327636516,3.8458675564894,4.06366489951887,4.32610125361362,3.60260303999223,3.85738265774836,3.36863985977521,3.90595024480342,2.3357027465737,3.77502190295689,3.69943982975855,4.67827723099384,3.15517664221892,4.12600068055383,4.28473054601955,4.0926223474163,3.12112394077803,3.15076185527448
