,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,tba-1,Unkn,N2,79.5,911.010974248201,74.5,93.5,
,A02,SYBR,tba-1,Unkn,N2,79.5,1055.88107960862,74,90.5,
,A03,SYBR,tba-1,Unkn,N2,79.5,1020.62319908653,73.5,91,
,A04,SYBR,tba-1,Unkn,FAU5,79.5,1019.39774819883,74,84.5,
,A05,SYBR,tba-1,Unkn,FAU5,79.5,990.829711900352,73,90,
,A06,SYBR,tba-1,Unkn,FAU5,79.5,995.800726533376,74,92.5,
,A07,SYBR,tba-1,Unkn,N2 treated,79.5,841.246517556233,73,90.5,
,A08,SYBR,tba-1,Unkn,N2 treated,79.5,902.891023302603,73,90.5,
,A09,SYBR,tba-1,Unkn,N2 treated,79.5,1001.30952970957,68,92.5,
,A10,SYBR,tba-1,Unkn,FAU5 treated,79,844.434143198492,73.5,83,
,A11,SYBR,tba-1,Unkn,FAU5 treated,79,960.335501686664,73.5,83,
,A12,SYBR,tba-1,Unkn,FAU5 treated,69,928.551261021,62.5,81.5,
,B01,SYBR,oac-7,Unkn,N2,77.5,1189.56550256798,63,84,
,B02,SYBR,oac-7,Unkn,N2,77.5,1319.8062929236,63,81.5,
,B03,SYBR,oac-7,Unkn,N2,77.5,1171.28452125251,63,81.5,
,B04,SYBR,oac-7,Unkn,FAU5,77.5,1087.11498321398,63.5,86,
,B05,SYBR,oac-7,Unkn,FAU5,78,1051.86559556533,70,86.5,
,B06,SYBR,oac-7,Unkn,FAU5,78,1107.18803417775,70,83,
,B07,SYBR,oac-7,Unkn,N2 treated,78,1090.59896209393,63,82,
,B08,SYBR,oac-7,Unkn,N2 treated,78,1158.03723120831,63,82,
,B09,SYBR,oac-7,Unkn,N2 treated,78,1159.59582257038,62.5,82,
,B10,SYBR,oac-7,Unkn,FAU5 treated,77.5,1201.86763295984,62.5,88,
,B11,SYBR,oac-7,Unkn,FAU5 treated,77.5,1167.34594581218,69,81.5,
,B12,SYBR,oac-7,Unkn,FAU5 treated,71.5,1017.97762131485,62.5,75,
,C01,SYBR,nhr-58,Unkn,N2,77.5,929.257896540445,71.5,82.5,
,C02,SYBR,nhr-58,Unkn,N2,77.5,972.127671007711,72,84,
,C03,SYBR,nhr-58,Unkn,N2,77.5,1088.10108585267,71.5,84.5,
,C04,SYBR,nhr-58,Unkn,FAU5,77.5,930.132179753291,72,81.5,
,C05,SYBR,nhr-58,Unkn,FAU5,77.5,993.009125102269,71.5,85.5,
,C06,SYBR,nhr-58,Unkn,FAU5,77.5,955.886221168077,72.5,86.5,
,C07,SYBR,nhr-58,Unkn,N2 treated,77.5,989.968773841155,72,86,
,C08,SYBR,nhr-58,Unkn,N2 treated,77.5,1048.79138876899,72,83,
,C09,SYBR,nhr-58,Unkn,N2 treated,77.5,1052.65665453944,63,84,
,C10,SYBR,nhr-58,Unkn,FAU5 treated,77.5,1019.14558695015,63,84.5,
,C11,SYBR,nhr-58,Unkn,FAU5 treated,77.5,909.001849674061,71.5,83,
,C12,SYBR,nhr-58,Unkn,FAU5 treated,77.5,959.600475626962,72,86,
,D01,SYBR,ugt-31,Unkn,N2,76.5,698.078106554912,72,82.5,
,D02,SYBR,ugt-31,Unkn,N2,77,812.001568205604,72.5,83,
,D03,SYBR,ugt-31,Unkn,N2,77,838.593745759733,71.5,87.5,
,D04,SYBR,ugt-31,Unkn,FAU5,77,890.033391507243,71.5,85,
,D05,SYBR,ugt-31,Unkn,FAU5,77,825.611762755553,72.5,84,
,D06,SYBR,ugt-31,Unkn,FAU5,77,875.880636888825,72,84,
,D07,SYBR,ugt-31,Unkn,N2 treated,77,770.503640347138,72,83,
,D08,SYBR,ugt-31,Unkn,N2 treated,77,833.033700097776,71.5,83,
,D09,SYBR,ugt-31,Unkn,N2 treated,77,825.040539315593,72,83,
,D10,SYBR,ugt-31,Unkn,FAU5 treated,77,875.526751970346,63.5,83,
,D11,SYBR,ugt-31,Unkn,FAU5 treated,77,854.171977591446,63,84,
,D12,SYBR,ugt-31,Unkn,FAU5 treated,77,822.05857872058,72,87,
,E01,SYBR,t22f3.3,Unkn,N2,75.5,786.214639364053,63,86.5,
,E02,SYBR,t22f3.3,Unkn,N2,75.5,759.02290719295,63.5,82,
,E03,SYBR,t22f3.3,Unkn,N2,75,817.731420323369,63.5,79.5,
,E04,SYBR,t22f3.3,Unkn,FAU5,75.5,887.529042345459,64,88.5,
,E05,SYBR,t22f3.3,Unkn,FAU5,75.5,779.773812677896,63.5,84,
,E06,SYBR,t22f3.3,Unkn,FAU5,75.5,783.081376865081,63.5,79.5,
,E07,SYBR,t22f3.3,Unkn,N2 treated,75.5,742.450816408005,63.5,82.5,
,E08,SYBR,t22f3.3,Unkn,N2 treated,75.5,798.185539711109,63.5,82,
,E09,SYBR,t22f3.3,Unkn,N2 treated,75.5,830.765122717622,63.5,80,
,E10,SYBR,t22f3.3,Unkn,FAU5 treated,75.5,733.496680918758,63.5,81,
,E11,SYBR,t22f3.3,Unkn,FAU5 treated,75.5,708.209741776073,63.5,83.5,
,E12,SYBR,t22f3.3,Unkn,FAU5 treated,75,560.828232724517,63.5,83.5,
,G01,SYBR,tba-1,NRT,N2,None,None,None,None,
,G02,SYBR,oac-7,NRT,N2,None,None,None,None,
,G03,SYBR,nhr-58,NRT,N2,None,None,None,None,
,G04,SYBR,ugt-31,NRT,N2,None,None,None,None,
,G05,SYBR,t22f3.3,NRT,N2,None,None,None,None,
,G07,SYBR,tba-1,NRT,N2 treated,None,None,None,None,
,G08,SYBR,oac-7,NRT,N2 treated,None,None,None,None,
,G09,SYBR,ceh-74,NRT,N2 treated,None,None,None,None,
,G11,SYBR,ugt-31,NRT,N2 treated,None,None,None,None,
,G12,SYBR,t22f3.3,NRT,N2 treated,None,None,None,None,
,H01,SYBR,tba-1,NRT,FAU5,None,None,None,None,
,H02,SYBR,oac-7,NRT,FAU5,None,None,None,None,
,H03,SYBR,nhr-58,NRT,FAU5,None,None,None,None,
,H04,SYBR,ugt-31,NRT,FAU5,None,None,None,None,
,H05,SYBR,t22f3.3,NRT,FAU5,None,None,None,None,
