,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G7,G8,G9,G11,G12,H1,H2,H3,H4,H5,H7,H8,H9,H11,H12
,60,7207.59937142963,8017.56872814111,7855.23732927973,7605.84285071012,7825.20147829564,7886.1901080257,7340.92803734961,7540.32523934451,7982.78080023515,6995.13022741956,7893.35765695519,7279.17877669246,8633.82430184066,9118.54626981582,8295.42793400409,7904.63666524995,7866.0715432023,8240.63347722013,8017.15644044462,8432.53695406089,8646.92825834284,8847.17137098258,8594.99781673633,7803.69822951025,7113.32353561269,7344.17243054704,7862.06627638899,7242.48943298932,7346.68950132256,7380.45190521454,7360.99317923635,7734.59435165031,7969.36580259844,7518.09753517837,7232.60844640544,7249.92598531242,6453.81003691196,6866.33246302081,7067.50069883398,7230.2845167281,6776.93255780125,7334.54315812406,6408.20831093749,6771.26303592577,6899.27128444023,6942.60157831802,7003.75215648444,6631.15934978799,6740.11090615081,6462.32081818405,6673.98704059221,6857.64176584926,6640.27908863677,6497.44488149145,6552.05780473821,6781.60062582599,6846.93159093783,6242.67536473808,6367.49276695443,5629.32551619854,2601.17114718695,2648.57945752337,2673.95765532533,2632.66362829474,2682.42329515588,2652.31514668641,2650.75666039175,2658.50306619098,2658.73476953061,2637.14322048606,2606.19647570985,2641.08104111212,2689.81679964304,2625.25270884997,2625.76444044125,2653.63997422314,2652.78155837383,2615.55091995068,2671.66014677758,2593.48161142479
,60.5,7226.21087288711,8041.59655148357,7884.06930097391,7642.79511435443,7842.06428527469,7907.62357383887,7331.85479072534,7539.29248494146,7998.17997279121,7010.08505880428,7897.65912114028,7213.06318543494,8639.26887418236,9129.9368154308,8309.12263435117,7922.25573661315,7879.60362090958,8245.96407129541,8031.72292934246,8449.09758980773,8638.22867238284,8839.28026654428,8586.315132782,7745.49840840287,7124.4416453079,7356.20446083789,7884.01332816188,7255.53903454537,7364.84425403656,7388.44428857577,7377.54396549837,7751.05133988978,7972.35326734432,7527.75499204477,7217.01280190647,7260.86697105631,6447.41408710488,6884.11126108351,7079.20447210432,7239.25490103648,6787.09489386327,7338.87468801836,6417.10145566182,6785.57117312142,6901.46187236257,6956.46172691466,7009.21192672558,6650.21091972214,6746.60481176401,6475.99213860146,6690.26301008763,6877.20395213275,6651.75188527726,6511.50844220972,6576.08035457559,6801.31428235411,6864.28500059386,6254.63121450112,6385.13083886955,5644.89562387897,2599.61022047326,2646.37028892777,2671.97370654579,2631.15919641445,2679.90320215749,2650.56067478193,2648.8867620143,2656.29426483673,2656.11915803512,2635.28211608288,2604.46995044367,2639.13891083928,2687.50243088159,2623.21203913717,2623.70137913784,2651.43569024607,2650.88683773934,2613.56744203945,2669.07364894949,2591.94253621596
,61,7244.82237434459,8065.62437482602,7912.9012726681,7679.74737799874,7858.92709225373,7929.05703965205,7322.78154410106,7538.2597305384,8013.57914534728,7025.039890189,7901.96058532537,7146.94759417741,8644.71344652407,9141.32736104578,8322.81733469825,7939.87480797635,7893.13569861686,8251.29466537068,8046.28941824031,8465.65822555457,8629.52908642284,8831.38916210599,8577.63244882767,7687.29858729549,7135.55975500311,7368.23649112874,7905.96037993477,7268.58863610142,7382.99900675056,7396.43667193699,7394.09475176038,7767.50832812925,7975.3407320902,7537.41244891118,7201.4171574075,7271.80795680019,6441.01813729779,6901.8900591462,7090.90824537465,7248.22528534486,6797.25722992529,7343.20621791266,6425.99460038615,6799.87931031706,6903.6524602849,6970.32187551131,7014.67169696672,6669.26248965629,6753.09871737721,6489.66345901886,6706.53897958306,6896.76613841624,6663.22468191775,6525.57200292799,6600.10290441297,6821.02793888223,6881.63841024989,6266.58706426416,6402.76891078466,5660.4657315594,2598.04929375956,2644.16112033218,2669.98975776624,2629.65476453417,2677.3831091591,2648.80620287745,2647.01686363685,2654.08546348248,2653.50354653964,2633.4210116797,2602.74342517749,2637.19678056644,2685.18806212014,2621.17136942438,2621.63831783444,2649.231406269,2648.99211710486,2611.58396412822,2666.48715112139,2590.40346100713
,61.5,7263.43387580208,8089.65219816848,7941.73324436229,7716.69964164305,7875.78989923278,7950.49050546522,7313.70829747679,7537.22697613535,8028.97831790334,7039.99472157373,7906.26204951046,7080.83200291988,8650.15801886577,9152.71790666076,8336.51203504533,7957.49387933955,7906.66777632414,8256.62525944596,8060.85590713815,8482.21886130142,8620.82950046284,8823.49805766769,8568.94976487335,7629.09876618811,7146.67786469832,7380.26852141958,7927.90743170766,7281.63823765747,7401.15375946456,7404.42905529821,7410.6455380224,7783.96531636871,7978.32819683608,7547.06990577758,7185.82151290852,7282.74894254407,6434.62218749071,6919.6688572089,7102.61201864499,7257.19566965324,6807.41956598731,7347.53774780696,6434.88774511048,6814.18744751271,6905.84304820723,6984.18202410795,7020.13146720786,6688.31405959045,6759.59262299041,6503.33477943627,6722.81494907848,6916.32832469974,6674.69747855825,6539.63556364626,6624.12545425034,6840.74159541036,6898.99181990592,6278.54291402721,6420.40698269978,5676.03583923983,2596.48836704587,2641.95195173658,2668.0058089867,2628.15033265389,2674.8630161607,2647.05173097296,2645.1469652594,2651.87666212823,2650.88793504415,2631.55990727653,2601.01689991131,2635.2546502936,2682.87369335869,2619.13069971158,2619.57525653104,2647.02712229193,2647.09739647037,2609.60048621699,2663.9006532933,2588.8643857983
,62,7282.04537725956,8113.68002151094,7970.56521605648,7753.65190528736,7892.65270621182,7971.92397127839,7304.63505085252,7536.19422173229,8044.37749045941,7054.94955295845,7910.56351369555,7014.71641166236,8655.60259120747,9164.10845227574,8350.20673539241,7975.11295070275,7920.19985403142,8261.95585352124,8075.422396036,8498.77949704826,8612.12991450284,8815.6069532294,8560.26708091902,7570.89894508073,7157.79597439353,7392.30055171043,7949.85448348056,7294.68783921352,7419.30851217856,7412.42143865943,7427.19632428441,7800.42230460818,7981.31566158197,7556.72736264398,7170.22586840955,7293.68992828795,6428.22623768363,6937.44765527159,7114.31579191532,7266.16605396162,6817.58190204933,7351.86927770126,6443.78088983481,6828.49558470835,6908.03363612957,6998.0421727046,7025.59123744901,6707.3656295246,6766.08652860361,6517.00609985368,6739.09091857391,6935.89051098323,6686.17027519874,6553.69912436454,6648.14800408772,6860.45525193848,6916.34522956196,6290.49876379025,6438.04505461489,5691.60594692026,2594.92744033217,2639.74278314099,2666.02186020716,2626.6459007736,2672.34292316231,2645.29725906848,2643.27706688195,2649.66786077398,2648.27232354866,2629.69880287335,2599.29037464513,2633.31252002076,2680.55932459725,2617.09002999878,2617.51219522763,2644.82283831486,2645.20267583588,2607.61700830576,2661.31415546521,2587.32531058947
,62.5,7300.65687871704,8137.70784485344,7999.39718775065,7790.60416893174,7909.51551319084,7993.35743709156,7295.56180422828,7535.16146732914,8059.77666301538,7069.90438434323,7914.8649778806,6948.60082040472,8661.04716354926,9175.49899789061,8363.9014357396,7992.73202206604,7933.7319317387,8267.28644759645,8089.98888493378,8515.34013279512,8603.4303285427,8807.71584879114,8551.58439696471,7512.69912397341,7168.91408408869,7404.33258200129,7971.80153525337,7307.7374407695,7437.46326489256,7420.41382202069,7443.74711054641,7816.87929284768,7984.30312632789,7566.38481951044,7154.63022391055,7304.63091403185,6421.83028787658,6955.22645333431,7126.0195651856,7275.13643827003,6827.74423811131,7356.2008075956,6452.67403455912,6842.80372190404,6910.22422405195,7011.90232130127,7031.05100769017,6726.41719945864,6772.58043421678,6530.67742027103,6755.36688806936,6955.45269726675,6697.64307183923,6567.76268508283,6672.17055392518,6880.16890846667,6933.69863921794,6302.45461355325,6455.68312653004,5707.17605460068,2593.36651361846,2637.53361454536,2664.03791142759,2625.14146889331,2669.82283016391,2643.54278716397,2641.40716850451,2647.45905941973,2645.65671205319,2627.83769847018,2597.56384937895,2631.37038974793,2678.2449558358,2615.04936028599,2615.44913392423,2642.6185543378,2643.3079552014,2605.63353039456,2658.72765763711,2585.78623538064
,63,7319.26838017452,8161.7356681959,8028.22915944484,7827.55643257605,7926.37832016989,8014.79090290473,7286.48855760401,7534.12871292609,8075.17583557145,7084.85921572795,7919.16644206569,6882.4852291472,8666.49173589096,9186.88954350559,8377.59613608668,8010.35109342924,7947.26400944598,8272.61704167173,8104.55537383162,8531.90076854196,8594.7307425827,8799.82474435285,8542.90171301038,7454.49930286603,7180.0321937839,7416.36461229213,7993.74858702626,7320.78704232555,7455.61801760656,7428.40620538191,7460.29789680842,7833.33628108714,7987.29059107377,7576.04227637684,7139.03457941157,7315.57189977573,6415.4343380695,6973.00525139701,7137.72333845593,7284.10682257841,6837.90657417332,7360.5323374899,6461.56717928345,6857.11185909968,6912.41481197429,7025.76246989792,7036.51077793131,6745.4687693928,6779.07433982998,6544.34874068844,6771.64285756479,6975.01488355024,6709.11586847972,6581.82624580111,6696.19310376256,6899.88256499479,6951.05204887397,6314.41046331629,6473.32119844515,5722.74616228111,2591.80558690476,2635.32444594976,2662.05396264805,2623.63703701302,2667.30273716552,2641.78831525949,2639.53727012706,2645.25025806548,2643.0411005577,2625.976594067,2595.83732411277,2629.42825947509,2675.93058707435,2613.0086905732,2613.38607262083,2640.41427036073,2641.41323456691,2603.65005248333,2656.14115980902,2584.24716017181
,63.5,7325.73341863471,8168.34542484246,8036.37442488241,7846.80559497179,7925.15405880525,8019.2632977833,7264.40678717938,7516.64919888266,8070.96466783586,7085.89222855603,7904.70272476324,6806.41220577175,8652.778256046,9176.78526940575,8373.20025336829,8012.16425746503,7942.0417233258,8258.8677448005,8102.35423835138,8526.96898905341,8568.55312409318,8773.02112215542,8514.4260392792,7376.40594447842,7175.46393939561,7410.56632247658,7999.69194905178,7323.07356150099,7461.58327746482,7420.62870094897,7463.44202919627,7833.92188191786,7973.46633744077,7570.82051152194,7109.59931697409,7309.32428599805,6395.78244655007,6976.13750459904,7135.22303389433,7278.80123040518,6837.42636706798,7348.32613054399,6460.0818294081,6858.45556316288,6900.76872052641,7027.28539550839,7028.2320417895,6750.65418753823,6772.07079461875,6544.93132265275,6775.95243691446,6984.62687513591,6709.0011818673,6583.8197165426,6707.36773478819,6907.01038804558,6957.33650524919,6314.64763382142,6478.74046913905,5729.00700051643,2589.86220397134,2632.72249307516,2659.81025524795,2622.00968650624,2664.66730724796,2639.96006580293,2637.29574265976,2643.03312366983,2640.69923016896,2623.91678593515,2593.92365418955,2627.18686788993,2673.53946401588,2610.66683254194,2611.60772646432,2638.0054787323,2639.39276637308,2601.54497082559,2653.97237648254,2582.65973810202
,64,7321.4064464289,8159.6602678965,8027.16674363115,7849.93693410012,7908.53104452758,8009.52173706779,7232.98844078522,7486.02453066447,8050.3274927908,7075.23382033239,7876.23984269666,6725.20672332627,8622.45547530378,9146.95446068606,8351.98305329089,7998.61041006284,7920.37608625264,8229.12223740242,8084.58067521051,8502.22614703465,8529.18321115403,8730.72250927468,8469.68963314463,7288.95072796138,7157.36009759134,7389.10252029359,7991.2074477499,7316.36529632516,7456.91248841837,7399.66878814709,7454.8741315626,7820.37324274809,7946.29246795115,7553.19198216818,7069.68075363224,7288.49101219839,6365.32652128107,6965.52692103925,7120.36078725617,7261.26194114383,6827.17746801851,7322.58373647068,6449.14089953363,6847.93479481117,6877.89774952759,7018.06871834434,7007.7688930825,6742.88238817385,6753.72847913143,6534.52792873863,6770.08716704924,6984.9955818467,6699.07289056861,6574.93149706885,6707.0797613352,6902.97430062808,6954.32501203693,6304.87354693679,6472.61242192776,5726.13708000893,2588.13073844408,2630.19955549132,2657.58814862093,2620.37980728107,2661.97741712889,2637.93855226126,2635.40030772467,2641.00980955041,2638.60286643408,2621.96589524096,2592.27414758557,2624.78473309718,2671.2664851784,2608.20978907134,2610.01954523116,2635.76803457655,2637.31384988537,2599.47363122942,2651.95705806216,2581.11783831335
,64.5,7306.92781626843,8138.05417220095,8003.61873250206,7838.04712574656,7879.38218629894,7987.83309374966,7194.85904944016,7446.12407959149,8017.19154579891,7055.11399061757,7837.77314586808,6638.91354749402,8578.21577145254,9100.26349597006,8316.05769382916,7971.09394216341,7884.77792678559,8186.06524602259,8053.03073365796,8460.65425942959,8479.71554041293,8675.84225505849,8412.62660060064,7196.73559535837,7127.77815512545,7354.65455405559,7969.00341251543,7300.6493639771,7442.04645398269,7367.59586736863,7435.65688353578,7793.5683137981,7909.00854982249,7525.14480096993,7022.03695336028,7255.01922615217,6326.98897202465,6942.54139752705,7095.0756217089,7233.38654193268,6808.13294176969,7286.04934162072,6430.12843589358,6826.24922961506,6845.80545608439,6998.91599009431,6976.78166289114,6723.07579783482,6725.81856217713,6514.21291124409,6755.3417754887,6976.48967212134,6680.569717897,6556.37929978228,6695.86466554304,6888.3467378072,6941.89928871037,6286.21988250771,6455.98153189147,5714.6831941266,2586.48439430911,2627.85003535214,2655.46051065014,2618.51622345541,2659.90515542569,2635.82816918462,2633.75022917822,2639.04507625983,2636.85308932846,2620.06996899426,2591.0521182278,2622.85516128395,2669.29032563996,2605.87975370686,2608.4716342748,2633.75378193845,2635.08713957415,2597.44514316823,2650.15709071794,2579.59638375651
