,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
A,Cq,21.3086716864942,21.1267545032984,21.179316100224,21.4788203213494,21.4472418106343,21.4384423679343,23.7308812196484,23.5799289545189,23.5878412377825,22.0489527262972,21.6912234140792,22.2284068906749
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
B,Cq,29.4998268826493,29.5727838603278,29.3411972930124,29.6991709710983,29.8863639620577,29.7076256198934,28.4938044731252,28.2404699975989,28.2422238627686,27.0557936680417,27.1370955907847,27.7897687811582
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
C,Cq,28.415719109512,28.3630976583131,28.2819079157992,29.0464990118555,29.0606943618998,29.0974252775275,28.8544657287523,28.6821390739129,28.6646800686176,26.8827625541032,26.8879368572587,26.8704782194958
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
D,Cq,27.4531250144426,27.4636845377147,27.3259513933272,27.3181684193244,27.4888277561061,27.2894459573722,28.056077825932,28.010092221515,27.7776535503517,25.4430174182199,25.4438172036291,25.4942501433961
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
E,Cq,31.5112634824497,31.2987493523568,31.3538462475737,31.9749948654056,31.5102302508079,32.1115631275462,33.0573777935171,33.7021360100606,32.866765027944,32.409622980291,32.6240145988946,32.7784622669228
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,
F,copy number,,,,,,,,,,,,
G,Content,NRT,NRT,NRT,NRT,NRT,,NRT,NRT,NRT,,NRT,NRT
G,Sample,N2,N2,N2,N2,N2,,N2 treated,N2 treated,N2 treated,,N2 treated,N2 treated
G,Cq,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
G,copy number,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
H,Content,NRT,NRT,NRT,NRT,NRT,,NRT,NRT,NRT,,NRT,NRT
H,Sample,FAU5,FAU5,FAU5,FAU5,FAU5,,FAU5 treated,FAU5 treated,FAU5 treated,,FAU5 treated,FAU5 treated
H,Cq,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN
