,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,tba-1,Unkn,N2,21.3086716864942,NaN
,A02,SYBR,tba-1,Unkn,N2,21.1267545032984,NaN
,A03,SYBR,tba-1,Unkn,N2,21.179316100224,NaN
,A04,SYBR,tba-1,Unkn,FAU5,21.4788203213494,NaN
,A05,SYBR,tba-1,Unkn,FAU5,21.4472418106343,NaN
,A06,SYBR,tba-1,Unkn,FAU5,21.4384423679343,NaN
,A07,SYBR,tba-1,Unkn,N2 treated,23.7308812196484,NaN
,A08,SYBR,tba-1,Unkn,N2 treated,23.5799289545189,NaN
,A09,SYBR,tba-1,Unkn,N2 treated,23.5878412377825,NaN
,A10,SYBR,tba-1,Unkn,FAU5 treated,22.0489527262972,NaN
,A11,SYBR,tba-1,Unkn,FAU5 treated,21.6912234140792,NaN
,A12,SYBR,tba-1,Unkn,FAU5 treated,22.2284068906749,NaN
,B01,SYBR,oac-7,Unkn,N2,29.4998268826493,NaN
,B02,SYBR,oac-7,Unkn,N2,29.5727838603278,NaN
,B03,SYBR,oac-7,Unkn,N2,29.3411972930124,NaN
,B04,SYBR,oac-7,Unkn,FAU5,29.6991709710983,NaN
,B05,SYBR,oac-7,Unkn,FAU5,29.8863639620577,NaN
,B06,SYBR,oac-7,Unkn,FAU5,29.7076256198934,NaN
,B07,SYBR,oac-7,Unkn,N2 treated,28.4938044731252,NaN
,B08,SYBR,oac-7,Unkn,N2 treated,28.2404699975989,NaN
,B09,SYBR,oac-7,Unkn,N2 treated,28.2422238627686,NaN
,B10,SYBR,oac-7,Unkn,FAU5 treated,27.0557936680417,NaN
,B11,SYBR,oac-7,Unkn,FAU5 treated,27.1370955907847,NaN
,B12,SYBR,oac-7,Unkn,FAU5 treated,27.7897687811582,NaN
,C01,SYBR,nhr-58,Unkn,N2,28.415719109512,NaN
,C02,SYBR,nhr-58,Unkn,N2,28.3630976583131,NaN
,C03,SYBR,nhr-58,Unkn,N2,28.2819079157992,NaN
,C04,SYBR,nhr-58,Unkn,FAU5,29.0464990118555,NaN
,C05,SYBR,nhr-58,Unkn,FAU5,29.0606943618998,NaN
,C06,SYBR,nhr-58,Unkn,FAU5,29.0974252775275,NaN
,C07,SYBR,nhr-58,Unkn,N2 treated,28.8544657287523,NaN
,C08,SYBR,nhr-58,Unkn,N2 treated,28.6821390739129,NaN
,C09,SYBR,nhr-58,Unkn,N2 treated,28.6646800686176,NaN
,C10,SYBR,nhr-58,Unkn,FAU5 treated,26.8827625541032,NaN
,C11,SYBR,nhr-58,Unkn,FAU5 treated,26.8879368572587,NaN
,C12,SYBR,nhr-58,Unkn,FAU5 treated,26.8704782194958,NaN
,D01,SYBR,ugt-31,Unkn,N2,27.4531250144426,NaN
,D02,SYBR,ugt-31,Unkn,N2,27.4636845377147,NaN
,D03,SYBR,ugt-31,Unkn,N2,27.3259513933272,NaN
,D04,SYBR,ugt-31,Unkn,FAU5,27.3181684193244,NaN
,D05,SYBR,ugt-31,Unkn,FAU5,27.4888277561061,NaN
,D06,SYBR,ugt-31,Unkn,FAU5,27.2894459573722,NaN
,D07,SYBR,ugt-31,Unkn,N2 treated,28.056077825932,NaN
,D08,SYBR,ugt-31,Unkn,N2 treated,28.010092221515,NaN
,D09,SYBR,ugt-31,Unkn,N2 treated,27.7776535503517,NaN
,D10,SYBR,ugt-31,Unkn,FAU5 treated,25.4430174182199,NaN
,D11,SYBR,ugt-31,Unkn,FAU5 treated,25.4438172036291,NaN
,D12,SYBR,ugt-31,Unkn,FAU5 treated,25.4942501433961,NaN
,E01,SYBR,t22f3.3,Unkn,N2,31.5112634824497,NaN
,E02,SYBR,t22f3.3,Unkn,N2,31.2987493523568,NaN
,E03,SYBR,t22f3.3,Unkn,N2,31.3538462475737,NaN
,E04,SYBR,t22f3.3,Unkn,FAU5,31.9749948654056,NaN
,E05,SYBR,t22f3.3,Unkn,FAU5,31.5102302508079,NaN
,E06,SYBR,t22f3.3,Unkn,FAU5,32.1115631275462,NaN
,E07,SYBR,t22f3.3,Unkn,N2 treated,33.0573777935171,NaN
,E08,SYBR,t22f3.3,Unkn,N2 treated,33.7021360100606,NaN
,E09,SYBR,t22f3.3,Unkn,N2 treated,32.866765027944,NaN
,E10,SYBR,t22f3.3,Unkn,FAU5 treated,32.409622980291,NaN
,E11,SYBR,t22f3.3,Unkn,FAU5 treated,32.6240145988946,NaN
,E12,SYBR,t22f3.3,Unkn,FAU5 treated,32.7784622669228,NaN
,G01,SYBR,tba-1,NRT,N2,NaN,NaN
,G02,SYBR,oac-7,NRT,N2,NaN,NaN
,G03,SYBR,nhr-58,NRT,N2,NaN,NaN
