,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,tba-1,Unkn,N2,80,954.810484508996,64,94,
,A02,SYBR,tba-1,Unkn,N2,79.5,1059.34283410613,68,91,
,A03,SYBR,tba-1,Unkn,N2,79.5,1142.13164038771,67.5,91,
,A04,SYBR,tba-1,Unkn,FAU5,80,1132.67087452984,68,84.5,
,A05,SYBR,tba-1,Unkn,FAU5,80.5,931.413519073624,68.5,85,
,A06,SYBR,tba-1,Unkn,FAU5,80.5,948.760471638106,68.5,85,
,A07,SYBR,tba-1,Unkn,N2 treated,80,1147.82739963424,68.5,89,
,A08,SYBR,tba-1,Unkn,N2 treated,80,1182.85818679233,68,91.5,
,A09,SYBR,tba-1,Unkn,N2 treated,79.5,1141.486335929,68.5,90.5,
,A10,SYBR,tba-1,Unkn,FAU5 treated,79.5,1141.01637685488,68,95,
,A11,SYBR,tba-1,Unkn,FAU5 treated,79,1024.39132212835,68,83.5,
,A12,SYBR,tba-1,Unkn,FAU5 treated,None,None,None,None,
,B01,SYBR,oac-7,Unkn,N2,78,1216.9440237607,63,82,
,B02,SYBR,oac-7,Unkn,N2,78,1294.65305421338,69.5,88,
,B03,SYBR,oac-7,Unkn,N2,78,1332.32241338388,63,84.5,
,B04,SYBR,oac-7,Unkn,FAU5,78.5,1221.82039374923,63.5,83,
,B05,SYBR,oac-7,Unkn,FAU5,78.5,1206.33200312873,63.5,83,
,B06,SYBR,oac-7,Unkn,FAU5,78.5,1217.61800102636,63.5,83,
,B07,SYBR,oac-7,Unkn,N2 treated,78,1223.60167718445,71,88,
,B08,SYBR,oac-7,Unkn,N2 treated,78,1329.91849558736,71,83.5,
,B09,SYBR,oac-7,Unkn,N2 treated,78,1319.12275352713,62.5,84.5,
,B10,SYBR,oac-7,Unkn,FAU5 treated,78,1140.63493127701,71,83,
,B11,SYBR,oac-7,Unkn,FAU5 treated,78,1336.31383971457,70.5,85.5,
,B12,SYBR,oac-7,Unkn,FAU5 treated,72.5,1359.50403225436,62.5,76,
,C01,SYBR,ceh-74,Unkn,N2,77.5,1169.62479222467,63.5,86,
,C02,SYBR,ceh-74,Unkn,N2,77.5,1327.44437782877,63,86.5,
,C03,SYBR,ceh-74,Unkn,N2,77.5,1373.82786264988,64,87.5,
,C04,SYBR,ceh-74,Unkn,FAU5,78.5,1233.25984929835,72.5,86.5,
,C05,SYBR,ceh-74,Unkn,FAU5,78.5,1226.50753463306,71.5,84.5,
,C06,SYBR,ceh-74,Unkn,FAU5,78.5,1138.86731657529,63.5,83.5,
,C07,SYBR,ceh-74,Unkn,N2 treated,77.5,1135.93810344362,63.5,81.5,
,C08,SYBR,ceh-74,Unkn,N2 treated,77.5,1185.57545876315,63.5,89,
,C09,SYBR,ceh-74,Unkn,N2 treated,77.5,1275.92779079906,63,89,
,C10,SYBR,ceh-74,Unkn,FAU5 treated,77.5,1252.46920965859,63,86.5,
,C11,SYBR,ceh-74,Unkn,FAU5 treated,77.5,975.942370090464,62.5,87,
,C12,SYBR,ceh-74,Unkn,FAU5 treated,77.5,1187.37524003093,63.5,87.5,
,D01,SYBR,zip-2,Unkn,N2,81,1024.08157951712,73,85,
,D02,SYBR,zip-2,Unkn,N2,81,1099.5180652224,73.5,85,
,D03,SYBR,zip-2,Unkn,N2,81,1141.27392796757,73.5,85,
,D04,SYBR,zip-2,Unkn,FAU5,81.5,1221.83654337925,73,85.5,
,D05,SYBR,zip-2,Unkn,FAU5,81.5,1121.49550573032,73,85.5,
,D06,SYBR,zip-2,Unkn,FAU5,81.5,1125.63074734703,72.5,92,
,D07,SYBR,zip-2,Unkn,N2 treated,81,1105.43725024436,73,85,
,D08,SYBR,zip-2,Unkn,N2 treated,81,1223.9950139661,73,85,
,D09,SYBR,zip-2,Unkn,N2 treated,81,1206.38525348315,73,87.5,
,D10,SYBR,zip-2,Unkn,FAU5 treated,81,1203.36396374539,72.5,86.5,
,D11,SYBR,zip-2,Unkn,FAU5 treated,81,1104.5373364087,73.5,85,
,D12,SYBR,zip-2,Unkn,FAU5 treated,81,1101.29406391614,73,85,
,E01,SYBR,ugt-31,Unkn,N2,77.5,935.76965712738,73,83.5,
,E02,SYBR,ugt-31,Unkn,N2,77.5,890.124806114782,72.5,87,
,E03,SYBR,ugt-31,Unkn,N2,77.5,1014.87855259544,72.5,83.5,
,E04,SYBR,ugt-31,Unkn,FAU5,77.5,1250.17517993828,72.5,83.5,
,E05,SYBR,ugt-31,Unkn,FAU5,77.5,1181.91629179411,63,84,
,E06,SYBR,ugt-31,Unkn,FAU5,77.5,1096.04314195337,72.5,83.5,
,E07,SYBR,ugt-31,Unkn,N2 treated,77.5,1069.64582393494,72.5,84,
,E08,SYBR,ugt-31,Unkn,N2 treated,77.5,1054.02014943632,72,86.5,
,E09,SYBR,ugt-31,Unkn,N2 treated,77.5,1113.16258598234,71,85,
,E10,SYBR,ugt-31,Unkn,FAU5 treated,77.5,1007.05147149482,71.5,83.5,
,E11,SYBR,ugt-31,Unkn,FAU5 treated,77.5,1067.93139050327,71,84,
,E12,SYBR,ugt-31,Unkn,FAU5 treated,77.5,893.322100351447,63.5,83.5,
,F01,SYBR,t22f3.3,Unkn,N2,76,833.02786098143,68.5,81,
,F02,SYBR,t22f3.3,Unkn,N2,76,1056.77774836359,70.5,83.5,
,F03,SYBR,t22f3.3,Unkn,N2,76,1089.06468568009,71,82.5,
,F04,SYBR,t22f3.3,Unkn,FAU5,76.5,721.559254487172,63.5,83,
,F05,SYBR,t22f3.3,Unkn,FAU5,76.5,696.497483085605,73.5,83.5,
,F06,SYBR,t22f3.3,Unkn,FAU5,78,645.196194896686,73,83,
,F07,SYBR,t22f3.3,Unkn,N2 treated,74.5,556.374428426606,63.5,82,
,F08,SYBR,t22f3.3,Unkn,N2 treated,75.5,661.999684674893,64,84.5,
,F09,SYBR,t22f3.3,Unkn,N2 treated,76,648.403440418828,63.5,82,
,F10,SYBR,t22f3.3,Unkn,FAU5 treated,76,1008.46038620067,63,83.5,
,F11,SYBR,t22f3.3,Unkn,FAU5 treated,76,939.244387201153,63,83.5,
,F12,SYBR,t22f3.3,Unkn,FAU5 treated,76,831.958885261692,63,86.5,
,G01,SYBR,tba-1,NRT,N2,68,510.323429915999,62.5,74,
,G02,SYBR,oac-7,NRT,N2,69.5,765.840148283885,62.5,77,
,G03,SYBR,ceh-74,NRT,N2,68.5,778.928332114123,62.5,78.5,
,G04,SYBR,zip-2,NRT,N2,78,1065.40924527847,69.5,82,
,G05,SYBR,ugt-31,NRT,N2,None,None,None,None,
,G06,SYBR,t22f3.3,NRT,N2,71.5,1058.52449184684,62.5,82,
,G07,SYBR,tba-1,NRT,N2 treated,71.5,1133.18602570218,62.5,83,
,G08,SYBR,oac-7,NRT,N2 treated,71.5,927.871356461391,62.5,78,
,G09,SYBR,ceh-74,NRT,N2 treated,71.5,1098.37281394151,62.5,81.5,
,G10,SYBR,zip-2,NRT,N2 treated,71,728.831229991311,62.5,82,
,G11,SYBR,ugt-31,NRT,N2 treated,71,600.564301148302,62.5,78.5,
,G12,SYBR,t22f3.3,NRT,N2 treated,None,None,None,None,
,H01,SYBR,tba-1,NRT,FAU5,69.5,696.51000797472,62.5,77.5,
,H02,SYBR,oac-7,NRT,FAU5,68,608.541537275899,62.5,74,
,H03,SYBR,ceh-74,NRT,FAU5,None,None,None,None,
,H04,SYBR,zip-2,NRT,FAU5,70.5,647.510423929104,62.5,79.5,
,H05,SYBR,ugt-31,NRT,FAU5,None,None,None,None,
,H06,SYBR,t22f3.3,NRT,FAU5,71.5,997.810441297447,62.5,85,
,H07,SYBR,tba-1,NRT,FAU5 treated,71.5,1039.40202863751,62.5,83,
,H08,SYBR,oac-7,NRT,FAU5 treated,81,970.740896633225,73,86.5,
,H09,SYBR,ceh-74,NRT,FAU5 treated,None,None,None,None,
,H10,SYBR,zip-2,NRT,FAU5 treated,None,None,None,None,
,H11,SYBR,ugt-31,NRT,FAU5 treated,None,None,None,None,
,H12,SYBR,t22f3.3,NRT,FAU5 treated,None,None,None,None,
