,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
A,Peak 1,80,79.5,79.5,80,80.5,80.5,80,80,79.5,79.5,79,None
A,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
B,Peak 1,78,78,78,78.5,78.5,78.5,78,78,78,78,78,72.5
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
C,Peak 1,77.5,77.5,77.5,78.5,78.5,78.5,77.5,77.5,77.5,77.5,77.5,77.5
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
D,Peak 1,81,81,81,81.5,81.5,81.5,81,81,81,81,81,81
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
E,Peak 1,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
F,Peak 1,76,76,76,76.5,76.5,78,74.5,75.5,76,76,76,76
F,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
G,Content,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT
G,Sample,N2,N2,N2,N2,N2,N2,N2 treated,N2 treated,N2 treated,N2 treated,N2 treated,N2 treated
G,Peak 1,68,69.5,68.5,78,None,71.5,71.5,71.5,71.5,71,71,None
G,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
H,Content,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT
H,Sample,FAU5,FAU5,FAU5,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated
H,Peak 1,69.5,68,None,70.5,None,71.5,71.5,81,None,None,None,None
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
