,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7745.15779656987,8293.57305399724,8734.96131920852,8272.14330273745,7823.56003620125,8116.42259641344,8984.39097321352,8979.15303722785,9184.8578516554,9067.71642007763,8789.3622628976,2788.22523543995,8644.49525019664,9161.32319617622,9396.2126582122,8617.58712469993,8603.84411508841,8753.33837979466,8933.75554895495,9285.77405540111,9621.86499120505,8811.04900841209,9294.30957940452,9664.04211937751,8715.3376103467,9680.9240668059,9634.13335283538,8892.5213473748,9056.24305879041,8758.73545422019,8955.86090327703,9069.06993292353,9879.32995310176,9538.71098322701,8570.05854792603,8978.00145775496,8159.87959436386,8458.46903148808,8794.29885814676,9087.81724301865,8510.73663235042,8708.46796237662,8279.11189071662,9062.71059486441,9173.83515549703,8907.8073023826,8492.63129385412,8466.55487605665,7944.50151775322,7768.42488589299,8337.96045699238,9010.65665290071,8713.31778267488,8419.39738910982,8309.22780049695,8092.44990383732,8584.83429016334,7763.627213343,8195.43736906607,7321.09924785399,7066.51119319227,8174.87438793497,8126.99058581756,7819.09493737747,7583.83944268318,7869.75925770561,7167.60017727764,7409.36583399352,7597.59773028017,8108.59269751508,8118.39849257161,7584.23454133507,6869.6017091146,7304.80557359438,7970.14648798347,8703.75788962184,2813.96767705952,9706.44321361711,9764.60062069663,8176.40189853417,9482.37782376095,6894.97903166405,6088.45047783081,4378.02983607555,6973.36499382854,7682.09274578299,4372.07245793365,6823.29478147269,3021.06813958629,9426.89619911436,9400.47549846928,8647.61792706622,3365.55280659069,2714.15630387778,5225.84115347769,4795.3164776049
,60.5,7771.62902449147,8330.33672377834,8770.90964553189,8312.68182661002,7824.7901541188,8110.74455607565,9010.02058216507,9011.4496095842,9195.64397938405,9074.48074539444,8776.19050101634,2784.40922097699,8659.73346082909,9180.76188378192,9407.71854156217,8631.0117085871,8618.05576666828,8766.28537847899,8947.99771804644,9302.67039081829,9618.53490118718,8781.98259635361,9307.55262214416,9593.87459744466,8732.42906942097,9697.52697198296,9668.34086282978,8914.04484697401,9074.70751364046,8771.86804515412,8975.63450238569,9093.93781840233,9888.8356386855,9554.44375472173,8550.81827801332,9008.47781353643,8178.51025230826,8488.40753684568,8825.10403610811,9114.64715402425,8530.24455077879,8727.39141394477,8297.25213728464,9082.91501894613,9185.47898948696,8926.29367571274,8510.26772146379,8482.88225152614,7939.12477501096,7779.04230010698,8362.49134426117,9027.81776003626,8725.2253640488,8428.82201360933,8318.5270468947,8102.24325536294,8589.98700382583,7770.73291749517,8204.89880079692,7331.4599482142,7049.49195620223,8168.09095738228,8141.60664439516,7835.14859497515,7599.18545325,7881.07376519976,7186.23361062533,7439.2577647505,7617.93860621448,8118.03044093169,8122.41015717728,7597.12435208859,6859.99437000858,7295.91914642555,7958.36034554272,8704.10009910681,2814.4771261807,9680.86262784467,9755.48091323978,8150.2754837169,9482.070864387,6858.97607768348,6081.50840568076,4359.98426200906,6967.7241634483,7667.03023747766,4362.36563291653,6808.98600548733,3020.76523334023,9407.1727729526,9391.8116379009,8658.46711418147,3360.83078792754,2714.7163967916,5193.7416753082,4776.93085610722
,61,7798.10025241306,8367.10039355944,8806.85797185527,8353.22035048259,7826.02027203635,8105.06651573786,9035.65019111663,9043.74618194056,9206.43010711271,9081.24507071125,8763.01873913509,2780.59320651404,8674.97167146154,9200.20057138762,9419.22442491214,8644.43629247426,8632.26741824815,8779.23237716332,8962.23988713792,9319.56672623547,9615.20481116932,8752.91618429513,9320.7956648838,9523.70707551181,8749.52052849524,9714.12987716002,9702.54837282418,8935.56834657322,9093.17196849051,8785.00063608805,8995.40810149436,9118.80570388112,9898.34132426925,9570.17652621646,8531.57800810061,9038.9541693179,8197.14091025266,8518.34604220328,8855.90921406946,9141.47706502986,8549.75246920715,8746.31486551291,8315.39238385266,9103.11944302785,9197.12282347689,8944.78004904289,8527.90414907347,8499.20962699562,7933.7480322687,7789.65971432097,8387.02223152997,9044.97886717182,8737.13294542271,8438.24663810884,8327.82629329245,8112.03660688856,8595.13971748832,7777.83862164734,8214.36023252777,7341.82064857441,7032.47271921218,8161.30752682959,8156.22270297277,7851.20225257283,7614.53146381682,7892.38827269392,7204.86704397301,7469.14969550748,7638.2794821488,8127.4681843483,8126.42182178295,7610.01416284211,6850.38703090255,7287.03271925672,7946.57420310197,8704.44230859177,2814.98657530188,9655.28204207222,9746.36120578293,8124.14906889962,9481.76390501304,6822.9731237029,6074.5663335307,4341.93868794256,6962.08333306807,7651.96772917233,4352.65880789941,6794.67722950196,3020.46232709416,9387.44934679084,9383.14777733251,8669.31630129672,3356.10876926439,2715.27648970542,5161.64219713871,4758.54523460954
,61.5,7824.57148033466,8403.86406334055,8842.80629817864,8393.75887435516,7827.2503899539,8099.38847540007,9061.27980006818,9076.04275429692,9217.21623484137,9088.00939602806,8749.84697725383,2776.77719205108,8690.20988209398,9219.63925899333,9430.7303082621,8657.86087636143,8646.47906982802,8792.17937584766,8976.4820562294,9336.46306165264,9611.87472115145,8723.84977223665,9334.03870762345,9453.53955357896,8766.61198756951,9730.73278233709,9736.75588281859,8957.09184617243,9111.63642334055,8798.13322702198,9015.18170060302,9143.67358935992,9907.847009853,9585.90929771118,8512.33773818791,9069.43052509937,8215.77156819705,8548.28454756088,8886.71439203082,9168.30697603546,8569.26038763552,8765.23831708105,8333.53263042067,9123.32386710956,9208.76665746682,8963.26642237304,8545.54057668314,8515.53700246511,7928.37128952643,7800.27712853495,8411.55311879877,9062.13997430737,8749.04052679663,8447.67126260835,8337.12553969021,8121.82995841418,8600.29243115081,7784.94432579951,8223.82166425862,7352.18134893462,7015.45348222213,8154.52409627689,8170.83876155038,7867.25591017052,7629.87747438364,7903.70278018807,7223.50047732069,7499.04162626446,7658.62035808312,8136.90592776491,8130.43348638862,7622.90397359563,6840.77969179652,7278.1462920879,7934.78806066123,8704.78451807674,2815.49602442306,9629.70145629978,9737.24149832608,8098.02265408235,9481.45694563909,6786.97016972233,6067.62426138064,4323.89311387607,6956.44250268783,7636.90522086699,4342.95198288229,6780.36845351659,3020.1594208481,9367.72592062908,9374.48391676412,8680.16548841197,3351.38675060123,2715.83658261923,5129.54271896922,4740.15961311186
,62,7851.04270825625,8440.62773312165,8878.75462450202,8434.29739822773,7828.48050787145,8093.71043506228,9086.90940901974,9108.33932665327,9228.00236257003,9094.77372134487,8736.67521537258,2772.96117758812,8705.44809272643,9239.07794659903,9442.23619161207,8671.2854602486,8660.69072140789,8805.12637453199,8990.72422532089,9353.35939706982,9608.54463113359,8694.78336017816,9347.28175036309,9383.3720316461,8783.70344664379,9747.33568751415,9770.96339281299,8978.61534577164,9130.1008781906,8811.26581795591,9034.95529971168,9168.54147483871,9917.35269543674,9601.64206920591,8493.0974682752,9099.90688088084,8234.40222614145,8578.22305291848,8917.51956999217,9195.13688704107,8588.76830606389,8784.16176864919,8351.67287698869,9143.52829119128,9220.41049145675,8981.75279570318,8563.17700429282,8531.86437793459,7922.99454678417,7810.89454274894,8436.08400606756,9079.30108144293,8760.94810817054,8457.09588710785,8346.42478608796,8131.62330993979,8605.44514481329,7792.05002995167,8233.28309598947,7362.54204929484,6998.43424523208,8147.7406657242,8185.45482012798,7883.3095677682,7645.22348495047,7915.01728768222,7242.13391066837,7528.93355702145,7678.96123401743,8146.34367118152,8134.44515099429,7635.79378434915,6831.1723526905,7269.25986491907,7923.00191822048,8705.1267275617,2816.00547354425,9604.12087052733,9728.12179086923,8071.89623926508,9481.14998626513,6750.96721574175,6060.68218923058,4305.84753980957,6950.8016723076,7621.84271256166,4333.24515786517,6766.05967753123,3019.85651460203,9348.00249446732,9365.82005619573,8691.01467552723,3346.66473193808,2716.39667553305,5097.44324079973,4721.77399161418
,62.5,7877.51393617784,8477.39140290278,8914.70295082545,8474.83592210047,7829.71062578902,8088.03239472448,9112.5390179715,9140.63589900966,9238.78849029855,9101.53804666173,8723.50345349143,2769.14516312522,8720.68630335885,9258.51663420475,9453.74207496196,8684.71004413574,8674.90237298775,8818.07337321647,9004.96639441238,9370.25573248682,9605.21454111556,8665.71694811972,9360.52479310278,9313.20450971345,8800.79490571791,9763.93859269118,9805.17090280738,9000.1388453707,9148.5653330407,8824.39840888965,9054.72889882033,9193.40936031755,9926.8583810205,9617.37484070063,8473.85719836242,9130.38323666228,8253.03288408579,8608.16155827604,8948.32474795362,9221.96679804676,8608.27622449239,8803.08522021748,8369.81312355681,9163.7327152729,9232.05432544665,9000.2391690332,8580.81343190255,8548.19175340405,7917.6178040419,7821.51195696289,8460.61489333638,9096.4621885783,8772.8556895446,8466.52051160724,8355.72403248586,8141.41666146545,8610.59785847575,7799.15573410389,8242.74452772032,7372.90274965505,6981.41500824205,8140.95723517154,8200.07087870553,7899.36322536588,7660.56949551728,7926.33179517636,7260.76734401613,7558.82548777845,7699.30210995169,8155.78141459816,8138.45681559988,7648.68359510264,6821.56501358452,7260.37343775031,7911.21577577967,8705.46893704656,2816.51492266544,9578.54028475495,9719.00208341251,8045.76982444785,9480.84302689109,6714.96426176119,6053.74011708045,4287.801965743,6945.16084192728,7606.78020425638,4323.53833284804,6751.75090154587,3019.55360835599,9328.27906830555,9357.15619562736,8701.86386264251,3341.94271327493,2716.95676844685,5065.34376263026,4703.38837011647
,63,7903.98516409944,8514.15507268388,8950.65127714883,8515.37444597304,7830.94074370657,8082.35435438669,9138.16862692305,9172.93247136602,9249.57461802721,9108.30237197854,8710.33169161018,2765.32914866226,8735.9245139913,9277.95532181045,9465.24795831193,8698.13462802291,8689.11402456762,8831.0203719008,9019.20856350386,9387.152067904,9601.88445109769,8636.65053606124,9373.76783584242,9243.0369877806,8817.88636479218,9780.54149786825,9839.37841280179,9021.66234496991,9167.02978789075,8837.53099982358,9074.50249792899,9218.27724579634,9936.36406660425,9633.10761219536,8454.61692844971,9160.85959244375,8271.66354203019,8638.10006363364,8979.12992591497,9248.79670905236,8627.78414292076,8822.00867178562,8387.95337012482,9183.93713935462,9243.69815943658,9018.72554236335,8598.44985951223,8564.51912887354,7912.24106129963,7832.12937117687,8485.14578060518,9113.62329571385,8784.76327091852,8475.94513610674,8365.02327888361,8151.21001299107,8615.75057213823,7806.26143825606,8252.20595945117,7383.26345001526,6964.395771252,8134.17380461885,8214.68693728314,7915.41688296356,7675.9155060841,7937.64630267051,7279.40077736381,7588.71741853543,7719.642985886,8165.21915801477,8142.46848020555,7661.57340585616,6811.9576744785,7251.48701058148,7899.42963333893,8705.81114653152,2817.02437178662,9552.95969898251,9709.88237595566,8019.64340963058,9480.53606751714,6678.96130778061,6046.7980449304,4269.75639167651,6939.52001154705,7591.71769595105,4313.83150783092,6737.44212556051,3019.25070210993,9308.55564214379,9348.49233505897,8712.71304975777,3337.22069461178,2717.51686136067,5033.24428446077,4685.00274861879
,63.5,7919.38359942342,8533.39174214605,8967.99434275605,8543.10831221873,7821.71689326632,8065.35311271374,9145.46929786964,9186.5219003757,9242.14334035857,9098.99991975426,8680.53847200671,2761.61776100786,8734.74581964534,9275.60325777641,9459.76215099162,8701.23258808059,8690.43689370098,8830.91709781813,9016.56091657785,9385.55096318489,9579.83104722075,8593.35761456712,9368.53969827242,9142.68109095798,8818.06478844554,9775.21208227008,9856.23209558064,9034.14786034478,9173.35835720775,8836.78579885929,9078.87292218774,9227.45250214686,9926.49693179119,9630.57838086038,8420.77583229403,9172.49262014094,8274.872006379,8653.65552332709,8996.23950949717,9263.52295099309,8637.58054266083,8826.14903696351,8393.75724663448,9188.8552705009,9237.76738182275,9023.32426025688,8600.72430625326,8562.96798877517,7893.10794675312,7827.95302466632,8495.06272991085,9119.04714691712,8783.68437370916,8471.19184855299,8361.5972513315,8149.97019667944,8608.50925044224,7802.8106987243,8248.35314133896,7382.93782320846,6936.37679936204,8112.69881098078,8216.16082137656,7919.67189554323,7678.42576291995,7935.86275476001,7285.86244328612,7606.60816090402,7726.52567034021,8161.73461655242,8128.37150949777,7659.19763197627,6782.80874047426,7225.33865453119,7870.76218813068,8685.28977505049,2816.50576058737,9507.53464140214,9679.80799556272,7976.71783990137,9462.35018915182,6631.93931786322,6027.75728017183,4245.68053823124,6917.28684546979,7553.958528776,4295.6870748266,6705.1972991075,3016.49364229177,9270.39532394154,9319.29916912799,8705.93971736264,3329.98227154814,2717.36223260405,4992.62647337474,4659.3452163736
,64,7924.58143579843,8536.92231172951,8968.7629906315,8557.95706773399,7803.70176286155,8039.6932099649,9137.12493159842,9184.27246697483,9219.33245276421,9076.10282961295,8638.08944344981,2758.31228709868,8718.64364697279,9253.93488438292,9437.71205164832,8694.79612642954,8680.3106385381,8818.44797527923,8999.0968303567,9367.73877042503,9542.98437356946,8538.88322207715,9346.94839522667,9025.9095222096,8803.13090697274,9749.50487739807,9857.20698067745,9038.7242427895,9169.70834873712,8823.10468210759,9069.03798253972,9222.54773780536,9900.76890595904,9612.98218727362,8375.09384798136,9166.08531751867,8263.88065039829,8655.1654485506,9000.62890538265,9267.40114368864,8638.20081520952,8818.05695670562,8388.6952601351,9180.09035851665,9217.09685201456,9015.45537285317,8589.21982296802,8544.92561293568,7861.98468999826,7810.28364249774,8490.16967771433,9112.57829169191,8770.04532473773,8452.84548044064,8345.31083503904,8138.14950127773,8588.6943200108,7788.301665228,8231.23679937878,7372.11548817994,6898.30046586737,8077.83121170817,8204.4517968673,7912.67049532334,7669.27263009438,7921.96332752579,7279.13570288525,7611.90028861401,7719.43259362905,8145.58765168049,8098.19796886519,7642.61571123845,6733.9532556245,7181.4250802657,7824.75923390006,8646.48613630659,2815.22042779683,9445.89707792129,9631.65468595849,7918.29615335022,9429.58943759105,6575.41564872633,5997.45051952529,4216.41934256995,6877.55218113023,7492.93999841114,4270.63763830477,6656.99941438352,3011.83593449237,9216.58457634834,9273.37697000708,8682.01564923426,3320.08853723607,2716.49885532423,4945.40748834214,4627.71863309714
,64.5,7920.60696282124,8525.60415610364,8954.86410794025,8559.56882825098,7777.19959322793,8005.84365697547,9114.51371015542,9167.81640743035,9183.03036911632,9041.41262982439,8586.82314743557,2755.26504131204,8688.59380730993,9215.5143338209,9400.22420529463,8678.48629702826,8658.9400333999,8794.65367783193,8968.09125561641,9334.84218812913,9494.46758528302,8476.05011298198,9310.45039692279,8900.26311258901,8774.11557084827,9706.1406520633,9842.27136469987,9035.29382960668,9155.71870931827,8797.50795443141,9045.76089547531,9203.6101590363,9860.8549867838,9581.59580406348,8319.56211768682,9142.96791082105,8240.02583693673,8642.64704788846,8992.18382040377,9260.3536387853,8630.13944657737,8798.72778567508,8372.9418024204,9157.69516381026,9183.24770610465,8995.47555192031,8564.58963567432,8512.78606344442,7819.42484036713,7780.32610257452,8471.36512723444,9094.87495202247,8744.45894873418,8422.79224692758,8317.28288648249,8116.44165262186,8557.65969942157,7764.0804432264,8201.99515700907,7351.04664839278,6851.65421412962,8031.61417327071,8179.11334608587,7895.42553712994,7649.86999867667,7897.52871393297,7259.79538341198,7604.45568479349,7699.52043779538,8118.14283162638,8054.75049545496,7613.51081972549,6663.03633330388,7116.21009985802,7757.26113339784,8591.81243095361,2812.87011828987,9372.08390949404,9569.10780782986,7846.47988706252,9384.7079064266,6510.54421846443,5957.24316963011,4182.86911919009,6817.6230546605,7406.8958761898,4238.95288721262,6594.0431292784,3005.28922848355,9149.64396809537,9214.01862807313,8640.41352685638,3307.75065481517,2715.29330336262,4892.97883298926,4591.10219343911
