,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,tba-1,Unkn,N2,80
,A02,SYBR,tba-1,Unkn,N2,79.5
,A03,SYBR,tba-1,Unkn,N2,79.5
,A04,SYBR,tba-1,Unkn,FAU5,80
,A05,SYBR,tba-1,Unkn,FAU5,80.5
,A06,SYBR,tba-1,Unkn,FAU5,80.5
,A07,SYBR,tba-1,Unkn,N2 treated,80
,A08,SYBR,tba-1,Unkn,N2 treated,80
,A09,SYBR,tba-1,Unkn,N2 treated,79.5
,A10,SYBR,tba-1,Unkn,FAU5 treated,79.5
,A11,SYBR,tba-1,Unkn,FAU5 treated,79
,A12,SYBR,tba-1,Unkn,FAU5 treated,None
,B01,SYBR,oac-7,Unkn,N2,78
,B02,SYBR,oac-7,Unkn,N2,78
,B03,SYBR,oac-7,Unkn,N2,78
,B04,SYBR,oac-7,Unkn,FAU5,78.5
,B05,SYBR,oac-7,Unkn,FAU5,78.5
,B06,SYBR,oac-7,Unkn,FAU5,78.5
,B07,SYBR,oac-7,Unkn,N2 treated,78
,B08,SYBR,oac-7,Unkn,N2 treated,78
,B09,SYBR,oac-7,Unkn,N2 treated,78
,B10,SYBR,oac-7,Unkn,FAU5 treated,78
,B11,SYBR,oac-7,Unkn,FAU5 treated,78
,B12,SYBR,oac-7,Unkn,FAU5 treated,72.5
,C01,SYBR,ceh-74,Unkn,N2,77.5
,C02,SYBR,ceh-74,Unkn,N2,77.5
,C03,SYBR,ceh-74,Unkn,N2,77.5
,C04,SYBR,ceh-74,Unkn,FAU5,78.5
,C05,SYBR,ceh-74,Unkn,FAU5,78.5
,C06,SYBR,ceh-74,Unkn,FAU5,78.5
,C07,SYBR,ceh-74,Unkn,N2 treated,77.5
,C08,SYBR,ceh-74,Unkn,N2 treated,77.5
,C09,SYBR,ceh-74,Unkn,N2 treated,77.5
,C10,SYBR,ceh-74,Unkn,FAU5 treated,77.5
,C11,SYBR,ceh-74,Unkn,FAU5 treated,77.5
,C12,SYBR,ceh-74,Unkn,FAU5 treated,77.5
,D01,SYBR,zip-2,Unkn,N2,81
,D02,SYBR,zip-2,Unkn,N2,81
,D03,SYBR,zip-2,Unkn,N2,81
,D04,SYBR,zip-2,Unkn,FAU5,81.5
,D05,SYBR,zip-2,Unkn,FAU5,81.5
,D06,SYBR,zip-2,Unkn,FAU5,81.5
,D07,SYBR,zip-2,Unkn,N2 treated,81
,D08,SYBR,zip-2,Unkn,N2 treated,81
,D09,SYBR,zip-2,Unkn,N2 treated,81
,D10,SYBR,zip-2,Unkn,FAU5 treated,81
,D11,SYBR,zip-2,Unkn,FAU5 treated,81
,D12,SYBR,zip-2,Unkn,FAU5 treated,81
,E01,SYBR,ugt-31,Unkn,N2,77.5
,E02,SYBR,ugt-31,Unkn,N2,77.5
,E03,SYBR,ugt-31,Unkn,N2,77.5
,E04,SYBR,ugt-31,Unkn,FAU5,77.5
,E05,SYBR,ugt-31,Unkn,FAU5,77.5
,E06,SYBR,ugt-31,Unkn,FAU5,77.5
,E07,SYBR,ugt-31,Unkn,N2 treated,77.5
,E08,SYBR,ugt-31,Unkn,N2 treated,77.5
,E09,SYBR,ugt-31,Unkn,N2 treated,77.5
,E10,SYBR,ugt-31,Unkn,FAU5 treated,77.5
,E11,SYBR,ugt-31,Unkn,FAU5 treated,77.5
,E12,SYBR,ugt-31,Unkn,FAU5 treated,77.5
,F01,SYBR,t22f3.3,Unkn,N2,76
,F02,SYBR,t22f3.3,Unkn,N2,76
,F03,SYBR,t22f3.3,Unkn,N2,76
,F04,SYBR,t22f3.3,Unkn,FAU5,76.5
,F05,SYBR,t22f3.3,Unkn,FAU5,76.5
,F06,SYBR,t22f3.3,Unkn,FAU5,78
,F07,SYBR,t22f3.3,Unkn,N2 treated,74.5
,F08,SYBR,t22f3.3,Unkn,N2 treated,75.5
,F09,SYBR,t22f3.3,Unkn,N2 treated,76
,F10,SYBR,t22f3.3,Unkn,FAU5 treated,76
,F11,SYBR,t22f3.3,Unkn,FAU5 treated,76
,F12,SYBR,t22f3.3,Unkn,FAU5 treated,76
,G01,SYBR,tba-1,NRT,N2,68
,G02,SYBR,oac-7,NRT,N2,69.5
,G03,SYBR,ceh-74,NRT,N2,68.5
,G04,SYBR,zip-2,NRT,N2,78
,G05,SYBR,ugt-31,NRT,N2,None
,G06,SYBR,t22f3.3,NRT,N2,71.5
,G07,SYBR,tba-1,NRT,N2 treated,71.5
,G08,SYBR,oac-7,NRT,N2 treated,71.5
,G09,SYBR,ceh-74,NRT,N2 treated,71.5
,G10,SYBR,zip-2,NRT,N2 treated,71
,G11,SYBR,ugt-31,NRT,N2 treated,71
,G12,SYBR,t22f3.3,NRT,N2 treated,None
,H01,SYBR,tba-1,NRT,FAU5,69.5
,H02,SYBR,oac-7,NRT,FAU5,68
,H03,SYBR,ceh-74,NRT,FAU5,None
,H04,SYBR,zip-2,NRT,FAU5,70.5
,H05,SYBR,ugt-31,NRT,FAU5,None
,H06,SYBR,t22f3.3,NRT,FAU5,71.5
,H07,SYBR,tba-1,NRT,FAU5 treated,71.5
,H08,SYBR,oac-7,NRT,FAU5 treated,81
,H09,SYBR,ceh-74,NRT,FAU5 treated,None
,H10,SYBR,zip-2,NRT,FAU5 treated,None
,H11,SYBR,ugt-31,NRT,FAU5 treated,None
,H12,SYBR,t22f3.3,NRT,FAU5 treated,None
