,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,tba-1,Unkn,N2,,23.3774392081492,23.3774392081492,0,NaN,NaN,NaN,0,68,
,A02,SYBR,tba-1,Unkn,N2,,23.2276174929201,23.2276174929201,0,NaN,NaN,NaN,0,68,
,A03,SYBR,tba-1,Unkn,N2,,23.169099129947,23.169099129947,0,NaN,NaN,NaN,0,68,
,A04,SYBR,tba-1,Unkn,FAU5,,21.2838512821661,21.2838512821661,0,NaN,NaN,NaN,0,68,
,A05,SYBR,tba-1,Unkn,FAU5,,21.3853462431606,21.3853462431606,0,NaN,NaN,NaN,0,68,
,A06,SYBR,tba-1,Unkn,FAU5,,21.3287506437484,21.3287506437484,0,NaN,NaN,NaN,0,68,
,A07,SYBR,tba-1,Unkn,N2 treated,,23.3650758622225,23.3650758622225,0,NaN,NaN,NaN,0,68,
,A08,SYBR,tba-1,Unkn,N2 treated,,23.4203765298271,23.4203765298271,0,NaN,NaN,NaN,0,68,
,A09,SYBR,tba-1,Unkn,N2 treated,,23.3678018209873,23.3678018209873,0,NaN,NaN,NaN,0,68,
,A10,SYBR,tba-1,Unkn,FAU5 treated,,23.2223926868034,23.2223926868034,0,NaN,NaN,NaN,0,68,
,A11,SYBR,tba-1,Unkn,FAU5 treated,,23.338154029319,23.338154029319,0,NaN,NaN,NaN,0,68,
,A12,SYBR,tba-1,Unkn,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,B01,SYBR,oac-7,Unkn,N2,,29.377940788623,29.377940788623,0,NaN,NaN,NaN,0,68,
,B02,SYBR,oac-7,Unkn,N2,,29.6386928964526,29.6386928964526,0,NaN,NaN,NaN,0,68,
,B03,SYBR,oac-7,Unkn,N2,,29.2863890453309,29.2863890453309,0,NaN,NaN,NaN,0,68,
,B04,SYBR,oac-7,Unkn,FAU5,,24.1804374196604,24.1804374196604,0,NaN,NaN,NaN,0,68,
,B05,SYBR,oac-7,Unkn,FAU5,,24.1867077021906,24.1867077021906,0,NaN,NaN,NaN,0,68,
,B06,SYBR,oac-7,Unkn,FAU5,,24.1440341245737,24.1440341245737,0,NaN,NaN,NaN,0,68,
,B07,SYBR,oac-7,Unkn,N2 treated,,28.6394623570929,28.6394623570929,0,NaN,NaN,NaN,0,68,
,B08,SYBR,oac-7,Unkn,N2 treated,,28.439051714067,28.439051714067,0,NaN,NaN,NaN,0,68,
,B09,SYBR,oac-7,Unkn,N2 treated,,28.3284783546109,28.3284783546109,0,NaN,NaN,NaN,0,68,
,B10,SYBR,oac-7,Unkn,FAU5 treated,,27.8692707317288,27.8692707317288,0,NaN,NaN,NaN,0,68,
,B11,SYBR,oac-7,Unkn,FAU5 treated,,27.6654370757016,27.6654370757016,0,NaN,NaN,NaN,0,68,
,B12,SYBR,oac-7,Unkn,FAU5 treated,,28.0282181764527,28.0282181764527,0,NaN,NaN,NaN,0,68,
,C01,SYBR,ceh-74,Unkn,N2,,25.8616671946628,25.8616671946628,0,NaN,NaN,NaN,0,68,
,C02,SYBR,ceh-74,Unkn,N2,,25.6026912033915,25.6026912033915,0,NaN,NaN,NaN,0,68,
,C03,SYBR,ceh-74,Unkn,N2,,25.5572882340416,25.5572882340416,0,NaN,NaN,NaN,0,68,
,C04,SYBR,ceh-74,Unkn,FAU5,,20.8273843060682,20.8273843060682,0,NaN,NaN,NaN,0,68,
,C05,SYBR,ceh-74,Unkn,FAU5,,20.772185463012,20.772185463012,0,NaN,NaN,NaN,0,68,
,C06,SYBR,ceh-74,Unkn,FAU5,,20.8431209523932,20.8431209523932,0,NaN,NaN,NaN,0,68,
,C07,SYBR,ceh-74,Unkn,N2 treated,,28.1261206194509,28.1261206194509,0,NaN,NaN,NaN,0,68,
,C08,SYBR,ceh-74,Unkn,N2 treated,,27.9406398894526,27.9406398894526,0,NaN,NaN,NaN,0,68,
,C09,SYBR,ceh-74,Unkn,N2 treated,,27.9404450473419,27.9404450473419,0,NaN,NaN,NaN,0,68,
,C10,SYBR,ceh-74,Unkn,FAU5 treated,,27.6439712116998,27.6439712116998,0,NaN,NaN,NaN,0,68,
,C11,SYBR,ceh-74,Unkn,FAU5 treated,,27.8957161551274,27.8957161551274,0,NaN,NaN,NaN,0,68,
,C12,SYBR,ceh-74,Unkn,FAU5 treated,,27.8971988793366,27.8971988793366,0,NaN,NaN,NaN,0,68,
,D01,SYBR,zip-2,Unkn,N2,,24.5515224264994,24.5515224264994,0,NaN,NaN,NaN,0,68,
,D02,SYBR,zip-2,Unkn,N2,,24.3838105087858,24.3838105087858,0,NaN,NaN,NaN,0,68,
,D03,SYBR,zip-2,Unkn,N2,,24.4115929630405,24.4115929630405,0,NaN,NaN,NaN,0,68,
,D04,SYBR,zip-2,Unkn,FAU5,,23.3466577864216,23.3466577864216,0,NaN,NaN,NaN,0,68,
,D05,SYBR,zip-2,Unkn,FAU5,,23.4182724625448,23.4182724625448,0,NaN,NaN,NaN,0,68,
,D06,SYBR,zip-2,Unkn,FAU5,,23.4204987346148,23.4204987346148,0,NaN,NaN,NaN,0,68,
,D07,SYBR,zip-2,Unkn,N2 treated,,24.6674891532136,24.6674891532136,0,NaN,NaN,NaN,0,68,
,D08,SYBR,zip-2,Unkn,N2 treated,,24.6053784691089,24.6053784691089,0,NaN,NaN,NaN,0,68,
,D09,SYBR,zip-2,Unkn,N2 treated,,24.5569476592467,24.5569476592467,0,NaN,NaN,NaN,0,68,
,D10,SYBR,zip-2,Unkn,FAU5 treated,,22.9539266301832,22.9539266301832,0,NaN,NaN,NaN,0,68,
,D11,SYBR,zip-2,Unkn,FAU5 treated,,23.049830455867,23.049830455867,0,NaN,NaN,NaN,0,68,
,D12,SYBR,zip-2,Unkn,FAU5 treated,,23.0616387232463,23.0616387232463,0,NaN,NaN,NaN,0,68,
,E01,SYBR,ugt-31,Unkn,N2,,30.5759810570475,30.5759810570475,0,NaN,NaN,NaN,0,68,
,E02,SYBR,ugt-31,Unkn,N2,,30.591641227509,30.591641227509,0,NaN,NaN,NaN,0,68,
,E03,SYBR,ugt-31,Unkn,N2,,30.5741623207782,30.5741623207782,0,NaN,NaN,NaN,0,68,
,E04,SYBR,ugt-31,Unkn,FAU5,,23.3876058056069,23.3876058056069,0,NaN,NaN,NaN,0,68,
,E05,SYBR,ugt-31,Unkn,FAU5,,23.393388227493,23.393388227493,0,NaN,NaN,NaN,0,68,
,E06,SYBR,ugt-31,Unkn,FAU5,,23.5756077330458,23.5756077330458,0,NaN,NaN,NaN,0,68,
,E07,SYBR,ugt-31,Unkn,N2 treated,,28.3448303758085,28.3448303758085,0,NaN,NaN,NaN,0,68,
,E08,SYBR,ugt-31,Unkn,N2 treated,,28.3876659497079,28.3876659497079,0,NaN,NaN,NaN,0,68,
,E09,SYBR,ugt-31,Unkn,N2 treated,,28.3655464236317,28.3655464236317,0,NaN,NaN,NaN,0,68,
,E10,SYBR,ugt-31,Unkn,FAU5 treated,,27.9716068557437,27.9716068557437,0,NaN,NaN,NaN,0,68,
,E11,SYBR,ugt-31,Unkn,FAU5 treated,,28.1728150131518,28.1728150131518,0,NaN,NaN,NaN,0,68,
,E12,SYBR,ugt-31,Unkn,FAU5 treated,,28.4310250664548,28.4310250664548,0,NaN,NaN,NaN,0,68,
,F01,SYBR,t22f3.3,Unkn,N2,,29.8697031408815,29.8697031408815,0,NaN,NaN,NaN,0,68,
,F02,SYBR,t22f3.3,Unkn,N2,,29.3918621607536,29.3918621607536,0,NaN,NaN,NaN,0,68,
