,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,tba-1,Unkn,N2,23.3774392081492,NaN
,A02,SYBR,tba-1,Unkn,N2,23.2276174929201,NaN
,A03,SYBR,tba-1,Unkn,N2,23.169099129947,NaN
,A04,SYBR,tba-1,Unkn,FAU5,21.2838512821661,NaN
,A05,SYBR,tba-1,Unkn,FAU5,21.3853462431606,NaN
,A06,SYBR,tba-1,Unkn,FAU5,21.3287506437484,NaN
,A07,SYBR,tba-1,Unkn,N2 treated,23.3650758622225,NaN
,A08,SYBR,tba-1,Unkn,N2 treated,23.4203765298271,NaN
,A09,SYBR,tba-1,Unkn,N2 treated,23.3678018209873,NaN
,A10,SYBR,tba-1,Unkn,FAU5 treated,23.2223926868034,NaN
,A11,SYBR,tba-1,Unkn,FAU5 treated,23.338154029319,NaN
,A12,SYBR,tba-1,Unkn,FAU5 treated,NaN,NaN
,B01,SYBR,oac-7,Unkn,N2,29.377940788623,NaN
,B02,SYBR,oac-7,Unkn,N2,29.6386928964526,NaN
,B03,SYBR,oac-7,Unkn,N2,29.2863890453309,NaN
,B04,SYBR,oac-7,Unkn,FAU5,24.1804374196604,NaN
,B05,SYBR,oac-7,Unkn,FAU5,24.1867077021906,NaN
,B06,SYBR,oac-7,Unkn,FAU5,24.1440341245737,NaN
,B07,SYBR,oac-7,Unkn,N2 treated,28.6394623570929,NaN
,B08,SYBR,oac-7,Unkn,N2 treated,28.439051714067,NaN
,B09,SYBR,oac-7,Unkn,N2 treated,28.3284783546109,NaN
,B10,SYBR,oac-7,Unkn,FAU5 treated,27.8692707317288,NaN
,B11,SYBR,oac-7,Unkn,FAU5 treated,27.6654370757016,NaN
,B12,SYBR,oac-7,Unkn,FAU5 treated,28.0282181764527,NaN
,C01,SYBR,ceh-74,Unkn,N2,25.8616671946628,NaN
,C02,SYBR,ceh-74,Unkn,N2,25.6026912033915,NaN
,C03,SYBR,ceh-74,Unkn,N2,25.5572882340416,NaN
,C04,SYBR,ceh-74,Unkn,FAU5,20.8273843060682,NaN
,C05,SYBR,ceh-74,Unkn,FAU5,20.772185463012,NaN
,C06,SYBR,ceh-74,Unkn,FAU5,20.8431209523932,NaN
,C07,SYBR,ceh-74,Unkn,N2 treated,28.1261206194509,NaN
,C08,SYBR,ceh-74,Unkn,N2 treated,27.9406398894526,NaN
,C09,SYBR,ceh-74,Unkn,N2 treated,27.9404450473419,NaN
,C10,SYBR,ceh-74,Unkn,FAU5 treated,27.6439712116998,NaN
,C11,SYBR,ceh-74,Unkn,FAU5 treated,27.8957161551274,NaN
,C12,SYBR,ceh-74,Unkn,FAU5 treated,27.8971988793366,NaN
,D01,SYBR,zip-2,Unkn,N2,24.5515224264994,NaN
,D02,SYBR,zip-2,Unkn,N2,24.3838105087858,NaN
,D03,SYBR,zip-2,Unkn,N2,24.4115929630405,NaN
,D04,SYBR,zip-2,Unkn,FAU5,23.3466577864216,NaN
,D05,SYBR,zip-2,Unkn,FAU5,23.4182724625448,NaN
,D06,SYBR,zip-2,Unkn,FAU5,23.4204987346148,NaN
,D07,SYBR,zip-2,Unkn,N2 treated,24.6674891532136,NaN
,D08,SYBR,zip-2,Unkn,N2 treated,24.6053784691089,NaN
,D09,SYBR,zip-2,Unkn,N2 treated,24.5569476592467,NaN
,D10,SYBR,zip-2,Unkn,FAU5 treated,22.9539266301832,NaN
,D11,SYBR,zip-2,Unkn,FAU5 treated,23.049830455867,NaN
,D12,SYBR,zip-2,Unkn,FAU5 treated,23.0616387232463,NaN
,E01,SYBR,ugt-31,Unkn,N2,30.5759810570475,NaN
,E02,SYBR,ugt-31,Unkn,N2,30.591641227509,NaN
,E03,SYBR,ugt-31,Unkn,N2,30.5741623207782,NaN
,E04,SYBR,ugt-31,Unkn,FAU5,23.3876058056069,NaN
,E05,SYBR,ugt-31,Unkn,FAU5,23.393388227493,NaN
,E06,SYBR,ugt-31,Unkn,FAU5,23.5756077330458,NaN
,E07,SYBR,ugt-31,Unkn,N2 treated,28.3448303758085,NaN
,E08,SYBR,ugt-31,Unkn,N2 treated,28.3876659497079,NaN
,E09,SYBR,ugt-31,Unkn,N2 treated,28.3655464236317,NaN
,E10,SYBR,ugt-31,Unkn,FAU5 treated,27.9716068557437,NaN
,E11,SYBR,ugt-31,Unkn,FAU5 treated,28.1728150131518,NaN
,E12,SYBR,ugt-31,Unkn,FAU5 treated,28.4310250664548,NaN
,F01,SYBR,t22f3.3,Unkn,N2,29.8697031408815,NaN
,F02,SYBR,t22f3.3,Unkn,N2,29.3918621607536,NaN
,F03,SYBR,t22f3.3,Unkn,N2,29.5974239605302,NaN
,F04,SYBR,t22f3.3,Unkn,FAU5,36.0691964093278,NaN
,F05,SYBR,t22f3.3,Unkn,FAU5,37.1439787533309,NaN
,F06,SYBR,t22f3.3,Unkn,FAU5,36.3974815905693,NaN
,F07,SYBR,t22f3.3,Unkn,N2 treated,33.4582671347376,NaN
,F08,SYBR,t22f3.3,Unkn,N2 treated,33.2520787281903,NaN
,F09,SYBR,t22f3.3,Unkn,N2 treated,33.6677828642188,NaN
,F10,SYBR,t22f3.3,Unkn,FAU5 treated,32.8228948946904,NaN
,F11,SYBR,t22f3.3,Unkn,FAU5 treated,33.0789202916094,NaN
,F12,SYBR,t22f3.3,Unkn,FAU5 treated,33.3012796299396,NaN
,G01,SYBR,tba-1,NRT,N2,39.4356163248216,NaN
