,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A02,SYBR,tba-1,NRT,N2,70.5,519.059480513755,63.5,83,
,A03,SYBR,tba-1,Unkn,N2,79.5,635.223115506734,64,90,
,A04,SYBR,tba-1,Unkn,N2,79.5,640.725362593099,63.5,92,
,A05,SYBR,tba-1,Unkn,N2,79.5,624.826044087382,67.5,90.5,
,A06,SYBR,tba-1,Unkn,FAU5,80,775.664276623189,67.5,83.5,
,A07,SYBR,tba-1,Unkn,FAU5,79.5,776.172665877567,67.5,83.5,
,A08,SYBR,tba-1,Unkn,FAU5,79.5,799.943762138239,67,83.5,
,A09,SYBR,tba-1,NRT,N2,72,597.234934943616,70,82,
,A09,SYBR,tba-1,NRT,N2,68.5,526.445068970769,64,70,
,B02,SYBR,oac-7,NRT,N2,70,639.295000489663,62.5,77.5,
,B03,SYBR,oac-7,Unkn,N2,78,953.163941636208,62.5,82,
,B04,SYBR,oac-7,Unkn,N2,77.5,963.324197338637,62.5,83,
,B05,SYBR,oac-7,Unkn,N2,78,973.053385893294,62.5,82,
,B06,SYBR,oac-7,Unkn,FAU5,78,957.316445317655,62.5,82,
,B07,SYBR,oac-7,Unkn,FAU5,78,958.076570821622,62.5,82,
,B08,SYBR,oac-7,Unkn,FAU5,78,1028.77493569909,62.5,82,
,B09,SYBR,oac-7,NRT,N2,75,675.102506819512,62.5,81,
,C02,SYBR,ceh-74,NRT,N2,71.5,899.507469170447,65,80,
,C03,SYBR,ceh-74,Unkn,N2,77.5,1004.06574071862,63,86.5,
,C04,SYBR,ceh-74,Unkn,N2,77.5,1008.63824756026,62.5,86.5,
,C05,SYBR,ceh-74,Unkn,N2,77.5,999.572847408584,62.5,86.5,
,C06,SYBR,ceh-74,Unkn,FAU5,78,1021.26318341728,62.5,83,
,C07,SYBR,ceh-74,Unkn,FAU5,78,1047.61601645383,62.5,82.5,
,C08,SYBR,ceh-74,Unkn,FAU5,77.5,1104.78156383788,62.5,82.5,
,C09,SYBR,ceh-74,NRT,N2,71.5,996.607088267934,65.5,80,
,D02,SYBR,zip-2,NRT,N2,None,None,None,None,
,D03,SYBR,zip-2,Unkn,N2,80.5,507.109912051023,74,84,
,D04,SYBR,zip-2,Unkn,N2,80.5,538.538593088359,74,84,
,D05,SYBR,zip-2,Unkn,N2,80.5,519.579461295349,62.5,84,
,D06,SYBR,zip-2,Unkn,FAU5,81,611.255802979873,62.5,84.5,
,D07,SYBR,zip-2,Unkn,FAU5,81,644.209232163634,62.5,84.5,
,D08,SYBR,zip-2,Unkn,FAU5,81,656.775341819011,62.5,84.5,
,D09,SYBR,zip-2,NRT,N2,None,None,None,None,
,E02,SYBR,pals-24,NRT,N2,71,685.765277804014,64.5,77.5,
,E03,SYBR,pals-24,Unkn,N2,75,887.397464129415,62.5,80,
,E04,SYBR,pals-24,Unkn,N2,75,906.297486059325,62.5,82.5,
,E05,SYBR,pals-24,Unkn,N2,75,896.399740032224,62.5,81.5,
,E06,SYBR,pals-24,Unkn,FAU5,75,813.862061848748,62.5,80,
,E07,SYBR,pals-24,Unkn,FAU5,75,829.092061196008,62.5,82,
,E08,SYBR,pals-24,Unkn,FAU5,75,881.755471997344,62.5,81,
,E09,SYBR,pals-24,NRT,N2,71.5,799.147732183853,62.5,78.5,
,F02,SYBR,t22f3.11,NRT,N2,None,None,None,None,
,F03,SYBR,t22f3.11,Unkn,N2,75.5,742.236214979205,62.5,79.5,
,F04,SYBR,t22f3.11,Unkn,N2,75.5,822.148894342412,62.5,80.5,
,F05,SYBR,t22f3.11,Unkn,N2,75.5,822.447469353418,62.5,80,
,F06,SYBR,t22f3.11,Unkn,FAU5,76,400.018655365192,62.5,82.5,
,F07,SYBR,t22f3.11,Unkn,FAU5,75.5,472.495578959926,62.5,81.5,
,F08,SYBR,t22f3.11,Unkn,FAU5,75.5,615.925353565626,62.5,81,
,F09,SYBR,t22f3.11,NRT,N2,None,None,None,None,
