,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
A,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
A,Peak 1,,70.5,79.5,79.5,79.5,80,79.5,79.5,72,,,
A,Peak 2,,None,None,None,None,None,None,None,68.5,,,
B,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
B,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
B,Peak 1,,70,78,77.5,78,78,78,78,75,,,
B,Peak 2,,None,None,None,None,None,None,None,None,,,
C,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
C,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
C,Peak 1,,71.5,77.5,77.5,77.5,78,78,77.5,71.5,,,
C,Peak 2,,None,None,None,None,None,None,None,None,,,
D,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
D,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
D,Peak 1,,None,80.5,80.5,80.5,81,81,81,None,,,
D,Peak 2,,None,None,None,None,None,None,None,None,,,
E,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
E,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
E,Peak 1,,71,75,75,75,75,75,75,71.5,,,
E,Peak 2,,None,None,None,None,None,None,None,None,,,
F,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
F,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
F,Peak 1,,None,75.5,75.5,75.5,76,75.5,75.5,None,,,
F,Peak 2,,None,None,None,None,None,None,None,None,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
