,Well,Fluor,Target,Content,Sample,Melt Temp
,A02,SYBR,tba-1,NRT,N2,70.5
,A03,SYBR,tba-1,Unkn,N2,79.5
,A04,SYBR,tba-1,Unkn,N2,79.5
,A05,SYBR,tba-1,Unkn,N2,79.5
,A06,SYBR,tba-1,Unkn,FAU5,80
,A07,SYBR,tba-1,Unkn,FAU5,79.5
,A08,SYBR,tba-1,Unkn,FAU5,79.5
,A09,SYBR,tba-1,NRT,N2,72
,A09,SYBR,tba-1,NRT,N2,68.5
,B02,SYBR,oac-7,NRT,N2,70
,B03,SYBR,oac-7,Unkn,N2,78
,B04,SYBR,oac-7,Unkn,N2,77.5
,B05,SYBR,oac-7,Unkn,N2,78
,B06,SYBR,oac-7,Unkn,FAU5,78
,B07,SYBR,oac-7,Unkn,FAU5,78
,B08,SYBR,oac-7,Unkn,FAU5,78
,B09,SYBR,oac-7,NRT,N2,75
,C02,SYBR,ceh-74,NRT,N2,71.5
,C03,SYBR,ceh-74,Unkn,N2,77.5
,C04,SYBR,ceh-74,Unkn,N2,77.5
,C05,SYBR,ceh-74,Unkn,N2,77.5
,C06,SYBR,ceh-74,Unkn,FAU5,78
,C07,SYBR,ceh-74,Unkn,FAU5,78
,C08,SYBR,ceh-74,Unkn,FAU5,77.5
,C09,SYBR,ceh-74,NRT,N2,71.5
,D02,SYBR,zip-2,NRT,N2,None
,D03,SYBR,zip-2,Unkn,N2,80.5
,D04,SYBR,zip-2,Unkn,N2,80.5
,D05,SYBR,zip-2,Unkn,N2,80.5
,D06,SYBR,zip-2,Unkn,FAU5,81
,D07,SYBR,zip-2,Unkn,FAU5,81
,D08,SYBR,zip-2,Unkn,FAU5,81
,D09,SYBR,zip-2,NRT,N2,None
,E02,SYBR,pals-24,NRT,N2,71
,E03,SYBR,pals-24,Unkn,N2,75
,E04,SYBR,pals-24,Unkn,N2,75
,E05,SYBR,pals-24,Unkn,N2,75
,E06,SYBR,pals-24,Unkn,FAU5,75
,E07,SYBR,pals-24,Unkn,FAU5,75
,E08,SYBR,pals-24,Unkn,FAU5,75
,E09,SYBR,pals-24,NRT,N2,71.5
,F02,SYBR,t22f3.11,NRT,N2,None
,F03,SYBR,t22f3.11,Unkn,N2,75.5
,F04,SYBR,t22f3.11,Unkn,N2,75.5
,F05,SYBR,t22f3.11,Unkn,N2,75.5
,F06,SYBR,t22f3.11,Unkn,FAU5,76
,F07,SYBR,t22f3.11,Unkn,FAU5,75.5
,F08,SYBR,t22f3.11,Unkn,FAU5,75.5
,F09,SYBR,t22f3.11,NRT,N2,None
