,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
A,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
A,Cq,,29.2818058132907,23.1483315556657,23.1059331307413,23.063399409712,21.4794643355471,21.4601332538414,21.4079613091566,31.268415269291,,,
A,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
B,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
B,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
B,Cq,,36.8504528148488,29.0151821022596,28.7913067050547,28.7667143484565,23.4783881825225,23.5051270787161,23.3434666833087,38.5379810406391,,,
B,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
C,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
C,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
C,Cq,,34.4272378796135,25.5179348767085,25.5627449512275,25.5357218840602,20.5057666004082,20.4617382854003,20.3910547767047,33.6946162825734,,,
C,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
D,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
D,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
D,Cq,,NaN,24.5107432520539,24.4326178733612,24.3961991713548,23.2145386259276,23.1762840286754,23.086696346776,NaN,,,
D,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
E,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
E,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
E,Cq,,34.5845097150753,25.444192694808,25.4399350551266,25.4272010664757,22.197019663841,22.0964869269204,22.0519530772045,35.0910897900526,,,
E,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
F,Content,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,,
F,Sample,,N2,N2,N2,N2,FAU5,FAU5,FAU5,N2,,,
F,Cq,,NaN,29.4758839670093,29.3240791874753,29.5635426847434,36.5095433392265,35.8057800533724,36.1990733819448,NaN,,,
F,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,copy number,,,,,,,,,,,,
