,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,tba-1,Unkn,N2,78.5,1027.42594057709,66.5,89,
,A02,SYBR,tba-1,Unkn,N2,79.5,992.544357642614,62.5,88.5,
,A03,SYBR,tba-1,Unkn,N2,79.5,974.241824674198,68,90.5,
,A04,SYBR,tba-1,Unkn,FAU5,79.5,975.221815537971,63,88.5,
,A05,SYBR,tba-1,Unkn,FAU5,79.5,970.866660519405,67.5,88,
,A06,SYBR,tba-1,Unkn,FAU5,79.5,975.563279525801,68,90,
,A07,SYBR,tba-1,Unkn,N2 treated,79.5,908.510632943876,67.5,89.5,
,A08,SYBR,tba-1,Unkn,N2 treated,79.5,973.9143239638,64,87.5,
,A09,SYBR,tba-1,Unkn,N2 treated,79.5,1001.21013651444,63.5,87,
,A10,SYBR,tba-1,Unkn,,79.5,1067.10174752938,63.5,89,
,A11,SYBR,tba-1,Unkn,,79,1030.48446840368,63.5,88.5,
,A12,SYBR,tba-1,Unkn,,63.5,425.283768878241,62.5,69,
,A12,SYBR,tba-1,Unkn,,62,396.476685896772,61,62.5,
,B01,SYBR,oac-7,Unkn,N2,78,1051.4164312763,62.5,85,
,B02,SYBR,oac-7,Unkn,N2,78,1096.27472231781,62.5,86,
,B03,SYBR,oac-7,Unkn,N2,78,1156.12270986047,62.5,86.5,
,B04,SYBR,oac-7,Unkn,FAU5,78,1234.65433180588,62.5,85.5,
,B05,SYBR,oac-7,Unkn,FAU5,78,1114.95610286306,62.5,88,
,B06,SYBR,oac-7,Unkn,FAU5,78,1075.41848648545,64,87.5,
,B07,SYBR,oac-7,Unkn,N2 treated,78,1091.57454685766,62.5,88.5,
,B08,SYBR,oac-7,Unkn,N2 treated,78,1358.83882936479,63.5,89,
,B09,SYBR,oac-7,Unkn,N2 treated,78,1332.7116383675,64,90,
,B10,SYBR,oac-7,Unkn,,78,1293.39105397182,64.5,81.5,
,B11,SYBR,oac-7,Unkn,,78,1308.96139513073,64.5,81.5,
,B12,SYBR,oac-7,Unkn,,76,1451.97942493096,64,80,
,C01,SYBR,ugt-31,Unkn,N2,77,839.395517120702,62.5,82.5,
,C02,SYBR,ugt-31,Unkn,N2,77,1006.49190536348,62.5,86,
,C03,SYBR,ugt-31,Unkn,N2,77,1082.33248495009,62.5,84.5,
,C04,SYBR,ugt-31,Unkn,FAU5,77.5,1047.41162691564,62.5,83.5,
,C05,SYBR,ugt-31,Unkn,FAU5,77.5,1054.6412081944,62.5,85.5,
,C06,SYBR,ugt-31,Unkn,FAU5,77.5,1011.45031181215,62.5,86,
,C07,SYBR,ugt-31,Unkn,N2 treated,77.5,990.501964706156,62.5,86,
,C08,SYBR,ugt-31,Unkn,N2 treated,77,1040.57779491792,63.5,83.5,
,C09,SYBR,ugt-31,Unkn,N2 treated,77,1147.32505220731,63.5,86,
,C10,SYBR,ugt-31,Unkn,,77.5,1158.78869328795,63,84.5,
,C11,SYBR,ugt-31,Unkn,,77.5,1202.84887825189,62.5,83,
,C12,SYBR,ugt-31,Unkn,,77,1084.83058368715,62.5,83,
,D01,SYBR,t22f3.11,Unkn,N2,75.5,538.117251963316,63,86.5,
,D02,SYBR,t22f3.11,Unkn,N2,76,547.617423870514,62.5,85.5,
,D03,SYBR,t22f3.11,Unkn,N2,75.5,552.470345704753,63,88.5,
,D04,SYBR,t22f3.11,Unkn,FAU5,77,651.159069641779,62.5,86.5,
,D05,SYBR,t22f3.11,Unkn,FAU5,77,549.995448439932,63.5,87,
,D06,SYBR,t22f3.11,Unkn,FAU5,77.5,596.004414329781,63,85,
,D07,SYBR,t22f3.11,Unkn,N2 treated,77.5,518.299799681633,75.5,87,
,D07,SYBR,t22f3.11,Unkn,N2 treated,74,460.107003750876,63,75.5,
,D08,SYBR,t22f3.11,Unkn,N2 treated,77,506.947779099924,75.5,86,
,D08,SYBR,t22f3.11,Unkn,N2 treated,74.5,469.986318377585,64.5,75.5,
,D09,SYBR,t22f3.11,Unkn,N2 treated,77,567.492930476998,75.5,84.5,
,D09,SYBR,t22f3.11,Unkn,N2 treated,74.5,553.597078314641,64.5,75.5,
,D10,SYBR,t22f3.11,Unkn,,77.5,661.294229253555,64.5,86.5,
,D11,SYBR,t22f3.11,Unkn,,75,592.09527122491,65,84,
,D12,SYBR,t22f3.11,Unkn,,77.5,659.905085731393,63.5,85,
,E01,SYBR,ugt-29,Unkn,N2,77,1090.89616435914,62.5,83.5,
,E02,SYBR,ugt-29,Unkn,N2,76.5,1120.34841436448,62.5,84.5,
,E03,SYBR,ugt-29,Unkn,N2,77,1205.60958755492,62.5,81,
,E04,SYBR,ugt-29,Unkn,FAU5,76.5,1157.34666138198,62.5,83,
,E05,SYBR,ugt-29,Unkn,FAU5,76.5,1088.72737787007,62.5,85,
,E06,SYBR,ugt-29,Unkn,FAU5,77,1139.21021897409,62.5,82,
,E07,SYBR,ugt-29,Unkn,N2 treated,76.5,1099.77656763456,62.5,82.5,
,E08,SYBR,ugt-29,Unkn,N2 treated,76.5,1135.6453015411,62.5,84,
,E09,SYBR,ugt-29,Unkn,N2 treated,76.5,1271.12949390675,63,81.5,
,E10,SYBR,ugt-29,Unkn,,76.5,1250.10015350034,63.5,82.5,
,E11,SYBR,ugt-29,Unkn,,76.5,1247.67268602092,63.5,83,
,E12,SYBR,ugt-29,Unkn,,77,1163.75660275708,62.5,84.5,
,F01,SYBR,ugt-29,NRT,N2,None,None,None,None,
,F02,SYBR,ugt-31,NRT,N2,None,None,None,None,
,F03,SYBR,t22f3.11,NRT,N2,None,None,None,None,
,F04,SYBR,oac-7,NRT,N2,None,None,None,None,
,F05,SYBR,tba-1,NRT,FAU5 treated,None,None,None,None,
,F06,SYBR,tba-1,NRT,N2,None,None,None,None,
,F07,SYBR,tba-1,NRT,N2 treated,None,None,None,None,
,F08,SYBR,tba-1,NRT,FAU5,None,None,None,None,
,G01,SYBR,ugt-29,NRT,N2 treated,None,None,None,None,
,G02,SYBR,ugt-31,NRT,N2 treated,None,None,None,None,
,G03,SYBR,t22f3.11,NRT,N2 treated,None,None,None,None,
,G04,SYBR,oac-7,NRT,N2 treated,None,None,None,None,
,H01,SYBR,ugt-29,NRT,FAU5,None,None,None,None,
,H02,SYBR,ugt-31,NRT,FAU5,None,None,None,None,
,H03,SYBR,t22f3.11,NRT,FAU5,None,None,None,None,
,H04,SYBR,oac-7,NRT,FAU5,None,None,None,None,
