,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,tba-1,Unkn,FAU5,3249.2908152363,,Unknown,Unassigned,False
,A02,SYBR,tba-1,Unkn,FAU5,4025.58257597039,,Unknown,Unassigned,False
,A03,SYBR,tba-1,Unkn,FAU5,4245.16524136569,,Unknown,Unassigned,False
,A04,SYBR,tba-1,Unkn,N2,3958.48885191726,,Unknown,Unassigned,False
,A05,SYBR,tba-1,Unkn,N2,3978.7841421727,,Unknown,Unassigned,False
,A06,SYBR,tba-1,Unkn,N2,4183.56641849723,,Unknown,Unassigned,False
,A07,SYBR,tba-1,Unkn,N2 treated,4202.74633132579,,Unknown,Unassigned,False
,A08,SYBR,tba-1,Unkn,N2 treated,4485.75075262109,,Unknown,Unassigned,False
,A09,SYBR,tba-1,Unkn,N2 treated,4825.43878613715,,Unknown,Unassigned,False
,A10,SYBR,tba-1,Unkn,FAU5 treated,4391.91300950726,,Unknown,Unassigned,False
,A11,SYBR,tba-1,Unkn,FAU5 treated,4416.17299681345,,Unknown,Unassigned,False
,A12,SYBR,tba-1,Unkn,FAU5 treated,40.4908525792522,,Unknown,Unassigned,False
,B01,SYBR,oac-7,Unkn,N2,3380.09574366955,,Unknown,Unassigned,False
,B02,SYBR,oac-7,Unkn,N2,3712.50381684375,,Unknown,Unassigned,False
,B03,SYBR,oac-7,Unkn,N2,3822.58847015028,,Unknown,Unassigned,False
,B04,SYBR,oac-7,Unkn,FAU5,4495.59929154744,,Unknown,Unassigned,False
,B05,SYBR,oac-7,Unkn,FAU5,4415.73211663798,,Unknown,Unassigned,False
,B06,SYBR,oac-7,Unkn,FAU5,4360.26726710246,,Unknown,Unassigned,False
,B07,SYBR,oac-7,Unkn,N2 treated,4811.42187929663,,Unknown,Unassigned,False
,B08,SYBR,oac-7,Unkn,N2 treated,5267.80657497057,,Unknown,Unassigned,False
,B09,SYBR,oac-7,Unkn,N2 treated,5335.60770716485,,Unknown,Unassigned,False
,B10,SYBR,oac-7,Unkn,FAU5 treated,5247.05029740657,,Unknown,Unassigned,False
,B11,SYBR,oac-7,Unkn,FAU5 treated,4985.63234581957,,Unknown,Unassigned,False
,B12,SYBR,oac-7,Unkn,FAU5 treated,5103.07599429289,,Unknown,Unassigned,False
,C01,SYBR,nhr-58,Unkn,N2,3483.4674646217,,Unknown,Unassigned,False
,C02,SYBR,nhr-58,Unkn,N2,3660.9018196495,,Unknown,Unassigned,False
,C03,SYBR,nhr-58,Unkn,N2,3937.08885372763,,Unknown,Unassigned,False
,C04,SYBR,nhr-58,Unkn,FAU5,4156.52795729478,,Unknown,Unassigned,False
,C05,SYBR,nhr-58,Unkn,FAU5,4052.95552116675,,Unknown,Unassigned,False
,C06,SYBR,nhr-58,Unkn,FAU5,4229.40463835205,,Unknown,Unassigned,False
