,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-SYBR,ceh-74,FAU5 treated,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN
,1-SYBR,ceh-74,N2 treated,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN
,1-SYBR,nhr-58,FAU5,,0.341874761570408,-1.54846017314322,0.0204740225078844,0.0204740225078844,NaN,0.0118206824063215,0.0118206824063215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,30.397637323074,0.0863993896580479,0.0498827108768933,NaN
,1-SYBR,nhr-58,FAU5 treated,,1,0,0.0564073249819939,0.0564073249819939,NaN,0.0325667842626209,0.0325667842626209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,28.8491771499308,0.0813785680213347,0.0469839381533839,NaN
,1-SYBR,nhr-58,N2,,0.276000175917801,-1.85725890833443,0.0479810459893844,0.0479810459893844,NaN,0.0277018698179709,0.0277018698179709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,30.7064360582652,0.250804249944269,0.144801901219226,NaN
,1-SYBR,nhr-58,N2 treated,,0.310644371340219,-1.68666418100089,0.0293698611406375,0.0293698611406375,NaN,0.016956697235609,0.016956697235609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,30.5358413309317,0.136399551797414,0.078750317947581,NaN
,1-SYBR,oac-7,FAU5,,0.0474747451044934,-4.39669593531824,0.00669291646790113,0.00669291646790113,NaN,0.0038641571244064,0.00386415712440639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,30.4203757814982,0.203388925544987,0.117426650913587,NaN
,1-SYBR,oac-7,FAU5 treated,,1,0,0.0571681581521523,0.0571681581521523,NaN,0.0330060514982202,0.0330060514982202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,26.02367984618,0.082476218262866,0.047617666815808,NaN
,1-SYBR,oac-7,N2,,0.0072476423403775,-7.10827252222706,0.0165312840311602,0.0165312840311602,NaN,0.00826564201558009,0.00826564201558008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,33.131952368407,3.29067031335317,1.64533515667658,NaN
,1-SYBR,oac-7,N2 treated,,0.153689546545364,-2.70190905386673,0.027847252266834,0.027847252266834,NaN,0.013923626133417,0.013923626133417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,28.7255889000467,0.26140419859907,0.130702099299535,NaN
,1-SYBR,t22f3.3,FAU5,,0.797509365849992,-0.326426633080708,0.0383356361362465,0.0383356361362465,NaN,0.0221330898428175,0.0221330898428174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,34.1459217945173,0.069349194519039,0.0400387761236509,NaN
,1-SYBR,t22f3.3,FAU5 treated,,1,0,0.0984249259065019,0.0984249259065019,NaN,0.0568256574670878,0.0568256574670878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,33.8194951614366,0.141997152505174,0.0819820942230225,NaN
,1-SYBR,t22f3.3,N2,,0.785148025184552,-0.348963421688872,0.277507122305325,0.277507122305325,NaN,0.160218811765018,0.160218811765018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,34.1684585831255,0.509914228042736,0.294399116824094,NaN
,1-SYBR,t22f3.3,N2 treated,,0.171496948338249,-2.54374518995543,0.328235758889939,0.328235758889939,NaN,0.164117879444969,0.164117879444969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,36.363240351392,2.76123923009379,1.3806196150469,NaN
,1-SYBR,tba-1,FAU5,,0.354309065094764,-1.49691971720998,0.0553227604605457,0.0553227604605457,NaN,0.0319406106442093,0.0319406106442093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,26.7904358993393,0.225266243592639,0.130057526377546,NaN
,1-SYBR,tba-1,FAU5 treated,,1,0,0.0401527536797943,0.0401527536797943,NaN,0.0283922844102956,0.0283922844102956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,25.2935161821293,0.0579281786118753,0.0409614079182425,NaN
,1-SYBR,tba-1,N2,,0.358897677711427,-1.47835550682684,0.0603246078434443,0.0603246078434442,NaN,0.0348284285771712,0.0348284285771711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,26.7718716889561,0.242492548668106,0.14000313825001,NaN
