,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,tba-1,Unkn,FAU5,79.5,648.574223202233,63,88,
,A02,SYBR,tba-1,Unkn,FAU5,79.5,851.986084815626,63.5,90,
,A03,SYBR,tba-1,Unkn,FAU5,79.5,881.130398648024,63.5,90.5,
,A04,SYBR,tba-1,Unkn,N2,79.5,701.346904166984,63.5,89,
,A05,SYBR,tba-1,Unkn,N2,79.5,668.750667602155,63,90.5,
,A06,SYBR,tba-1,Unkn,N2,79.5,695.426164262496,63,91,
,A07,SYBR,tba-1,Unkn,N2 treated,79.5,878.74638218243,63.5,89.5,
,A08,SYBR,tba-1,Unkn,N2 treated,79.5,963.317751434724,63.5,90.5,
,A09,SYBR,tba-1,Unkn,N2 treated,79.5,974.389003949144,63,92,
,A10,SYBR,tba-1,Unkn,FAU5 treated,79,954.338126251849,68,89.5,
,A11,SYBR,tba-1,Unkn,FAU5 treated,79,1010.22433159082,68,90.5,
,A12,SYBR,tba-1,Unkn,FAU5 treated,None,None,None,None,
,B01,SYBR,oac-7,Unkn,N2,78,693.974383554077,72.5,82,
,B02,SYBR,oac-7,Unkn,N2,78.5,595.846698165257,75,83,
,B03,SYBR,oac-7,Unkn,N2,78.5,714.619981497753,73,82.5,
,B04,SYBR,oac-7,Unkn,FAU5,78,1143.19512578311,71,87.5,
,B05,SYBR,oac-7,Unkn,FAU5,78,1075.88539062613,71.5,85,
,B06,SYBR,oac-7,Unkn,FAU5,78,981.065226438216,71,85,
,B07,SYBR,oac-7,Unkn,N2 treated,78,1226.96339735959,71.5,84,
,B08,SYBR,oac-7,Unkn,N2 treated,78,1318.80709522181,71,89.5,
,B09,SYBR,oac-7,Unkn,N2 treated,78,1316.25069814929,71.5,82.5,
,B10,SYBR,oac-7,Unkn,FAU5 treated,78,1262.31632598515,70.5,82,
,B11,SYBR,oac-7,Unkn,FAU5 treated,77.5,1159.70232982728,69.5,81.5,
,B12,SYBR,oac-7,Unkn,FAU5 treated,77.5,1398.05094784984,70.5,89.5,
,C01,SYBR,nhr-58,Unkn,N2,71,645.999414312467,63,76,
,C02,SYBR,nhr-58,Unkn,N2,71.5,853.447016429723,62.5,82,
,C03,SYBR,nhr-58,Unkn,N2,71,796.588724164714,63,76,
,C04,SYBR,nhr-58,Unkn,FAU5,78.5,733.498636650382,74.5,82,
,C04,SYBR,nhr-58,Unkn,FAU5,70.5,508.522881712857,63,74.5,
,C05,SYBR,nhr-58,Unkn,FAU5,78.5,649.281225037731,75,82,
,C05,SYBR,nhr-58,Unkn,FAU5,71,566.774415931344,63,75,
,C06,SYBR,nhr-58,Unkn,FAU5,78.5,642.35818964393,75,82,
,C06,SYBR,nhr-58,Unkn,FAU5,71,582.479416941316,62.5,75,
,C07,SYBR,nhr-58,Unkn,N2 treated,70.5,450.649462277453,63,74,
,C07,SYBR,nhr-58,Unkn,N2 treated,78.5,741.418555806919,74.5,82.5,
,C08,SYBR,nhr-58,Unkn,N2 treated,78.5,878.939401683796,74,82.5,
,C08,SYBR,nhr-58,Unkn,N2 treated,70.5,484.211828015223,63,74,
,C09,SYBR,nhr-58,Unkn,N2 treated,78.5,814.959847033072,74.5,82,
,C09,SYBR,nhr-58,Unkn,N2 treated,70.5,503.822943585939,62.5,74.5,
,C10,SYBR,nhr-58,Unkn,FAU5 treated,78,1212.12136046064,73,84.5,
,C11,SYBR,nhr-58,Unkn,FAU5 treated,78,1275.1581644279,72.5,83.5,
,C12,SYBR,nhr-58,Unkn,FAU5 treated,78,1213.80755844192,72.5,82,
,D01,SYBR,ugt-31,Unkn,N2,78,519.427073393769,75,83.5,
,D02,SYBR,ugt-31,Unkn,N2,77.5,633.48574269389,74,84.5,
,D03,SYBR,ugt-31,Unkn,N2,77.5,704.255972129072,73,83.5,
,D04,SYBR,ugt-31,Unkn,FAU5,68.5,929.170975972555,62.5,77,
,D05,SYBR,ugt-31,Unkn,FAU5,68.5,536.764540115814,62.5,76,
,D06,SYBR,ugt-31,Unkn,FAU5,None,None,None,None,
,D07,SYBR,ugt-31,Unkn,N2 treated,77.5,937.827622583496,72.5,88.5,
,D08,SYBR,ugt-31,Unkn,N2 treated,77.5,926.052373834086,73,84,
,D09,SYBR,ugt-31,Unkn,N2 treated,77.5,979.013435231409,73,83.5,
,D10,SYBR,ugt-31,Unkn,FAU5 treated,77.5,1058.12895999887,72,83,
