,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G7,G8,G9,G11,G12,H1,H2,H3,H4,H5,H7,H8,H9,H11,H12
,60,7147.14364160966,8263.49014991574,8574.76500629531,8257.58015629157,8457.14632180265,8713.12639139338,8409.01086657662,8726.11601717979,9025.63489429324,8581.82731378844,8772.26725804385,2856.15932355232,8016.36728674274,8737.03514010842,8643.34622321385,8889.09638662297,8872.9273756346,8711.72904802012,9105.01821640853,9791.41129631632,9981.50862133982,9562.1129627903,9169.8893510054,9549.25800012614,7925.12478022495,8221.75270751757,8537.90103032425,8604.06790343328,8630.93854163251,8863.11761978981,8566.64511671199,9255.10468054528,9258.52254189657,9484.35793571816,9842.58080822768,9608.78005507239,7100.46549087655,7501.63517113957,7753.26816987552,7498.45818366992,5329.71311563063,5675.06300112811,7995.22710504948,8009.37001683836,8390.69144499971,8368.60621106997,8294.69495290162,8088.01004039635,7242.93850221323,7161.37759445536,7636.48712273015,7678.7654656731,7558.45145971911,7510.31852423827,7707.35135392781,7577.28020448019,7553.18668194772,7408.12368739155,7409.39389205796,6756.88735368907,2685.42203095649,8478.79195434976,2681.93527337824,9409.33987061157,2694.88207925073,9677.45247445203,10494.7146075106,2657.95111187951,7148.39282683321,5557.84647010733,2623.53154858919,2673.03507911871,2635.77497332302,2637.3355917942,2664.30800450625,2656.56235305431,2708.29800723833,2614.39200258769,2668.11151856122,2587.41280721408
,60.5,7157.85061912552,8289.59037149752,8607.66433005633,8294.46547204519,8471.58880526572,8730.16435885216,8433.86912143329,8753.74576872518,9046.93296677399,8573.62072721046,8769.48700286823,2853.17158570464,8038.18716050889,8766.9914545611,8680.28261417623,8906.81729953629,8882.06661216712,8695.81260264442,9123.62894270343,9805.67776540598,9974.76881349868,9540.48268131924,9127.16986409474,9572.98009142612,7933.74599470488,8212.10549241894,8542.56436337629,8618.8675013759,8634.60248203483,8857.14016011463,8574.88148644869,9263.20725450947,9252.80474686696,9490.54752830318,9846.31167024022,9615.96202122794,7106.511652982,7502.05228428928,7764.49878606171,7479.88480140226,5307.95879865561,5654.29986602535,7992.27146982053,8012.06167435902,8383.84244289214,8375.52621640536,8297.09486947019,8102.34428287449,7265.51786357169,7185.24630018125,7677.44558061629,7742.55982740423,7600.57860425934,7557.1735441133,7733.77546621525,7628.51345262273,7591.6870889858,7436.57053820765,7413.7711862101,6764.54603531032,2687.94556651207,8487.26995182076,2679.88635306856,9441.0631184424,2692.29752513399,9681.20159403135,10507.4103824221,2655.99406155779,7125.26567000154,5550.38187001385,2621.96730857052,2671.15844631657,2633.27781029249,2635.4757571227,2662.57520082151,2654.26849209728,2706.81431740873,2612.6772438279,2666.41521769062,2586.35717430991
,61,7168.55759664137,8315.69059307931,8640.56365381735,8331.3507877988,8486.03128872879,8747.20232631094,8458.72737628995,8781.37552027056,9068.23103925474,8565.41414063248,8766.7067476926,2850.18384785695,8060.00703427503,8796.94776901379,8717.21900513862,8924.53821244961,8891.20584869963,8679.89615726873,9142.23966899833,9819.94423449563,9968.02900565753,9518.85239984818,9084.45037718407,9596.7021827261,7942.36720918482,8202.45827732031,8547.22769642832,8633.66709931852,8638.26642243715,8851.16270043946,8583.11785618539,9271.30982847365,9247.08695183735,9496.73712088819,9850.04253225277,9623.14398738348,7112.55781508745,7502.46939743899,7775.72940224791,7461.3114191346,5286.20448168059,5633.53673092259,7989.31583459157,8014.75333187968,8376.99344078457,8382.44622174075,8299.49478603876,8116.67852535262,7288.09722493014,7209.11500590714,7718.40403850243,7806.35418913535,7642.70574879957,7604.02856398832,7760.19957850268,7679.74670076528,7630.18749602388,7465.01738902374,7418.14848036223,6772.20471693158,2690.46910206765,8495.74794929176,2677.83743275888,9472.78636627324,2689.71297101724,9684.95071361066,10520.1061573336,2654.03701123607,7102.13851316987,5542.91726992036,2620.40306855185,2669.28181351443,2630.78064726196,2633.61592245121,2660.84239713677,2651.97463114026,2705.33062757912,2610.9624850681,2664.71891682001,2585.30154140574
,61.5,7179.26457415723,8341.7908146611,8673.46297757836,8368.23610355242,8500.47377219185,8764.24029376972,8483.58563114661,8809.00527181595,9089.5291117355,8557.2075540545,8763.92649251698,2847.19611000927,8081.82690804117,8826.90408346647,8754.155396101,8942.25912536293,8900.34508523215,8663.97971189304,9160.85039529324,9834.21070358529,9961.28919781639,9497.22211837713,9041.73089027341,9620.42427402608,7950.98842366475,8192.81106222168,8551.89102948036,8648.46669726114,8641.93036283947,8845.18524076428,8591.35422592209,9279.41240243783,9241.36915680774,9502.92671347321,9853.77339426531,9630.32595353902,7118.6039771929,7502.8865105887,7786.9600184341,7442.73803686694,5264.45016470557,5612.77359581984,7986.36019936262,8017.44498940033,8370.144438677,8389.36622707614,8301.89470260732,8131.01276783076,7310.6765862886,7232.98371163302,7759.36249638857,7870.14855086648,7684.8328933398,7650.88358386335,7786.62369079012,7730.97994890782,7668.68790306196,7493.46423983984,7422.52577451437,6779.86339855283,2692.99263762323,8504.22594676276,2675.7885124492,9504.50961410407,2687.1284169005,9688.69983318997,10532.8019322451,2652.07996091435,7079.0113563382,5535.45266982688,2618.83882853318,2667.40518071229,2628.28348423142,2631.75608777971,2659.10959345203,2649.68077018323,2703.84693774951,2609.24772630831,2663.0226159494,2584.24590850157
,62,7189.97155167308,8367.89103624288,8706.36230133938,8405.12141930604,8514.91625565492,8781.2782612285,8508.44388600328,8836.63502336133,9110.82718421625,8549.00096747653,8761.14623734136,2844.20837216158,8103.64678180731,8856.86039791916,8791.09178706338,8959.98003827625,8909.48432176467,8648.06326651734,9179.46112158815,9848.47717267494,9954.54938997525,9475.59183690607,8999.01140336275,9644.14636532606,7959.60963814468,8183.16384712305,8556.5543625324,8663.26629520376,8645.59430324179,8839.2077810891,8599.59059565879,9287.51497640202,9235.65136177813,9509.11630605823,9857.50425627786,9637.50791969456,7124.65013929835,7503.30362373841,7798.1906346203,7424.16465459928,5242.69584773056,5592.01046071708,7983.40456413367,8020.13664692099,8363.29543656943,8396.28623241154,8304.29461917589,8145.3470103089,7333.25594764706,7256.85241735891,7800.32095427471,7933.9429125976,7726.96003788003,7697.73860373838,7813.04780307755,7782.21319705036,7707.18831010005,7521.91109065593,7426.9030686665,6787.52208017409,2695.51617317881,8512.70394423376,2673.73959213952,9536.23286193491,2684.54386278375,9692.44895276928,10545.4977071567,2650.12291059264,7055.88419950652,5527.98806973339,2617.27458851451,2665.52854791015,2625.78632120089,2629.89625310822,2657.37678976729,2647.3869092262,2702.36324791991,2607.53296754852,2661.32631507879,2583.1902755974
,62.5,7200.67852918886,8393.99125782453,8739.26162510025,8442.00673505959,8529.35873911801,8798.31622868732,8533.30214086011,8864.26477490653,9132.12525669692,8540.79438089873,8758.36598216563,2841.22063431388,8125.46665557346,8886.81671237183,8828.02817802579,8977.70095118957,8918.62355829703,8632.14682114166,9198.07184788301,9862.74364176447,9947.80958213416,9453.96155543493,8956.29191645199,9667.86845662615,7968.23085262462,8173.51663202452,8561.21769558444,8678.06589314627,8649.25824364408,8833.23032141401,8607.82696539561,9295.61755036623,9229.9335667485,9515.30589864318,9861.23511829043,9644.68988585016,7130.69630140378,7503.7207368882,7809.42125080653,7405.59127233164,5220.94153075557,5571.24732561421,7980.44892890467,8022.82830444158,8356.44643446172,8403.20623774686,8306.69453574446,8159.68125278704,7355.8353090055,7280.72112308483,7841.2794121608,7997.73727432876,7769.08718242034,7744.59362361344,7839.47191536492,7833.44644519281,7745.68871713808,7550.35794147208,7431.28036281867,6795.18076179539,2698.03970873441,8521.18194170482,2671.69067182985,9567.95610976563,2681.959308667,9696.1980723486,10558.1934820682,2648.16586027094,7032.7570426749,5520.52346963983,2615.71034849581,2663.651915108,2623.28915817036,2628.03641843672,2655.64398608253,2645.09304826916,2700.87955809027,2605.81820878871,2659.63001420819,2582.13464269321
,63,7211.38550670471,8420.09147940632,8772.16094886126,8478.89205081321,8543.80122258107,8815.3541961461,8558.16039571678,8891.89452645192,9153.42332917767,8532.58779432075,8755.58572699001,2838.2328964662,8147.2865293396,8916.77302682451,8864.96456898817,8995.42186410289,8927.76279482954,8616.23037576596,9216.68257417792,9877.01011085412,9941.06977429302,9432.33127396388,8913.57242954132,9691.59054792613,7976.85206710455,8163.86941692589,8565.88102863648,8692.86549108889,8652.9221840464,8827.25286173883,8616.06333513231,9303.72012433041,9224.21577171888,9521.49549122819,9864.96598030297,9651.8718520057,7136.74246350923,7504.13785003791,7820.65186699273,7387.01789006398,5199.18721378055,5550.48419051146,7977.49329367571,8025.51996196224,8349.59743235415,8410.12624308225,8309.09445231303,8174.01549526518,7378.41467036396,7304.58982881072,7882.23787004694,8061.53163605989,7811.21432696057,7791.44864348846,7865.89602765236,7884.67969333535,7784.18912417616,7578.80479228817,7435.6576569708,6802.83944341664,2700.56324428999,8529.65993917582,2669.64175152017,9599.67935759646,2679.37475455026,9699.94719192791,10570.8892569797,2646.20880994922,7009.62988584322,5513.05886954634,2614.14610847714,2661.77528230586,2620.79199513983,2626.17658376522,2653.91118239779,2642.79918731213,2699.39586826066,2604.10345002891,2657.93371333758,2581.07900978904
,63.5,7208.30472384878,8423.5729787847,8780.69119446934,8492.93082460481,8536.02560462749,8809.14574891522,8560.20645800825,8895.99767482987,9149.07451737517,8503.05756493735,8728.32267526966,2835.45969483234,8147.40754787667,8924.15870284578,8879.93759175615,8992.53109818853,8915.43107981469,8579.75618963225,9214.36079571177,9865.48404869249,9909.80159476154,9389.25228575085,8855.34933722406,9682.81120355717,7965.82350744949,8134.46173183473,8550.20344472409,8690.92453683434,8636.2910696204,8799.35795763016,8603.03354560357,9289.81190208169,9195.36392253612,9506.61288738553,9843.79873699347,9630.98005888686,7124.88549526726,7487.15229791274,7814.90623153593,7345.97258423146,5167.30758207547,5517.4602225329,7956.27490813987,8011.01221690639,8323.81905015811,8400.29720442243,8290.97806114355,8166.49369045117,7397.22894813524,7325.14403869275,7918.93917266445,8115.18736166774,7846.22939228964,7822.76537215453,7873.87891375031,7921.80568410987,7817.62266718976,7596.39014793234,7439.26216708235,6802.18509412193,2701.80489999472,8514.37332106403,2667.55604703577,9611.0308894851,2676.91806705302,9679.0967145753,10559.5167731447,2644.26917168602,6967.65415301031,5493.29024676939,2612.92521394749,2659.85345023491,2618.53704100988,2624.49875395595,2652.28889755622,2640.46909550434,2698.13721304283,2603.0238045577,2656.47990392871,2579.95616447024
,64,7193.52688576974,8407.15818874226,8767.50662644381,8486.2414983667,8509.48469479501,8783.91537754409,8542.92880238528,8879.57838966465,9123.47305503876,8458.25460833894,8683.91515496532,2833.14883328541,8128.80981894521,8911.12183385424,8874.61468632475,8970.93249057146,8883.81649665532,8527.20673014871,9192.96517246352,9831.61402246848,9859.03884887297,9329.88436195671,8786.66764916562,9646.8504624088,7937.29817066514,8087.59914432079,8515.91967594775,8673.42340743688,8601.95248208407,8753.50562252161,8571.31566634622,9256.15843848205,9148.35774487567,9474.24009114917,9801.25006054098,9586.51774283947,7097.323864222,7454.72524258613,7793.12214621037,7284.07176795292,5125.38087873524,5474.31681581513,7919.63960048632,7980.624325358,8281.86536320036,8375.2160602808,8254.73903187717,8139.16977066586,7412.62267893706,7341.53803747979,7949.95111326866,8155.86399083617,7872.57572702908,7836.55704789355,7865.17518586114,7942.95573482881,7843.42521839803,7603.1502648817,7444.39396996514,6794.96436191092,2702.2456900831,8478.20072187704,2665.66551875824,9600.43827310186,2674.72509933774,9636.57676347395,10525.4104009223,2642.41379410735,6909.03825741601,5462.31995385638,2611.74595663526,2658.4406738029,2616.49964992336,2622.94817705119,2650.5449624863,2638.61700146012,2696.72382090358,2602.05030341943,2655.00515935863,2578.75067227843
,64.5,7168.19390199179,8373.3226710408,8735.80186373193,8461.82180301697,8467.26932937857,8742.92416381538,8509.68457991933,8845.98279609712,9080.63060600283,8402.56732215234,8627.99930618378,2831.36334728203,8093.51392008873,8878.33866667494,8849.96520393971,8932.07087725389,8835.32952306784,8462.23153574914,9154.12248674856,9778.76931352244,9792.82825078236,9258.30936966367,8710.17222077065,9589.45703071457,7892.75757149598,8024.88792076409,8464.56607925287,8641.71129161469,8552.05666614453,8692.15270326039,8524.01405694595,9205.10295825046,9086.75377641897,9427.49689046975,9741.34308880184,9522.53106098252,7055.26719256236,7408.46351285092,7756.20747620301,7200.43940685338,5072.85297079337,5421.58727201781,7869.12411997527,7935.40015235584,8226.3385154036,8335.72655688568,8203.33130275291,8094.5698031304,7422.65917422328,7350.46908697104,7971.66908533007,8180.08597611528,7888.37822949012,7831.76177553862,7842.36630227459,7946.21579385983,7858.762164576,7599.37633287106,7450.04534897789,6782.21310099044,2701.57011160733,8423.5866117325,2663.44649569024,9564.99245937177,2672.18230593377,9578.38536458653,10471.0892004995,2640.42003831106,6833.81875104442,5419.42998794937,2610.79997035443,2656.75316424142,2614.53737592663,2621.29295643747,2648.95982953221,2637.09938586198,2695.42623246548,2600.78487345981,2653.53843212445,2577.52144464217
