,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,tba-1,Unkn,FAU5,,27.0474388695041,27.0474388695041,0,NaN,NaN,NaN,0,68,
,A02,SYBR,tba-1,Unkn,FAU5,,26.696676111066,26.696676111066,0,NaN,NaN,NaN,0,68,
,A03,SYBR,tba-1,Unkn,FAU5,,26.6271927174476,26.6271927174476,0,NaN,NaN,NaN,0,68,
,A04,SYBR,tba-1,Unkn,N2,,27.0458103179239,27.0458103179239,0,NaN,NaN,NaN,0,68,
,A05,SYBR,tba-1,Unkn,N2,,26.5846942393843,26.5846942393843,0,NaN,NaN,NaN,0,68,
,A06,SYBR,tba-1,Unkn,N2,,26.6851105095602,26.6851105095602,0,NaN,NaN,NaN,0,68,
,A07,SYBR,tba-1,Unkn,N2 treated,,26.1874387963482,26.1874387963482,0,NaN,NaN,NaN,0,68,
,A08,SYBR,tba-1,Unkn,N2 treated,,26.0172359841255,26.0172359841255,0,NaN,NaN,NaN,0,68,
,A09,SYBR,tba-1,Unkn,N2 treated,,26.0481707720565,26.0481707720565,0,NaN,NaN,NaN,0,68,
,A10,SYBR,tba-1,Unkn,FAU5 treated,,25.3344775900475,25.3344775900475,0,NaN,NaN,NaN,0,68,
,A11,SYBR,tba-1,Unkn,FAU5 treated,,25.252554774211,25.252554774211,0,NaN,NaN,NaN,0,68,
,A12,SYBR,tba-1,Unkn,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,B01,SYBR,oac-7,Unkn,N2,,31.422562742345,31.422562742345,0,NaN,NaN,NaN,0,68,
,B02,SYBR,oac-7,Unkn,N2,,31.5926769980975,31.5926769980975,0,NaN,NaN,NaN,0,68,
,B03,SYBR,oac-7,Unkn,N2,,31.4459042506443,31.4459042506443,0,NaN,NaN,NaN,0,68,
,B04,SYBR,oac-7,Unkn,FAU5,,30.2655092896795,30.2655092896795,0,NaN,NaN,NaN,0,68,
,B05,SYBR,oac-7,Unkn,FAU5,,30.6507120434608,30.6507120434608,0,NaN,NaN,NaN,0,68,
,B06,SYBR,oac-7,Unkn,FAU5,,30.3449060113544,30.3449060113544,0,NaN,NaN,NaN,0,68,
,B07,SYBR,oac-7,Unkn,N2 treated,,28.8064488207514,28.8064488207514,0,NaN,NaN,NaN,0,68,
,B08,SYBR,oac-7,Unkn,N2 treated,,28.4200398647114,28.4200398647114,0,NaN,NaN,NaN,0,68,
,B09,SYBR,oac-7,Unkn,N2 treated,,28.6381143813856,28.6381143813856,0,NaN,NaN,NaN,0,68,
,B10,SYBR,oac-7,Unkn,FAU5 treated,,25.9448144552537,25.9448144552537,0,NaN,NaN,NaN,0,68,
,B11,SYBR,oac-7,Unkn,FAU5 treated,,26.0168792834358,26.0168792834358,0,NaN,NaN,NaN,0,68,
,B12,SYBR,oac-7,Unkn,FAU5 treated,,26.1093457998505,26.1093457998505,0,NaN,NaN,NaN,0,68,
,C01,SYBR,nhr-58,Unkn,N2,,30.9507964010134,30.9507964010134,0,NaN,NaN,NaN,0,68,
,C02,SYBR,nhr-58,Unkn,N2,,30.7188619378661,30.7188619378661,0,NaN,NaN,NaN,0,68,
,C03,SYBR,nhr-58,Unkn,N2,,30.4496498359161,30.4496498359161,0,NaN,NaN,NaN,0,68,
,C04,SYBR,nhr-58,Unkn,FAU5,,30.4963958050884,30.4963958050884,0,NaN,NaN,NaN,0,68,
,C05,SYBR,nhr-58,Unkn,FAU5,,30.3360136463532,30.3360136463532,0,NaN,NaN,NaN,0,68,
,C06,SYBR,nhr-58,Unkn,FAU5,,30.3605025177804,30.3605025177804,0,NaN,NaN,NaN,0,68,
,C07,SYBR,nhr-58,Unkn,N2 treated,,30.668527795043,30.668527795043,0,NaN,NaN,NaN,0,68,
,C08,SYBR,nhr-58,Unkn,N2 treated,,30.5429866313948,30.5429866313948,0,NaN,NaN,NaN,0,68,
,C09,SYBR,nhr-58,Unkn,N2 treated,,30.3960095663572,30.3960095663572,0,NaN,NaN,NaN,0,68,
