,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,tba-1,Unkn,FAU5,27.0474388695041,NaN
,A02,SYBR,tba-1,Unkn,FAU5,26.696676111066,NaN
,A03,SYBR,tba-1,Unkn,FAU5,26.6271927174476,NaN
,A04,SYBR,tba-1,Unkn,N2,27.0458103179239,NaN
,A05,SYBR,tba-1,Unkn,N2,26.5846942393843,NaN
,A06,SYBR,tba-1,Unkn,N2,26.6851105095602,NaN
,A07,SYBR,tba-1,Unkn,N2 treated,26.1874387963482,NaN
,A08,SYBR,tba-1,Unkn,N2 treated,26.0172359841255,NaN
,A09,SYBR,tba-1,Unkn,N2 treated,26.0481707720565,NaN
,A10,SYBR,tba-1,Unkn,FAU5 treated,25.3344775900475,NaN
,A11,SYBR,tba-1,Unkn,FAU5 treated,25.252554774211,NaN
,A12,SYBR,tba-1,Unkn,FAU5 treated,NaN,NaN
,B01,SYBR,oac-7,Unkn,N2,31.422562742345,NaN
,B02,SYBR,oac-7,Unkn,N2,31.5926769980975,NaN
,B03,SYBR,oac-7,Unkn,N2,31.4459042506443,NaN
,B04,SYBR,oac-7,Unkn,FAU5,30.2655092896795,NaN
,B05,SYBR,oac-7,Unkn,FAU5,30.6507120434608,NaN
,B06,SYBR,oac-7,Unkn,FAU5,30.3449060113544,NaN
,B07,SYBR,oac-7,Unkn,N2 treated,28.8064488207514,NaN
,B08,SYBR,oac-7,Unkn,N2 treated,28.4200398647114,NaN
,B09,SYBR,oac-7,Unkn,N2 treated,28.6381143813856,NaN
,B10,SYBR,oac-7,Unkn,FAU5 treated,25.9448144552537,NaN
,B11,SYBR,oac-7,Unkn,FAU5 treated,26.0168792834358,NaN
,B12,SYBR,oac-7,Unkn,FAU5 treated,26.1093457998505,NaN
,C01,SYBR,nhr-58,Unkn,N2,30.9507964010134,NaN
,C02,SYBR,nhr-58,Unkn,N2,30.7188619378661,NaN
,C03,SYBR,nhr-58,Unkn,N2,30.4496498359161,NaN
,C04,SYBR,nhr-58,Unkn,FAU5,30.4963958050884,NaN
,C05,SYBR,nhr-58,Unkn,FAU5,30.3360136463532,NaN
