,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,tba-1,Unkn,N2,3753.93684982214,,Unknown,Unassigned,False
,A02,SYBR,tba-1,Unkn,N2,4281.44956039478,,Unknown,Unassigned,False
,A03,SYBR,tba-1,Unkn,N2,4159.09019000025,,Unknown,Unassigned,False
,A04,SYBR,tba-1,Unkn,FAU5,4032.96503522398,,Unknown,Unassigned,False
,A05,SYBR,tba-1,Unkn,FAU5,4140.49192020722,,Unknown,Unassigned,False
,A06,SYBR,tba-1,Unkn,FAU5,4129.45617216616,,Unknown,Unassigned,False
,A07,SYBR,tba-1,Unkn,N2 treated,3727.39151688303,,Unknown,Unassigned,False
,A08,SYBR,tba-1,Unkn,N2 treated,3961.28243205898,,Unknown,Unassigned,False
,A09,SYBR,tba-1,Unkn,N2 treated,4214.72029764407,,Unknown,Unassigned,False
,A10,SYBR,tba-1,Unkn,FAU5 treated,3391.00293647077,,Unknown,Unassigned,False
,A11,SYBR,tba-1,Unkn,FAU5 treated,4138.23221514182,,Unknown,Unassigned,False
,A12,SYBR,tba-1,Unkn,FAU5 treated,2919.30960441464,,Unknown,Unassigned,False
,B01,SYBR,oac-7,Unkn,N2,4430.97835815181,,Unknown,Unassigned,False
,B02,SYBR,oac-7,Unkn,N2,4759.73800476158,,Unknown,Unassigned,False
,B03,SYBR,oac-7,Unkn,N2,4187.06150270549,,Unknown,Unassigned,False
,B04,SYBR,oac-7,Unkn,FAU5,3921.44136028836,,Unknown,Unassigned,False
,B05,SYBR,oac-7,Unkn,FAU5,3862.64178507785,,Unknown,Unassigned,False
,B06,SYBR,oac-7,Unkn,FAU5,4147.80226876063,,Unknown,Unassigned,False
,B07,SYBR,oac-7,Unkn,N2 treated,4064.97776744069,,Unknown,Unassigned,False
,B08,SYBR,oac-7,Unkn,N2 treated,4434.85948479561,,Unknown,Unassigned,False
,B09,SYBR,oac-7,Unkn,N2 treated,4415.99715863542,,Unknown,Unassigned,False
,B10,SYBR,oac-7,Unkn,FAU5 treated,4598.26647841066,,Unknown,Unassigned,False
,B11,SYBR,oac-7,Unkn,FAU5 treated,4475.09846943954,,Unknown,Unassigned,False
,B12,SYBR,oac-7,Unkn,FAU5 treated,2919.25055163576,,Unknown,Unassigned,False
,C01,SYBR,nhr-58,Unkn,N2,3390.74205536843,,Unknown,Unassigned,False
,C02,SYBR,nhr-58,Unkn,N2,3563.31968831512,,Unknown,Unassigned,False
,C03,SYBR,nhr-58,Unkn,N2,3964.21090690518,,Unknown,Unassigned,False
,C04,SYBR,nhr-58,Unkn,FAU5,3410.25969125828,,Unknown,Unassigned,False
,C05,SYBR,nhr-58,Unkn,FAU5,3622.51463629038,,Unknown,Unassigned,False
,C06,SYBR,nhr-58,Unkn,FAU5,3563.78188418065,,Unknown,Unassigned,False
,C07,SYBR,nhr-58,Unkn,N2 treated,3627.34780715406,,Unknown,Unassigned,False
,C08,SYBR,nhr-58,Unkn,N2 treated,3890.85385286008,,Unknown,Unassigned,False
,C09,SYBR,nhr-58,Unkn,N2 treated,3988.50462316972,,Unknown,Unassigned,False
,C10,SYBR,nhr-58,Unkn,FAU5 treated,3746.37659734302,,Unknown,Unassigned,False
,C11,SYBR,nhr-58,Unkn,FAU5 treated,3505.15452207632,,Unknown,Unassigned,False
,C12,SYBR,nhr-58,Unkn,FAU5 treated,3597.2452461526,,Unknown,Unassigned,False
,D01,SYBR,ugt-31,Unkn,N2,2913.92193458261,,Unknown,Unassigned,False
,D02,SYBR,ugt-31,Unkn,N2,3204.21975364253,,Unknown,Unassigned,False
,D03,SYBR,ugt-31,Unkn,N2,3371.2800829363,,Unknown,Unassigned,False
,D04,SYBR,ugt-31,Unkn,FAU5,3473.16147075175,,Unknown,Unassigned,False
,D05,SYBR,ugt-31,Unkn,FAU5,3163.65247592263,,Unknown,Unassigned,False
,D06,SYBR,ugt-31,Unkn,FAU5,3483.40177720616,,Unknown,Unassigned,False
,D07,SYBR,ugt-31,Unkn,N2 treated,2873.97951081888,,Unknown,Unassigned,False
,D08,SYBR,ugt-31,Unkn,N2 treated,3168.06287970017,,Unknown,Unassigned,False
,D09,SYBR,ugt-31,Unkn,N2 treated,3168.5468419138,,Unknown,Unassigned,False
,D10,SYBR,ugt-31,Unkn,FAU5 treated,3312.28263608077,,Unknown,Unassigned,False
