,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,tba-1,Unkn,N2,4180.33614827015,,Unknown,Unassigned,False
,A02,SYBR,tba-1,Unkn,N2,4531.74889053753,,Unknown,Unassigned,False
,A03,SYBR,tba-1,Unkn,N2,4863.70890531552,,Unknown,Unassigned,False
,A04,SYBR,tba-1,Unkn,FAU5,4563.22449823519,,Unknown,Unassigned,False
,A05,SYBR,tba-1,Unkn,FAU5,4264.08303225806,,Unknown,Unassigned,False
,A06,SYBR,tba-1,Unkn,FAU5,4447.70814765022,,Unknown,Unassigned,False
,A07,SYBR,tba-1,Unkn,N2 treated,4949.59652260727,,Unknown,Unassigned,False
,A08,SYBR,tba-1,Unkn,N2 treated,4995.85902838775,,Unknown,Unassigned,False
,A09,SYBR,tba-1,Unkn,N2 treated,5114.90808437043,,Unknown,Unassigned,False
,A10,SYBR,tba-1,Unkn,FAU5 treated,4985.21452739214,,Unknown,Unassigned,False
,A11,SYBR,tba-1,Unkn,FAU5 treated,4851.25825516259,,Unknown,Unassigned,False
,A12,SYBR,tba-1,Unkn,FAU5 treated,-19.8810093641257,,Unknown,Unassigned,False
,B01,SYBR,oac-7,Unkn,N2,4563.12438374656,,Unknown,Unassigned,False
,B02,SYBR,oac-7,Unkn,N2,4893.90497787159,,Unknown,Unassigned,False
,B03,SYBR,oac-7,Unkn,N2,5137.45730562015,,Unknown,Unassigned,False
,B04,SYBR,oac-7,Unkn,FAU5,4654.37527534705,,Unknown,Unassigned,False
,B05,SYBR,oac-7,Unkn,FAU5,4637.19965409063,,Unknown,Unassigned,False
,B06,SYBR,oac-7,Unkn,FAU5,4739.14931823875,,Unknown,Unassigned,False
,B07,SYBR,oac-7,Unkn,N2 treated,4759.2939110874,,Unknown,Unassigned,False
,B08,SYBR,oac-7,Unkn,N2 treated,5078.03042382093,,Unknown,Unassigned,False
,B09,SYBR,oac-7,Unkn,N2 treated,5248.01312375815,,Unknown,Unassigned,False
,B10,SYBR,oac-7,Unkn,FAU5 treated,4738.13248772395,,Unknown,Unassigned,False
,B11,SYBR,oac-7,Unkn,FAU5 treated,5100.80272098242,,Unknown,Unassigned,False
,B12,SYBR,oac-7,Unkn,FAU5 treated,4395.51067079,,Unknown,Unassigned,False
,C01,SYBR,ceh-74,Unkn,N2,4734.70958023213,,Unknown,Unassigned,False
,C02,SYBR,ceh-74,Unkn,N2,5437.32215177008,,Unknown,Unassigned,False
,C03,SYBR,ceh-74,Unkn,N2,5445.49170807068,,Unknown,Unassigned,False
,C04,SYBR,ceh-74,Unkn,FAU5,4926.4287121151,,Unknown,Unassigned,False
,C05,SYBR,ceh-74,Unkn,FAU5,5019.63136620628,,Unknown,Unassigned,False
,C06,SYBR,ceh-74,Unkn,FAU5,4757.18879897666,,Unknown,Unassigned,False
,C07,SYBR,ceh-74,Unkn,N2 treated,4899.53706845769,,Unknown,Unassigned,False
,C08,SYBR,ceh-74,Unkn,N2 treated,4971.92599156947,,Unknown,Unassigned,False
,C09,SYBR,ceh-74,Unkn,N2 treated,5543.19715463585,,Unknown,Unassigned,False
,C10,SYBR,ceh-74,Unkn,FAU5 treated,5347.40238905361,,Unknown,Unassigned,False
,C11,SYBR,ceh-74,Unkn,FAU5 treated,4633.18738214987,,Unknown,Unassigned,False
,C12,SYBR,ceh-74,Unkn,FAU5 treated,4897.10944257875,,Unknown,Unassigned,False
,D01,SYBR,zip-2,Unkn,N2,4372.96407137762,,Unknown,Unassigned,False
