,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,-26.4712279215955,-36.763669781101,-35.9483263233749,-40.5385238725719,-1.23011791754811,5.67804033779089,-25.6296089515538,-32.2965723563557,-10.7861277286572,-6.76432531680848,13.1717618812543,3.81601446295502,-15.2382106324449,-19.4386876057013,-11.5058833499677,-13.4245838871675,-14.2116515798682,-12.946998684333,-14.2421690914834,-16.8963354171765,3.33009001786604,29.0664120584815,-13.2430427396409,70.1675219328522,-17.0914590742725,-16.6029051770638,-34.2075099944045,-21.52349959921,-18.4644548500485,-13.1325909339305,-19.7735991086629,-24.8678854787945,-9.50568558374698,-15.7327714947244,19.240269912709,-30.4763557814701,-18.630657944399,-29.9385053576004,-30.8051779613531,-26.8299110056025,-19.5079184283668,-18.9234515681421,-18.1402465680178,-20.2044240817152,-11.6438339899291,-18.486373330147,-17.6364276096772,-16.3273754694835,5.37674274226538,-10.6174142139873,-24.530887268797,-17.1611071355546,-11.9075813739137,-9.42462449950767,-9.29924639775345,-9.7933515256168,-5.15271366248612,-7.10570415216898,-9.46143173085034,-10.3607003602112,17.0192369900496,6.78343055269147,-14.6160585776063,-16.0536575976812,-15.3460105668225,-11.314507494154,-18.6334333476818,-29.8919307569822,-20.3408759343174,-9.4377434166081,-4.01166460566924,-12.8898107535219,9.60733910602744,8.88642716882646,11.7861424407452,-0.342209484964997,-0.509449121181376,25.5805857724438,9.11970745685107,26.126414817275,0.306959373955578,36.0029539805746,6.94207215005827,18.0455740664943,5.64083038023364,15.0625083053346,9.7068250171219,14.3087759853659,0.302906246066357,19.7234261617593,8.66386056838724,-10.8491871152501,4.72201866315083,-0.560092913816277,32.0994781694876,18.385621497679
,60.5,-57.3543271634546,-79.6546178590554,-77.8880403673122,-87.83346839057,-2.66525548802224,12.3024207318795,-55.5308193950348,-69.9759067721027,-23.3699434120904,-14.6560381864213,28.538817409385,8.26803133640243,-33.0161230369649,-42.1171564790186,-24.9294139249303,-29.0865984221973,-30.7919117563808,-28.0518304827242,-30.8580330315469,-36.6087267372168,7.21519503870923,62.9772261267105,-28.693259269221,152.029630854512,-37.0314946609235,-35.9729612169729,-74.1162716545437,-46.6342491316223,-40.006318841773,-28.4539470235145,-42.8427980687691,-53.8804185373883,-20.5956520981174,-34.0876715719025,41.6872514775332,-66.0321041931843,-40.3664255461952,-64.8667616081345,-66.7445522495982,-58.1314738454735,-42.2671565947958,-41.0008117309731,-39.3038675640394,-43.7762521770503,-25.2283069781827,-40.0538088819849,-38.2122598209648,-35.3759801838812,11.649609274908,-23.004397463639,-53.1502557490583,-37.1823987937012,-25.7997596434807,-20.4200197489351,-20.1483671951296,-21.2189283055036,-11.1642129353895,-15.3956923296971,-20.4997687501736,-22.4481841137913,36.8750134784393,14.6974328641656,-31.668126918149,-34.7829247949762,-33.2496895614504,-24.5147662373313,-40.3724389199781,-64.7658499734625,-44.0718978576856,-20.4484440693204,-8.69193997894922,-27.9279232992965,20.8159013963925,19.2539255324587,25.5366419549487,-0.741453884090561,-1.10380642922598,55.4246025069629,19.7593661565088,56.6072321040929,0.665078643569359,78.0064002912432,15.0411563251248,39.0987438107381,12.2217991571745,32.6354346615578,21.0314542037636,31.002347968293,0.656296866476509,42.7340900171453,18.7716978981719,-23.5065720830439,10.2310404368266,-1.213534646602,69.5488693672237,39.8355132449705
,61,-52.9424558431888,-73.5273395622066,-71.896652646748,-81.0770477451399,-2.46023583509759,11.3560806755795,-51.2592179031108,-64.59314471271,-21.572255457316,-13.5286506336197,26.3435237625076,7.63202892591039,-30.4764212648906,-38.8773752114016,-23.0117666999356,-26.8491677743359,-28.4233031597362,-25.8939973686686,-28.484338182968,-33.7926708343539,6.66018003573163,58.1328241169654,-26.4860854792828,140.335043865704,-34.1829181485448,-33.205810354129,-68.4150199888095,-43.0469991984203,-36.9289097001001,-26.2651818678594,-39.5471982173269,-49.7357709575874,-19.0113711674912,-31.4655429894485,38.4805398254134,-60.9527115629394,-37.2613158887937,-59.8770107152011,-61.6103559227045,-53.659822011208,-39.0158368567345,-37.8469031362827,-36.2804931360363,-40.408848163431,-23.2876679798608,-36.9727466602919,-35.2728552193503,-32.6547509389673,10.7534854845287,-21.2348284279744,-49.0617745375923,-34.3222142711104,-23.815162747828,-18.8492489990172,-18.5984927955026,-19.5867030512341,-10.3054273249766,-14.2114083043359,-18.9228634616986,-20.7214007204245,34.0384739800959,13.5668611053836,-29.2321171552146,-32.1073151953644,-30.6920211336464,-22.6290149883057,-37.2668666953646,-59.7838615139656,-40.6817518686328,-18.8754868332205,-8.0233292113378,-25.7796215070409,19.2146782120547,17.7728543376561,23.5722848814928,-0.684418969929766,-1.01889824236201,51.1611715448905,18.2394149136985,52.2528296345456,0.613918747910247,72.0059079611458,13.8841443001144,36.091148132989,11.2816607604707,30.125016610667,19.4136500342433,28.6175519707319,0.605812492131747,39.4468523235187,17.3277211367758,-21.6983742305022,9.44403732630144,-1.12018582763261,64.1989563389757,36.7712429953564
,61.5,-52.9424558431911,-73.5273395622021,-71.8966526467375,-81.0770477451142,-2.46023583509282,11.3560806755772,-51.2592179030735,-64.5931447127061,-21.572255457337,-13.5286506336092,26.3435237625263,7.63202892591812,-30.4764212648947,-38.8773752114,-23.0117666999483,-26.8491677743427,-28.4233031597353,-25.8939973686424,-28.4843381829667,-33.7926708343839,6.66018003570434,58.1328241169717,-26.4860854792746,140.335043865736,-34.1829181485703,-33.205810354131,-68.4150199888124,-43.0469991984453,-36.9289097000913,-26.2651818678944,-39.5471982173285,-49.7357709575801,-19.0113711674917,-31.4655429894481,38.4805398254032,-60.9527115629444,-37.2613158888046,-59.8770107152095,-61.6103559226883,-53.6598220111905,-39.0158368567127,-37.8469031362608,-36.2804931360204,-40.4088481634458,-23.2876679798651,-36.9727466603126,-35.2728552193419,-32.6547509389716,10.7534854845278,-21.2348284279815,-49.0617745375891,-34.3222142711395,-23.8151627478057,-18.8492489990372,-18.5984927954792,-19.5867030512286,-10.3054273249809,-14.2114083043291,-18.9228634617,-20.7214007204241,34.0384739801009,13.5668611053891,-29.2321171552228,-32.107315195364,-30.6920211336469,-22.6290149883098,-37.2668666953487,-59.7838615139592,-40.6817518686453,-18.8754868332142,-8.02332921134985,-25.7796215070498,19.214678212064,17.7728543376656,23.5722848814842,-0.684418969947274,-1.01889824235985,51.1611715448992,18.2394149137219,52.2528296345563,0.613918747895468,72.0059079611485,13.8841443001025,36.0911481329769,11.2816607604545,30.1250166106772,19.4136500342429,28.6175519707335,0.605812492136749,39.4468523235169,17.3277211367788,-21.6983742304947,9.44403732630099,-1.12018582763523,64.1989563389802,36.7712429953527
,62,-52.9424558431897,-73.5273395622323,-71.8966526468171,-81.0770477453304,-2.46023583512238,11.3560806755936,-51.2592179033447,-64.5931447127537,-21.5722554571591,-13.5286506336845,26.3435237623858,7.63202892585531,-30.4764212648684,-38.8773752114275,-23.0117666998465,-26.8491677742991,-28.4233031597362,-25.8939973688368,-28.4843381829753,-33.792670834152,6.66018003592262,58.1328241169167,-26.4860854793421,140.335043865468,-34.1829181483665,-33.2058103540915,-68.4150199887888,-43.046999198247,-36.9289097001479,-26.2651818676309,-39.5471982173053,-49.7357709576359,-19.0113711675069,-31.4655429894499,38.4805398254975,-60.9527115629044,-37.2613158887298,-59.8770107151422,-61.610355922815,-53.6598220113117,-39.0158368568873,-37.8469031364587,-36.2804931361459,-40.4088481633275,-23.2876679798303,-36.9727466601446,-35.2728552194151,-32.6547509389432,10.7534854845308,-21.2348284279274,-49.061774537623,-34.3222142708964,-23.8151627479967,-18.8492489988666,-18.5984927956772,-19.5867030512768,-10.3054273249356,-14.2114083043946,-18.9228634617057,-20.7214007204284,34.0384739800743,13.5668611053452,-29.2321171551405,-32.1073151953638,-30.6920211336324,-22.6290149882855,-37.2668666954553,-59.7838615139895,-40.6817518685618,-18.8754868332485,-8.02332921124707,-25.779621507,19.2146782119894,17.7728543375749,23.5722848815599,-0.684418969800845,-1.01889824238185,51.1611715448112,18.2394149135471,52.2528296344856,0.613918748005517,72.0059079611415,13.8841443002001,36.0911481330814,11.2816607605639,30.1250166106017,19.4136500342465,28.6175519707208,0.605812492099801,39.4468523235314,17.3277211367576,-21.6983742305479,9.44403732630303,-1.12018582761476,64.1989563389574,36.7712429953913
,62.5,-54.7879212761218,-76.448506282055,-74.9975294328408,-83.2111573498073,-4.20256389475617,9.46888045306787,-54.3140409041737,-67.7110019371992,-24.6084896900427,-16.2064468905314,23.573280808683,7.64946672728138,-33.2125720946019,-42.5091671513853,-25.8437151448923,-28.570271745881,-30.571433567487,-28.0690428300043,-31.2993075192246,-36.8755775235315,3.53962772607656,55.7617392109785,-29.5646155309469,135.303648050505,-37.0017573851842,-36.8611971499631,-71.3073245247142,-44.5533299023039,-38.9515572889907,-28.5781471840007,-42.1143940256272,-52.3512091456812,-22.2401745669715,-34.509210127733,36.0470687849988,-64.0932662436169,-39.8316814879918,-62.2741849924992,-63.892954986004,-55.6771001887932,-40.634423304936,-40.3107508681658,-38.3365548125389,-42.9565636525672,-26.2167699137904,-39.2873558995798,-37.8331853641882,-35.6345035335862,8.46075685049004,-23.7004552153521,-51.4974308648107,-36.2784235929457,-25.9795758452099,-21.2122343410797,-20.7193717873208,-21.4255643574847,-12.371099884683,-15.9708155850496,-21.1419051022135,-22.5024552482666,32.2051848300871,11.1182672577829,-31.4224795691723,-34.0737560317016,-32.8313134221276,-24.8120242223965,-39.2954945996848,-61.7840595787225,-42.9247837819112,-21.0292009797429,-11.0414350968208,-28.3238856125695,15.9577457289547,14.8958661906668,20.7587344203114,-4.16168246413349,-1.19024162911967,47.8537595768264,14.7469694241984,49.4529704824952,-2.36590108388759,70.1694019716701,11.867695532115,35.0861015699534,8.5162714777282,26.3422401323148,18.0073820363809,25.6282102261148,0.196786896751121,36.3740369834491,13.9061702429919,-24.63546081561,9.02463659288765,-1.23930610602054,62.7792341861988,35.5592578708053
,63,-43.5697630704033,-58.618022556394,-56.053794885888,-70.4199085733117,6.52851919528734,21.2361718314153,-35.5377861010843,-48.5258117677929,-5.91811838099034,0.272353921306149,40.855679992502,7.59505440823051,-16.5467626742525,-20.3060084648962,-8.78079136683959,-18.1116142296523,-17.4427080959313,-14.9046993443421,-14.0639287146557,-17.9970787048937,22.9179489323894,70.4957550533031,-10.742099415595,167.787473434552,-19.7886002486935,-14.6697877912152,-53.7076590535999,-35.3272037957943,-26.456120464986,-14.5433759342463,-26.5115840185399,-36.3898119446401,-2.28203260719897,-15.7147005350473,51.1078847088836,-45.1161051985785,-24.2057590148054,-47.8348874627247,-50.034792826327,-43.3641611538369,-30.8336727003173,-25.1025576519644,-25.755100245837,-27.4030624164286,-8.16968174182989,-25.1630254399054,-22.2073626884087,-17.5247746613063,22.5115002540565,-8.6899069797721,-36.916170158157,-24.5670760769237,-12.9220427915511,-6.93685037220803,-8.01661696900578,-10.3170150623334,-0.00699342240682199,-5.4980136144859,-7.81920092663745,-11.7845249236952,43.3619819458918,26.0263232516713,-18.2870941048252,-22.1847389772702,-19.8001656795834,-11.5502728042684,-27.2931669905081,-49.882442235335,-29.5528539160991,-8.06360585585776,7.40587778129566,-12.8817280166272,35.4718479693499,32.0739135165925,37.5643361452501,17.1321174522429,-0.118624853810786,68.3035590360787,36.1809329812636,66.4692984094972,16.0636922066826,81.4413306947165,24.105170927279,41.2572038090731,24.9570800804336,48.945114948755,26.7004241018503,43.8947593932066,2.74319140068411,55.2753394655213,35.0688543010538,-6.93431067565689,11.5178898520577,-0.523588911067634,71.617093597765,43.0483119043199
,63.5,-20.2795244914296,-22.3208598607011,-17.4554251244331,-42.6546779895189,27.5668023665,43.1834029375443,1.72070913016341,-10.5899094082981,31.029866820287,32.9118203479013,73.5429465378454,7.04246178257387,17.6924066831859,24.860199839399,27.7948972735901,3.41404427323823,9.07745810804818,12.8599129313395,20.6697877302204,19.9821392456799,60.0756107322186,98.7452794558324,27.4135214576665,220.679721240596,15.22738794765,31.7491705222501,-17.5880135188065,-16.8900330534532,-2.37918508224107,14.75334787828,5.79135329486303,-3.99385622556338,36.459648487488,20.870727122789,80.3149271785385,-4.87018774010198,8.20934765102538,-17.006264953882,-21.3554605485451,-18.4081060586152,-10.2450260375097,4.54271434961129,-0.467740203097947,4.12278254018452,27.3339733390344,3.56628982808502,9.60274935423627,20.223739590539,50.6430011227071,22.2633291741229,-4.90682382918453,1.12879926994879,14.8911381059777,23.511496774863,19.8764007921941,13.2515141438521,27.2519763275507,18.1004822245006,21.1673183113182,11.2212655700457,66.5002748274412,56.8996135640998,10.1539317845056,3.00556881429952,7.07391851285729,16.1101199857326,0.191439204054404,-23.3054606022629,0.316910983219259,19.9022446170738,45.076295096321,19.414796927417,77.5844450918835,69.3886841056672,73.9014255215154,60.157262617754,1.79779125713287,108.340765538142,79.3212073991212,101.914685476251,51.9063198240428,103.990871522914,49.7138759650844,53.6272577165879,61.3674760112917,98.3895420421177,43.4942517622932,80.9723195247309,7.50896017800363,92.8555710255648,76.2975588101478,30.6881447336561,17.14420009099,1.08009720121385,88.3882398846737,57.6644579159735
,64,-1.04299098068395,8.18396118817896,13.6887311810156,-16.4554371736203,44.7030361529935,59.7010932527091,31.3790212719887,19.167016656136,59.8083557125515,58.2032421831291,94.7928825820575,6.40177068230247,46.5741642019209,60.8940780869486,59.8995126459658,22.5847097492181,31.5977391587837,36.427196968752,48.632552425672,51.0440800226611,85.9836707522672,118.017237222479,58.6650839601748,244.433419799824,44.2647143782215,69.9666937141797,13.7434798880938,-1.52067552452718,17.4317988987182,39.6180227478542,33.1469758918745,23.6647575041786,66.0701583730076,49.2494593917895,101.934677399402,29.9836848408377,35.3252698632859,10.9719986481512,3.67946899352842,2.93983525677982,7.2069403112489,27.5194244186291,20.5936852719956,31.1109874692647,54.8620101055119,27.7317897485711,36.3226539559651,50.9272224738756,74.1291967634534,47.9204602906436,23.6520355450073,24.0060352900923,39.3271920321756,48.5408924019262,44.4698235012227,33.4389710111197,50.8668256923384,38.8442489021058,46.6841241458874,31.9204869718619,85.3511542270687,81.6278026675798,36.9608683729007,24.3454617698476,28.7961630058524,38.4960511827639,26.2136646126944,1.95254637755875,27.1110026244198,43.7763224646337,74.3693570843263,46.099467844595,118.915251288863,107.687558145027,111.707062327956,94.3253533543229,3.65924539820696,136.481833195503,111.669859506582,130.892043333311,78.2879054755306,121.707865308561,70.9658566099976,63.1495832217677,98.5720729538104,146.292786888164,56.8822698529564,111.660786617856,11.2406256775514,121.625208750453,106.456555414337,65.856776154829,22.2800191370371,2.09223174366718,100.139736433778,68.4691651371725
,64.5,17.1994407391935,36.7020308585936,41.8935206561039,10.0507696856048,61.0390038130085,75.6856610166917,58.9277706238279,46.6133862474558,84.6149261328662,80.0318330138318,109.674193629909,5.4436731906975,73.0978272025686,92.0042204937342,89.8316218643215,43.0670510685925,53.7486847062346,59.1314402535982,76.0831473084575,80.5543186743741,108.633575635819,133.106574525215,86.5740273281392,256.875180106396,71.7796681298937,102.780053234893,47.1570727271476,16.6755756260293,39.0944718270771,62.3988649576675,60.7402860688592,53.0171655533627,93.6366434543081,76.5778109056855,119.359931074574,62.1662298666115,59.5808080948109,39.4262185710388,31.7872918459916,26.1853961393469,26.5378559869969,50.4194244950709,43.6887232609129,59.0133286506152,80.8331051570347,53.2594671771571,62.4564174395136,77.0576040054436,95.0520570521792,72.0202290091941,52.7041840851848,48.2149316914595,63.339381427561,73.141268964529,68.3653627693354,54.6226504172951,74.7553977913585,58.9404483706276,70.2177229084696,52.6268041040689,100.282097044299,103.138777191674,64.7100618234326,45.2670802489417,49.3110452045146,60.2059261796148,51.4311808897533,28.8352911778657,53.4009974304183,66.6555290490312,99.2014982975111,70.4980964270521,165.709427050143,155.110808057445,160.735002624694,123.50848782575,5.43134305255484,158.490304099551,138.156568596772,156.133576602605,101.225743022713,137.842800649093,89.3619650366879,70.6280377928098,142.447708110378,199.04496732844,69.4226682042075,139.518205426784,14.8820028098913,145.16881053713,129.669494552514,99.4111690175096,27.1686959064799,3.01314557194945,109.027569426808,78.071498750607
