,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
A,Cq,23.3774392081492,23.2276174929201,23.169099129947,21.2838512821661,21.3853462431606,21.3287506437484,23.3650758622225,23.4203765298271,23.3678018209873,23.2223926868034,23.338154029319,NaN
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
B,Cq,29.377940788623,29.6386928964526,29.2863890453309,24.1804374196604,24.1867077021906,24.1440341245737,28.6394623570929,28.439051714067,28.3284783546109,27.8692707317288,27.6654370757016,28.0282181764527
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
C,Cq,25.8616671946628,25.6026912033915,25.5572882340416,20.8273843060682,20.772185463012,20.8431209523932,28.1261206194509,27.9406398894526,27.9404450473419,27.6439712116998,27.8957161551274,27.8971988793366
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
D,Cq,24.5515224264994,24.3838105087858,24.4115929630405,23.3466577864216,23.4182724625448,23.4204987346148,24.6674891532136,24.6053784691089,24.5569476592467,22.9539266301832,23.049830455867,23.0616387232463
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
E,Cq,30.5759810570475,30.591641227509,30.5741623207782,23.3876058056069,23.393388227493,23.5756077330458,28.3448303758085,28.3876659497079,28.3655464236317,27.9716068557437,28.1728150131518,28.4310250664548
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,N2,N2,N2,FAU5,FAU5,FAU5,N2 treated,N2 treated,N2 treated,FAU5 treated,FAU5 treated,FAU5 treated
F,Cq,29.8697031408815,29.3918621607536,29.5974239605302,36.0691964093278,37.1439787533309,36.3974815905693,33.4582671347376,33.2520787281903,33.6677828642188,32.8228948946904,33.0789202916094,33.3012796299396
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT
G,Sample,N2,N2,N2,N2,N2,N2,N2 treated,N2 treated,N2 treated,N2 treated,N2 treated,N2 treated
G,Cq,39.4356163248216,38.9660549440443,37.2127016995689,37.519952178396,NaN,32.3026328308882,33.0441318153652,38.1512276335594,33.385383802477,39.5855646086776,39.4475813448734,NaN
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT
H,Sample,FAU5,FAU5,FAU5,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated
H,Cq,38.4949283968625,38.1750051467436,NaN,39.6533225373536,NaN,32.2106192152746,33.7873620998494,37.2271822731608,NaN,NaN,NaN,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
