,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A02,SYBR,tba-1,NRT,N2,2670.55397180737,,NRT,Unassigned,False
,A03,SYBR,tba-1,Unkn,N2,2508.92961589341,,Unknown,Unassigned,False
,A04,SYBR,tba-1,Unkn,N2,2593.87950030004,,Unknown,Unassigned,False
,A05,SYBR,tba-1,Unkn,N2,2729.5484418346,,Unknown,Unassigned,False
,A06,SYBR,tba-1,Unkn,FAU5,2955.18039528363,,Unknown,Unassigned,False
,A07,SYBR,tba-1,Unkn,FAU5,2969.8762302828,,Unknown,Unassigned,False
,A08,SYBR,tba-1,Unkn,FAU5,3101.80770975389,,Unknown,Unassigned,False
,A09,SYBR,tba-1,NRT,N2,2506.62326985281,,NRT,Unassigned,False
,B02,SYBR,oac-7,NRT,N2,1420.40221745498,,NRT,Unassigned,False
,B03,SYBR,oac-7,Unkn,N2,3323.52118781572,,Unknown,Unassigned,False
,B04,SYBR,oac-7,Unkn,N2,3306.0246871843,,Unknown,Unassigned,False
,B05,SYBR,oac-7,Unkn,N2,3380.29732313746,,Unknown,Unassigned,False
,B06,SYBR,oac-7,Unkn,FAU5,3247.06006032426,,Unknown,Unassigned,False
,B07,SYBR,oac-7,Unkn,FAU5,3210.95368861058,,Unknown,Unassigned,False
,B08,SYBR,oac-7,Unkn,FAU5,3516.1011226103,,Unknown,Unassigned,False
,B09,SYBR,oac-7,NRT,N2,942.714701616265,,NRT,Unassigned,False
,C02,SYBR,ceh-74,NRT,N2,3025.60602168019,,NRT,Unassigned,False
,C03,SYBR,ceh-74,Unkn,N2,3551.87954328326,,Unknown,Unassigned,False
,C04,SYBR,ceh-74,Unkn,N2,3572.06867145414,,Unknown,Unassigned,False
,C05,SYBR,ceh-74,Unkn,N2,3611.74013410649,,Unknown,Unassigned,False
,C06,SYBR,ceh-74,Unkn,FAU5,3670.06590823253,,Unknown,Unassigned,False
,C07,SYBR,ceh-74,Unkn,FAU5,3766.06048412086,,Unknown,Unassigned,False
,C08,SYBR,ceh-74,Unkn,FAU5,3968.53895402041,,Unknown,Unassigned,False
,C09,SYBR,ceh-74,NRT,N2,3621.86313983082,,NRT,Unassigned,False
,D02,SYBR,zip-2,NRT,N2,51.4068852650552,,NRT,Unassigned,False
,D03,SYBR,zip-2,Unkn,N2,1713.02880879918,,Unknown,Unassigned,False
,D04,SYBR,zip-2,Unkn,N2,1810.80392317569,,Unknown,Unassigned,False
,D05,SYBR,zip-2,Unkn,N2,1784.48217243264,,Unknown,Unassigned,False
,D06,SYBR,zip-2,Unkn,FAU5,2131.49405465339,,Unknown,Unassigned,False
,D07,SYBR,zip-2,Unkn,FAU5,2226.26258883998,,Unknown,Unassigned,False
,D08,SYBR,zip-2,Unkn,FAU5,2309.28607453788,,Unknown,Unassigned,False
,D09,SYBR,zip-2,NRT,N2,32.8731837657632,,NRT,Unassigned,False
,E02,SYBR,pals-24,NRT,N2,2157.68710356185,,NRT,Unassigned,False
,E03,SYBR,pals-24,Unkn,N2,3086.51900006528,,Unknown,Unassigned,False
,E04,SYBR,pals-24,Unkn,N2,3142.83067703029,,Unknown,Unassigned,False
,E05,SYBR,pals-24,Unkn,N2,3120.0110951945,,Unknown,Unassigned,False
,E06,SYBR,pals-24,Unkn,FAU5,2796.32646495502,,Unknown,Unassigned,False
,E07,SYBR,pals-24,Unkn,FAU5,2820.16682196331,,Unknown,Unassigned,False
,E08,SYBR,pals-24,Unkn,FAU5,3043.6649086442,,Unknown,Unassigned,False
,E09,SYBR,pals-24,NRT,N2,2480.78918847391,,NRT,Unassigned,False
,F02,SYBR,t22f3.11,NRT,N2,8.43773917455692,,NRT,Unassigned,False
,F03,SYBR,t22f3.11,Unkn,N2,2503.50340266941,,Unknown,Unassigned,False
,F04,SYBR,t22f3.11,Unkn,N2,2836.29696608112,,Unknown,Unassigned,False
,F05,SYBR,t22f3.11,Unkn,N2,2780.4338742042,,Unknown,Unassigned,False
,F06,SYBR,t22f3.11,Unkn,FAU5,1550.52553341274,,Unknown,Unassigned,False
,F07,SYBR,t22f3.11,Unkn,FAU5,1706.57333762176,,Unknown,Unassigned,False
,F08,SYBR,t22f3.11,Unkn,FAU5,1686.23439678292,,Unknown,Unassigned,False
,F09,SYBR,t22f3.11,NRT,N2,-1.08078824358017,,NRT,Unassigned,False
