,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-SYBR,ceh-74,FAU5,,1,0,0.0401122596726966,0.0401122596726966,NaN,0.0231588239198356,0.0231588239198356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,20.4528532208377,0.0578697581086498,0.0334111204219675,NaN
,1-SYBR,ceh-74,N2,,0.00277211350578279,-8.49479795399887,0.00898287254591108,0.00898287254591108,NaN,0.00401726272917476,0.00401726272917476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,28.9476511748366,4.67496935024096,2.09070985197336,NaN
,1-SYBR,oac-7,FAU5,,1,0,0.0600635549456395,0.0600635549456395,NaN,0.0346777096163508,0.0346777096163508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,23.4423273148491,0.0866533928582359,0.0500293596928969,NaN
,1-SYBR,oac-7,N2,,0.00202200168187901,-8.95000008740262,0.00683608653934252,0.00683608653934252,NaN,0.00305719084040823,0.00305719084040823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,32.3923274022517,4.87753706526709,2.18130088814241,NaN
,1-SYBR,pals-24,FAU5,,1,0,0.0515097513730105,0.0515097513730105,NaN,0.0297391688210983,0.0297391688210983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,22.1151532226553,0.0743128628632657,0.0429045513783582,NaN
,1-SYBR,pals-24,N2,,0.00737964718073177,-7.08223244165233,0.0263538653419872,0.0263538653419872,NaN,0.0117858068749118,0.0117858068749118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,29.1973856643076,5.15208788523278,2.30408374748673,NaN
,1-SYBR,t22f3.11,FAU5,,0.00950588296533851,-6.71696364510527,0.002323885526008,0.002323885526008,NaN,0.00134169593400659,0.00134169593400659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,36.1714655915146,0.352692972992646,0.203627382898593,NaN
,1-SYBR,t22f3.11,N2,,1,0,0.0839783917197018,0.0839783917197018,NaN,0.0484849470654817,0.0484849470654817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,29.4545019464093,0.121155209275845,0.0699489926891343,NaN
,1-SYBR,tba-1,FAU5,,1,0,0.0256375226921738,0.0256375226921738,NaN,0.0148018306276817,0.0148018306276817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,21.449186299515,0.0369871268486774,0.0213545276426347,NaN
,1-SYBR,tba-1,N2,,0.0434532912320674,-4.5243907362251,0.12015220125413,0.12015220125413,NaN,0.0537336979300942,0.0537336979300942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,25.9735770357401,3.98917964523028,1.78401537223868,NaN
,1-SYBR,zip-2,FAU5,,1,0,0.0454817730128882,0.0454817730128882,NaN,0.0262589138922124,0.0262589138922124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,23.1591730004597,0.0656163283765312,0.0378836048514252,NaN
,1-SYBR,zip-2,N2,,0.409703721210243,-1.28734709846362,0.0166198930977324,0.0166198930977324,NaN,0.00959549975387863,0.00959549975387863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,24.4465200989233,0.0585238456740769,0.0337887580539404,NaN
