,Temperature,A2,A3,A4,A5,A6,A7,A8,A9,B2,B3,B4,B5,B6,B7,B8,B9,C2,C3,C4,C5,C6,C7,C8,C9,D2,D3,D4,D5,D6,D7,D8,D9,E2,E3,E4,E5,E6,E7,E8,E9,F2,F3,F4,F5,F6,F7,F8,F9
,60,6155.61349467238,5411.64330706466,5523.0364012144,5723.26790254386,5941.6204171045,5953.65107382493,6117.7628455669,7312.01961203628,6091.66144214914,6619.32402517459,6610.64811238523,6651.54480629703,6454.03383775993,6469.18612841326,6753.09121057386,6184.71365193591,7428.02776629119,6778.61627867825,6813.88034576243,6840.70299399999,6940.93492390714,7070.55319936075,7304.21470325262,8090.33031768767,2762.92717512788,4491.92270172606,4617.26067371246,4566.85693958458,5020.13472517226,5122.06765245133,5224.57388443405,2661.33274982687,6036.83933435069,6252.71925860639,6308.8894628024,6260.86670640932,5883.50159099534,5918.80319664744,6202.65486429112,6852.31462703473,2674.46510032047,5605.65347302332,5990.27339173805,5922.95221843158,5657.21352827719,5533.36319700227,5765.93603382233,2385.57379669062
,60.5,6161.25627457738,5416.84078327687,5525.9055238834,5714.6777180209,5944.63588365596,5956.1619508165,6118.31544909611,7343.79430590418,6083.24525983553,6614.31187430611,6608.69677475125,6644.25550094941,6445.56652308269,6462.5649020916,6746.87101988383,6162.09814487173,7411.93084293591,6779.81841716036,6810.12140605325,6834.92321793236,6931.92259527002,7061.44839484492,7293.91313551522,8063.41430661454,2758.99712419852,4490.89357818308,4615.91428837377,4562.54632044503,5014.57412014463,5117.40646519012,5218.90931649659,2658.23157159102,6022.3949078007,6245.29417971506,6302.55958477995,6253.07468823608,5875.36097431927,5910.0442298347,6192.82194698177,6831.7939538046,2674.26479449365,5597.36361619996,5978.41281238711,5912.60490097887,5649.67732491614,5527.26029510163,5759.25704506753,2385.88473998877
,61,6166.89905448238,5422.03825948907,5528.77464655241,5706.08753349794,5947.65135020741,5958.67282780808,6118.86805262532,7375.56899977208,6074.82907752192,6609.29972343764,6606.74543711728,6636.96619560179,6437.09920840544,6455.94367576993,6740.65082919379,6139.48263780755,7395.83391958062,6781.02055564247,6806.36246634406,6829.14344186472,6922.91026663291,7052.34359032908,7283.61156777783,8036.4982955414,2755.06707326917,4489.86445464009,4614.56790303508,4558.23570130549,5009.013515117,5112.74527792891,5213.24474855913,2655.13039335517,6007.95048125071,6237.86910082374,6296.22970675751,6245.28267006285,5867.22035764321,5901.28526302195,6182.98902967242,6811.27328057447,2674.06448866682,5589.0737593766,5966.55223303616,5902.25758352617,5642.14112155509,5521.15739320099,5752.57805631273,2386.19568328692
,61.5,6172.54183438738,5427.23573570127,5531.64376922142,5697.49734897498,5950.66681675887,5961.18370479966,6119.42065615453,7407.34369363998,6066.41289520831,6604.28757256916,6604.7940994833,6629.67689025417,6428.6318937282,6449.32244944827,6734.43063850376,6116.86713074338,7379.73699622533,6782.22269412458,6802.60352663488,6823.36366579709,6913.89793799579,7043.23878581324,7273.31000004043,8009.58228446826,2751.13702233981,4488.83533109711,4613.2215176964,4553.92508216595,5003.45291008937,5108.08409066771,5207.58018062168,2652.02921511932,5993.50605470072,6230.44402193242,6289.89982873506,6237.49065188961,5859.07974096714,5892.52629620921,6173.15611236307,6790.75260734434,2673.86418284,5580.78390255324,5954.69165368522,5891.91026607346,5634.60491819405,5515.05449130035,5745.89906755793,2386.50662658507
,62,6178.18461429238,5432.43321191347,5534.51289189042,5688.90716445202,5953.68228331032,5963.69458179123,6119.97325968374,7439.11838750787,6057.99671289469,6599.27542170069,6602.84276184933,6622.38758490655,6420.16457905096,6442.70122312661,6728.21044781373,6094.2516236792,7363.64007287004,6783.42483260669,6798.8445869257,6817.58388972945,6904.88560935868,7034.13398129741,7263.00843230304,7982.66627339513,2747.20697141046,4487.80620755413,4611.87513235771,4549.61446302641,4997.89230506174,5103.4229034065,5201.91561268422,2648.92803688347,5979.06162815073,6223.01894304109,6283.56995071261,6229.69863371637,5850.93912429108,5883.76732939647,6163.32319505371,6770.23193411422,2673.66387701318,5572.49404572988,5942.83107433428,5881.56294862075,5627.068714833,5508.95158939971,5739.22007880313,2386.81756988323
,62.5,6183.82739419743,5437.6306881257,5537.38201455942,5680.31697992899,5956.69774986172,5966.20545878279,6120.52586321289,7470.89308137577,6049.58053058104,6594.26327083214,6600.89142421535,6615.09827955896,6411.69726437379,6436.07999680502,6721.99025712369,6071.63611661501,7347.54314951475,6784.62697108877,6795.08564721651,6811.80411366175,6895.87328072153,7025.02917678161,7252.70686456556,7955.75026232197,2743.2769204811,4486.77708401114,4610.52874701912,4545.30384388695,4992.33170003411,5098.76171614525,5196.25104474677,2645.8268586476,5964.61720160079,6215.59386414979,6277.24007269021,6221.90661554315,5842.79850761502,5875.00836258378,6153.49027774443,6749.71126088407,2673.46357118632,5564.20418890653,5930.97049498339,5871.21563116804,5619.53251147196,5502.84868749913,5732.54109004826,2387.12851318137
,63,6189.47017410243,5442.8281643379,5540.25113722843,5671.72679540603,5959.71321641318,5968.71633577436,6121.0784667421,7502.66777524366,6041.16434826743,6589.25111996367,6598.94008658137,6607.80897421134,6403.22994969655,6429.45877048336,6715.77006643365,6049.02060955083,7331.44622615946,6785.82910957088,6791.32670750733,6806.02433759412,6886.86095208442,7015.92437226577,7242.40529682816,7928.83425124884,2739.34686955174,4485.74796046816,4609.18236168044,4540.99322474741,4986.77109500648,5094.10052888404,5190.58647680931,2642.72568041175,5950.1727750508,6208.16878525847,6270.91019466776,6214.11459736992,5834.65789093895,5866.24939577103,6143.65736043508,6729.19058765394,2673.2632653595,5555.91433208317,5919.10991563245,5860.86831371533,5611.99630811092,5496.74578559849,5725.86210129346,2387.43945647952
,63.5,6191.79248712666,5445.69090934841,5540.60161031831,5659.46489601765,5960.2201495387,5969.31704019753,6119.62776233852,7525.53671806728,6030.36754321619,6581.22722174298,6594.19141273869,6598.31481676612,6392.59023691464,6420.46464946878,6706.98113634152,6020.16153359874,7311.76372084202,6784.64808247266,6784.80417316343,6797.98771430669,6875.73137720685,7004.60399462282,7229.56743320649,7897.68274172949,2734.93443437068,4484.01768437598,4607.02373939955,4535.78932268402,4979.91608306198,5088.41560540085,5183.60393269757,2639.26176091586,5937.56887467008,6198.94244072819,6262.68241611654,6203.88179157785,5824.69503364666,5855.55153345722,6131.61797669538,6705.15207118509,2673.15926272885,5546.07514711811,5905.70554322938,5848.75837464453,5600.61654715031,5486.52605452636,5714.62445136398,2387.82339535874
,64,6191.43429878584,5446.09836592129,5539.16937651334,5643.95181908905,5958.98781582939,5967.73163521228,6116.45275972824,7536.55264581162,6015.78380934171,6571.28887945893,6587.20586600563,6587.39908311471,6380.63359516209,6410.00667503683,6696.37568461427,5987.34888246209,7290.81613637582,6782.12323483276,6776.79721839598,6788.49978611353,6862.90204446545,6991.85377612043,7215.35539131055,7866.2003486477,2730.44230175652,4481.80816431967,4604.33713561445,4529.92089589417,4972.1106757049,5081.45757127468,5175.45612617319,2635.4596416446,5928.71625478272,6188.62166183046,6253.13766332913,6191.96191541023,5813.48577502452,5843.25806977156,6118.04964338227,6678.43179552395,2672.87653153962,5535.22832401509,5891.12317615163,5835.52826195358,5587.04742177629,5474.01638260593,5700.27314139689,2388.10746364807
,64.5,6188.5623884851,5444.66430043821,5536.31882026281,5626.34644580724,5956.22880544069,5964.83416194539,6111.9407594304,7531.17419507533,5994.20931674688,6559.70733177405,6577.93747209553,6574.96634154327,6367.71914508535,6398.36575960109,6684.077528858,5951.9302526052,7270.50915002162,6778.09597084893,6767.36258833449,6777.74176878653,6849.1806579962,6977.90645504562,7199.79563470524,7836.48772287221,2726.13246761134,4479.12657519971,4600.99821466503,4523.81821007396,4963.72267177728,5073.58768877999,5166.19442347872,2631.42750792852,5923.33497845775,6177.57927873673,6242.89125386386,6178.85338433057,5800.99735073758,5829.85222842213,6103.39247650422,6649.64144067099,2672.62169628048,5523.51780136647,5875.37935884782,5821.19676937318,5571.44197125451,5459.7014349105,5683.83523730942,2388.66733226235
