,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,tba-1,Unkn,N2,79,1135.26112191043,62.5,83.5,
,A02,SYBR,tba-1,Unkn,N2,79.5,1292.97440206681,62.5,83.5,
,A03,SYBR,tba-1,Unkn,N2,79.5,1234.36676676447,62.5,83.5,
,A04,SYBR,tba-1,Unkn,N2 treated,79.5,1257.28377701314,63.5,83.5,
,A05,SYBR,tba-1,Unkn,N2 treated,79.5,1246.32918800361,67,83.5,
,A06,SYBR,tba-1,Unkn,N2 treated,79.5,1247.52934682264,67.5,83.5,
,A07,SYBR,tba-1,Unkn,FAU5,79.5,1128.00483984987,63.5,90.5,
,A08,SYBR,tba-1,Unkn,FAU5,79.5,1228.61104533673,64,93,
,A09,SYBR,tba-1,Unkn,FAU5,79.5,1222.54420140191,63.5,83.5,
,A10,SYBR,tba-1,Unkn,FAU5 treated,79,1324.75783361026,67.5,83,
,A11,SYBR,tba-1,Unkn,FAU5 treated,79.5,1040.75754717428,67,83.5,
,A12,SYBR,tba-1,Unkn,FAU5 treated,None,None,None,None,
,B01,SYBR,oac-7,Unkn,N2,87.5,565.61090955424,83.5,95,
,B02,SYBR,oac-7,Unkn,N2,87.5,525.045373587962,84,95,
,B02,SYBR,oac-7,Unkn,N2,80.5,522.923116473101,63.5,84,
,B03,SYBR,oac-7,Unkn,N2,87.5,610.194342756839,84,95,
,B03,SYBR,oac-7,Unkn,N2,81,568.939390404003,63,84,
,B04,SYBR,oac-7,Unkn,N2 treated,88,611.380533361017,84,95,
,B04,SYBR,oac-7,Unkn,N2 treated,81,568.214466175894,63.5,84,
,B05,SYBR,oac-7,Unkn,N2 treated,81,591.123904457563,63.5,84.5,
,B05,SYBR,oac-7,Unkn,N2 treated,87.5,506.631097464191,84.5,95,
,B06,SYBR,oac-7,Unkn,N2 treated,81,601.735800440399,74.5,84,
,B06,SYBR,oac-7,Unkn,N2 treated,87.5,531.121923329751,84,95,
,B07,SYBR,oac-7,Unkn,FAU5,81,527.851191295631,63.5,84.5,
,B08,SYBR,oac-7,Unkn,FAU5,87,500.783486362735,84.5,95,
,B08,SYBR,oac-7,Unkn,FAU5,81,763.798975756381,74.5,84.5,
,B09,SYBR,oac-7,Unkn,FAU5,81,701.077265486934,65.5,84.5,
,B09,SYBR,oac-7,Unkn,FAU5,87.5,506.432813534913,84.5,95,
,B10,SYBR,oac-7,Unkn,FAU5 treated,81,742.974958698411,73.5,84.5,
,B10,SYBR,oac-7,Unkn,FAU5 treated,87,500.5743832695,84.5,95,
,B11,SYBR,oac-7,Unkn,FAU5 treated,87,506.305274767616,84,95,
,B11,SYBR,oac-7,Unkn,FAU5 treated,80.5,480.079384046951,63.5,84,
,B12,SYBR,oac-7,Unkn,FAU5 treated,87.5,505.650733520424,84,95,
,C01,SYBR,fbxa-79,Unkn,N2,77.5,1204.57659726767,62.5,81,
,C02,SYBR,fbxa-79,Unkn,N2,77,1070.08746186243,62.5,80.5,
,C03,SYBR,fbxa-79,Unkn,N2,77.5,1172.10251965668,62.5,81,
,C04,SYBR,fbxa-79,Unkn,N2 treated,77.5,1179.82743176996,67,81,
,C05,SYBR,fbxa-79,Unkn,N2 treated,77.5,1109.86815602626,62.5,81,
,C06,SYBR,fbxa-79,Unkn,N2 treated,77.5,1146.16793603361,62.5,81,
,C07,SYBR,fbxa-79,Unkn,FAU5,77.5,1192.2666315717,72.5,81,
,C08,SYBR,fbxa-79,Unkn,FAU5,77.5,1188.78315048705,73,81,
,C09,SYBR,fbxa-79,Unkn,FAU5,77,1211.48862270129,64.5,81,
,C10,SYBR,fbxa-79,Unkn,FAU5 treated,77.5,1325.74012661785,73,81,
,C11,SYBR,fbxa-79,Unkn,FAU5 treated,77.5,1204.21595173864,64,81,
,C12,SYBR,fbxa-79,Unkn,FAU5 treated,77,1074.74012121727,63,81,
,D01,SYBR,ugt-31,Unkn,N2,77,780.757784513031,62.5,83,
,D02,SYBR,ugt-31,Unkn,N2,77.5,920.375088926394,62.5,84,
