,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,8707.36091502024,9705.11484913026,9145.26250636391,8851.6418073576,8953.62133904983,8898.56960963051,8117.38367464123,8724.17950528852,8997.25401115232,8888.25099995665,8090.31568483412,2407.73416367157,9736.32390796145,9818.07686827492,10801.9791195135,10534.8795704202,9667.0816059664,10002.6743541199,9153.58218737943,10879.1962871894,10397.1815060175,10836.2456413164,9698.14594762882,9508.00430967439,9006.83671805788,8859.95316613985,8756.02879155031,8913.32040799563,8763.66087916346,8378.31870888132,8908.167419866,8771.9059373428,9046.65081025587,9161.00175601382,8962.75209903238,8251.85708168247,6469.54295092963,7168.04502984537,7220.95867579874,8017.87214355456,7497.32868668289,7614.27988317931,7524.42171123213,7717.79912881856,7550.58022857146,7189.31180448858,7426.02753217292,7179.26943881672,9059.10014957102,8550.59316939018,8569.27725222315,8583.59059932149,8573.87326358893,8649.64604429014,8528.40169504715,8355.70495971778,8942.59117818516,8824.51884670312,8749.29378633744,8115.05928626076,8170.83849505484,8642.87635545442,8201.43600427287,9081.27600785493,8182.21825389873,8829.17348151109,8496.00748293103,7988.2508274246,8614.47404779921,8507.35630711311,9220.23876629186,8028.06208025565,2337.3934768278,2340.70850028353,2316.27855912201,2313.29164647421,2323.9679869379,2316.70732425708,2327.62776074981,2310.67719323277,2312.3680886038,2315.32772727651,2330.72490705528,2338.88494398381,2357.44399975632,2331.1688985295,2309.87193043268,2313.16788362607,2311.38031636382,2326.27137583572,2320.01006559086,2319.24856643779,2310.55530182412,2316.97648510718,2313.90948514677,2393.60157959769
,60.5,8705.04346419775,9696.62917273927,9142.67327002224,8857.25784143662,8954.9402586659,8903.64973990096,8123.2381338838,8738.12787436115,9003.19686589884,8906.81973873847,8094.49189327588,2407.47431461909,9747.07989529574,9826.60653170319,10808.878942341,10544.0150126951,9677.40715177061,10040.3690623313,9162.75071773593,10904.2505281646,10430.3941514709,10863.3831531555,9712.20467558588,9516.94075181487,8990.64070826391,8848.25150194611,8746.79259462437,8906.43238805504,8756.38286700312,8373.66042857318,8904.29987050161,8781.57947116962,9064.56063133339,9168.96331372883,8975.58927090761,8256.11703803195,6455.75236984329,7145.96990348044,7193.60320378601,7987.10962118483,7473.65743047106,7591.8032684542,7513.11106416389,7710.59546914391,7544.39410261703,7171.50507070609,7412.18234682014,7159.36205202726,9045.08982050206,8545.33215404304,8556.85065423116,8568.6793188848,8574.06587533559,8640.42596108166,8539.82995791805,8355.73985175414,8951.58005062356,8836.35258783336,8761.94149231394,8108.61334983969,8153.09530240288,8625.1405667319,8190.20444923472,9057.59168802571,8167.35265891812,8825.58691880399,8487.86170914919,7995.72841742695,8607.50939113943,8513.28758025036,9216.45598640796,8014.57043274707,2337.22138439119,2340.98562964388,2316.71976109005,2313.7666157378,2324.21596431658,2317.3438343308,2327.90787472511,2311.10639010347,2312.30028895272,2315.87970681894,2331.32686242191,2339.2351481549,2357.82838561112,2331.61223208727,2310.18213778708,2313.64464404391,2311.80242192701,2326.46701980377,2320.03579427559,2319.32883530875,2310.68583261506,2316.9345249495,2314.45894302046,2393.78720374925
,61,8702.72601337526,9688.14349634827,9140.08403368057,8862.87387551565,8956.25917828196,8908.7298701714,8129.09259312637,8752.07624343377,9009.13972064535,8925.3884775203,8098.66810171765,2407.2144655666,9757.83588263004,9835.13619513146,10815.7787651684,10553.1504549699,9687.73269757481,10078.0637705426,9171.91924809243,10929.3047691397,10463.6067969243,10890.5206649947,9726.26340354294,9525.87719395535,8974.44469846994,8836.54983775237,8737.55639769842,8899.54436811444,8749.10485484278,8369.00214826504,8900.43232113721,8791.25300499645,9082.47045241092,9176.92487144383,8988.42644278283,8260.37699438142,6441.96178875695,7123.89477711551,7166.24773177329,7956.34709881511,7449.98617425922,7569.32665372909,7501.80041709564,7703.39180946927,7538.20797666259,7153.6983369236,7398.33716146736,7139.4546652378,9031.0794914331,8540.07113869591,8544.42405623918,8553.76803844811,8574.25848708226,8631.20587787317,8551.25822078894,8355.77474379049,8960.56892306197,8848.1863289636,8774.58919829044,8102.16741341861,8135.35210975093,8607.40477800937,8178.97289419656,9033.90736819649,8152.4870639375,8822.00035609689,8479.71593536735,8003.20600742929,8600.54473447964,8519.21885338761,9212.67320652405,8001.07878523849,2337.04929195458,2341.26275900423,2317.16096305809,2314.24158500139,2324.46394169526,2317.98034440452,2328.18798870042,2311.53558697416,2312.23248930164,2316.43168636136,2331.92881778853,2339.58535232599,2358.21277146591,2332.05556564503,2310.49234514148,2314.12140446175,2312.2245274902,2326.66266377182,2320.06152296031,2319.40910417971,2310.816363406,2316.89256479183,2315.00840089414,2393.97282790082
,61.5,8700.40856255278,9679.65781995727,9137.4947973389,8868.48990959467,8957.57809789803,8913.81000044184,8134.94705236894,8766.02461250639,9015.08257539186,8943.95721630212,8102.84431015942,2406.95461651412,9768.59186996433,9843.66585855972,10822.6785879959,10562.2858972448,9698.05824337902,10115.758478754,9181.08777844893,10954.3590101149,10496.8194423777,10917.6581768338,9740.3221315,9534.81363609583,8958.24868867597,8824.84817355863,8728.32020077248,8892.65634817385,8741.82684268244,8364.3438679569,8896.56477177282,8800.92653882327,9100.38027348844,9184.88642915884,9001.26361465806,8264.63695073089,6428.1712076706,7101.81965075058,7138.89225976056,7925.58457644538,7426.31491804739,7546.85003900398,7490.4897700274,7696.18814979463,7532.02185070815,7135.89160314111,7384.49197611457,7119.54727844834,9017.06916236415,8534.81012334877,8531.99745824719,8538.85675801142,8574.45109882892,8621.98579466469,8562.68648365984,8355.80963582685,8969.55779550037,8860.02007009384,8787.23690426694,8095.72147699754,8117.60891709897,8589.66898928684,8167.74133915841,9010.22304836726,8137.62146895689,8818.41379338979,8471.57016158552,8010.68359743163,8593.58007781986,8525.15012652487,9208.89042664015,7987.58713772991,2336.87719951797,2341.53988836459,2317.60216502613,2314.71655426498,2324.71191907394,2318.61685447825,2328.46810267572,2311.96478384486,2312.16468965056,2316.98366590379,2332.53077315516,2339.93555649708,2358.59715732071,2332.49889920279,2310.80255249588,2314.5981648796,2312.64663305339,2326.85830773987,2320.08725164504,2319.48937305068,2310.94689419693,2316.85060463416,2315.55785876782,2394.15845205238
,62,8698.09111173029,9671.17214356627,9134.90556099723,8874.10594367369,8958.8970175141,8918.89013071228,8140.80151161151,8779.97298157901,9021.02543013837,8962.52595508394,8107.02051860118,2406.69476746164,9779.34785729863,9852.19552198799,10829.5784108233,10571.4213395196,9708.38378918323,10153.4531869654,9190.25630880544,10979.41325109,10530.0320878311,10944.795688673,9754.38085945707,9543.75007823631,8942.052678882,8813.14650936489,8719.08400384654,8885.76832823325,8734.5488305221,8359.68558764876,8892.69722240842,8810.6000726501,9118.29009456596,9192.84798687384,9014.10078653328,8268.89690708037,6414.38062658426,7079.74452438565,7111.53678774784,7894.82205407565,7402.64366183556,7524.37342427887,7479.17912295915,7688.98449011999,7525.83572475372,7118.08486935862,7370.64679076179,7099.63989165889,9003.05883329519,8529.54910800164,8519.5708602552,8523.94547757472,8574.64371057559,8612.76571145621,8574.11474653074,8355.84452786321,8978.54666793877,8871.85381122408,8799.88461024344,8089.27554057646,8099.86572444702,8571.93320056431,8156.50978412026,8986.53872853804,8122.75587397628,8814.82723068269,8463.42438780368,8018.16118743397,8586.61542116008,8531.08139966212,9205.10764675624,7974.09549022134,2336.70510708135,2341.81701772494,2318.04336699416,2315.19152352857,2324.95989645262,2319.25336455197,2328.74821665103,2312.39398071556,2312.09688999948,2317.53564544621,2333.13272852178,2340.28576066817,2358.98154317551,2332.94223276056,2311.11275985028,2315.07492529744,2313.06873861657,2327.05395170792,2320.11298032977,2319.56964192164,2311.07742498787,2316.80864447648,2316.1073166415,2394.34407620395
,62.5,8695.7736609079,9662.68646717527,9132.31632465562,8879.72197775267,8960.2159371301,8923.97026098259,8146.65597085404,8793.92135065169,9026.96828488485,8981.09469386569,8111.19672704295,2406.43491840916,9790.10384463289,9860.72518541629,10836.4782336508,10580.5567817945,9718.70933498752,10191.1478951767,9199.42483916193,11004.4674920652,10563.2447332846,10971.9332005122,9768.43958741418,9552.68652037667,8925.85666908808,8801.44484517111,8709.84780692078,8878.8803082927,8727.27081836164,8355.02730734066,8888.82967304408,8820.27360647697,9136.19991564358,9200.80954458877,9026.93795840851,8273.15686342985,6400.59004549787,7057.66939802075,7084.18131573518,7864.05953170588,7378.97240562374,7501.89680955376,7467.86847589098,7681.78083044539,7519.64959879937,7100.27813557616,7356.80160540897,7079.73250486943,8989.0485042263,8524.28809265437,8507.14426226343,8509.03419713807,8574.83632232232,8603.54562824774,8585.54300940158,8355.8794198995,8987.53554037714,8883.68755235434,8812.53231622013,8082.82960415541,8082.12253179504,8554.19741184196,8145.27822908211,8962.8544087088,8107.89027899558,8811.24066797549,8455.27861402181,8025.63877743624,8579.65076450023,8537.01267279926,9201.32486687251,7960.6038427127,2336.53301464472,2342.09414708532,2318.48456896216,2315.66649279213,2325.20787383129,2319.88987462571,2329.02833062635,2312.82317758629,2312.0290903484,2318.08762498862,2333.7346838884,2340.63596483922,2359.36592903029,2333.38556631831,2311.42296720465,2315.55168571524,2313.49084417979,2327.24959567596,2320.13870901452,2319.64991079261,2311.20795577882,2316.76668431884,2316.65677451519,2394.52970035551
,63,8693.45621008541,9654.20079078427,9129.72708831394,8885.33801183169,8961.53485674617,8929.05039125303,8152.51043009661,8807.86971972431,9032.91113963136,8999.66343264751,8115.37293548472,2406.17506935668,9800.85983196718,9869.25484884456,10843.3780564782,10589.6922240694,9729.03488079173,10228.8426033881,9208.59336951843,11029.5217330404,10596.457378738,10999.0707123514,9782.49831537124,9561.62296251715,8909.66065929411,8789.74318097737,8700.61160999484,8871.9922883521,8719.9928062013,8350.36902703252,8884.96212367969,8829.94714030379,9154.1097367211,9208.77110230378,9039.77513028373,8277.41681977933,6386.79946441152,7035.59427165582,7056.82584372245,7833.29700933615,7355.30114941191,7479.42019482865,7456.55782882273,7674.57717077074,7513.46347284494,7082.47140179367,7342.95642005618,7059.82511807997,8975.03817515734,8519.02707730724,8494.71766427145,8494.12291670137,8575.02893406898,8594.32554503926,8596.97127227248,8355.91431193586,8996.52441281554,8895.52129348458,8825.18002219663,8076.38366773434,8064.37933914308,8536.46162311943,8134.04667404395,8939.17008887957,8093.02468401496,8807.65410526839,8447.13284023997,8033.11636743858,8572.68610784045,8542.94394593651,9197.54208698861,7947.11219520412,2336.3609222081,2342.37127644567,2318.9257709302,2316.14146205573,2325.45585120997,2320.52638469943,2329.30844460165,2313.25237445698,2311.96129069732,2318.63960453105,2334.33663925503,2340.98616901031,2359.75031488509,2333.82889987607,2311.73317455905,2316.02844613308,2313.91294974298,2327.44523964401,2320.16443769924,2319.73017966357,2311.33848656975,2316.72472416116,2317.20623238887,2394.71532450707
,63.5,8686.61392059875,9641.89119186596,9121.3676711499,8885.50803847561,8956.62881518233,8928.24192417157,8152.26954118526,8815.40961743346,9035.21955024628,9013.40323566198,8110.48603580857,2405.96031610459,9803.89506865531,9869.71408546167,10841.3313858498,10589.522803367,9731.4553329552,10259.9478952506,9210.87175243633,11049.6114292647,10623.7181226948,11020.2358332899,9783.4830010797,9560.03009293224,8889.12469575632,8773.2999937176,8686.08559507402,8859.87323470071,8707.09600514642,8340.43605614513,8876.52830411886,8835.88948786098,9167.27454258285,9213.03127662563,9048.2179656572,8276.4510110349,6368.20822949788,7009.54119806396,7024.9944988099,7797.88304246503,7327.10495805543,7452.2341778834,7441.77562619135,7661.82216900634,7503.38249671623,7061.62657658052,7323.33465879945,7035.73864571945,8956.43599179095,8507.74164148786,8476.98260813213,8471.91860691081,8569.52532645725,8579.30506092819,8602.63519310336,8351.64258500325,9001.12171486712,8903.46886372268,8833.91695051266,8063.60906379236,8042.47483956263,8512.91674878694,8118.27520911179,8907.1535119013,8071.16818335376,8798.58970901101,8433.5047256611,8037.19011516096,8560.92443392111,8544.61541449311,9188.01862267131,7927.65299680926,2336.72074361599,2342.60312578671,2319.26319932576,2316.45389259216,2325.72601852707,2321.14552274052,2329.27452734085,2313.67497215136,2312.16557736115,2318.83515841696,2334.86929465707,2341.548924175,2360.35805610215,2334.21645252376,2312.19721126362,2316.54308859122,2314.41712218217,2327.62187258101,2320.27300621723,2319.9412034087,2311.41428590456,2316.67053899953,2317.71526762131,2394.66450473776
,64,8675.5980625046,9626.81182371001,9107.60245170724,8880.84228684077,8946.49260512686,8922.19731938692,8146.72761641065,8816.57439683664,9034.66130105796,9023.76711547296,8096.99157636384,2405.76977043836,9800.08275524168,9862.73558227322,10831.8352606408,10582.0008933369,9727.0461126364,10284.6890638605,9207.44328127971,11064.7961665495,10645.2152220301,11035.7653171321,9771.42467545375,9548.14046444735,8864.56722830513,8752.98851340389,8667.4712137761,8843.35483978357,8690.09358801755,8326.92000855316,8864.75397324023,8837.68541304394,9175.1907256776,9214.32203689636,9052.22650135891,8270.27608780259,6344.99270493326,6980.06596760738,6989.34333745116,7759.01197388629,7295.45873101904,7420.72181852686,7423.68787739297,7643.25910574774,7489.57027365456,7037.69893012011,7298.15936192456,7007.76478945433,8934.00775097568,8491.15562641047,8455.01683518988,8443.33180172159,8559.30972768191,8559.15303814114,8602.66207979829,8344.10551490944,9002.03293644796,8907.42738754766,8837.92885931749,8044.85569358816,8017.56745230858,8484.25670019507,8098.68658958626,8868.26271805342,8043.09124144193,8785.03451051864,8415.1918656971,8037.60852009062,8545.419923802,8541.91642047738,9173.44844914005,7903.86782627869,2337.28014444912,2342.62462418331,2319.23982922732,2316.62334001798,2325.86327685725,2321.54013345149,2329.08016368892,2314.13140295521,2312.34181792194,2318.69462489383,2335.60273561566,2342.09172437082,2361.0615262379,2334.69675075048,2312.73096729546,2316.72729447876,2314.86462456001,2327.42136507327,2320.30892469966,2319.90621208004,2311.48285325677,2316.75895607744,2318.29165864303,2394.64039548082
,64.5,8660.60197905193,9609.98143426144,9089.05067652083,8871.4567830611,8932.01679246476,8912.37579597318,8136.99253431054,8812.34645346308,9031.86515434739,9031.423521403,8075.56548789498,2405.51762681669,9790.18328498102,9850.02509547746,10816.0580558457,10568.779322837,9717.24688294405,10303.3388349265,9199.63278921992,11074.0464857235,10661.5315308293,11044.0093057491,9748.2925529081,9527.13015838134,8836.95069743748,8729.93874363549,8645.69229306286,8823.41245134222,8670.28148049665,8310.17320485491,8850.17755595,8835.91831935297,9177.33270452387,9211.71732983554,9052.21456468478,8258.37240636605,6317.74817404752,6947.33487594209,6951.17516342591,7717.27880345602,7261.27335475767,7385.98703134581,7403.06124183502,7618.42101252528,7470.89114964688,7011.58768499298,7267.19549855072,6976.86574913058,8907.76330851139,8470.32212420713,8430.0085926802,8409.24108022813,8544.02633390954,8534.82445239239,8597.0191150078,8333.73471677332,8998.9054344902,8907.05821907502,8837.28994868608,8020.76115457915,7989.84527898467,8451.42132256153,8076.57997228628,8823.27808721983,8009.06304533162,8767.62586308245,8393.54615503624,8034.85526942956,8527.00609531245,8534.88403892067,9154.30603011193,7875.95061406905,2337.95316651044,2342.40328926881,2319.41377592352,2316.80219975316,2326.10255433818,2321.83513447296,2328.80990490757,2314.27933907403,2312.84069519221,2318.69270095473,2336.2337794759,2342.76649839346,2361.80606959859,2335.01686408703,2313.19368230642,2316.80835725028,2315.13812234482,2327.26639382305,2320.33558365055,2320.31482043226,2311.53611094453,2317.14963038179,2318.77718145063,2394.73640681354
