,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
A,Cq,23.5828348458617,23.3013102433458,23.4071592703287,23.2035092547423,23.1376154481222,23.1624299556557,23.675358906483,23.6465295684934,23.3719541828292,23.0762410012973,23.2206705842143,NaN
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
B,Cq,20.0237470549925,19.9337333571388,19.8339186267117,19.6492352735278,19.7027356566551,19.9682479689421,19.0734275444564,19.1642780303279,19.1357390941846,19.5857312115108,19.8227337955604,19.9336487865217
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
C,Cq,27.0577864560264,27.0209368492483,27.0750155053834,25.3661225466227,25.3824028351862,25.4537662357459,26.1321892176397,26.2527740208177,26.1129274634415,24.3339171389095,24.35028355567,24.4581953822845
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
D,Cq,31.6761937681023,32.0758694459133,32.1028297595862,28.6554487828973,28.8211213216252,28.6092675942709,30.7066965255451,30.5084049242622,30.7784354808952,28.5828863072609,28.2804143589405,28.1716016544874
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
E,Cq,26.2276479914219,26.3577210162973,26.3031655330553,22.2837154072753,22.2729454223821,22.225289774058,25.1878310612711,25.3232721101076,25.1795226078417,21.2355263662777,21.2806112250752,21.3995644302086
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
F,Cq,28.630068611113,28.6409279835121,28.7831233564644,27.7158705955937,27.5904870057952,27.3214805600817,27.0811267510808,27.0879993580644,27.0255859534024,26.5448577295116,26.2954656963934,26.6296182881915
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT
G,Sample,N2,N2,N2,N2,N2,N2,N2 treated,N2 treated,N2 treated,N2 treated,N2 treated,N2 treated
G,Cq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT,NRT
H,Sample,FAU5,FAU5,FAU5,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated,FAU5 treated
H,Cq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
