,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,tba-1,Unkn,N2,4253.17089764818,,Unknown,Unassigned,False
,A02,SYBR,tba-1,Unkn,N2,4313.39351802957,,Unknown,Unassigned,False
,A03,SYBR,tba-1,Unkn,N2,4183.88500208744,,Unknown,Unassigned,False
,A04,SYBR,tba-1,Unkn,N2 treated,4557.37897155943,,Unknown,Unassigned,False
,A05,SYBR,tba-1,Unkn,N2 treated,4404.44219126432,,Unknown,Unassigned,False
,A06,SYBR,tba-1,Unkn,N2 treated,4613.85871463952,,Unknown,Unassigned,False
,A07,SYBR,tba-1,Unkn,FAU5,3864.0714750876,,Unknown,Unassigned,False
,A08,SYBR,tba-1,Unkn,FAU5,4594.04954050583,,Unknown,Unassigned,False
,A09,SYBR,tba-1,Unkn,FAU5,4669.11881542151,,Unknown,Unassigned,False
,A10,SYBR,tba-1,Unkn,FAU5 treated,5157.65175714508,,Unknown,Unassigned,False
,A11,SYBR,tba-1,Unkn,FAU5 treated,4577.71671795086,,Unknown,Unassigned,False
,A12,SYBR,tba-1,Unkn,FAU5 treated,-27.0579520251633,,Unknown,Unassigned,False
,B01,SYBR,fbxa-79,Unkn,N2,4595.1535561802,,Unknown,Unassigned,False
,B02,SYBR,fbxa-79,Unkn,N2,4477.20258251988,,Unknown,Unassigned,False
,B03,SYBR,fbxa-79,Unkn,N2,4823.99560835141,,Unknown,Unassigned,False
,B04,SYBR,fbxa-79,Unkn,N2 treated,4792.51553555944,,Unknown,Unassigned,False
,B05,SYBR,fbxa-79,Unkn,N2 treated,4291.39180340792,,Unknown,Unassigned,False
,B06,SYBR,fbxa-79,Unkn,N2 treated,4213.03431153341,,Unknown,Unassigned,False
,B07,SYBR,fbxa-79,Unkn,FAU5,3797.00992044932,,Unknown,Unassigned,False
,B08,SYBR,fbxa-79,Unkn,FAU5,4762.65032660084,,Unknown,Unassigned,False
,B09,SYBR,fbxa-79,Unkn,FAU5,4907.49132292864,,Unknown,Unassigned,False
,B10,SYBR,fbxa-79,Unkn,FAU5 treated,4862.03784298626,,Unknown,Unassigned,False
,B11,SYBR,fbxa-79,Unkn,FAU5 treated,4798.07667705405,,Unknown,Unassigned,False
,B12,SYBR,fbxa-79,Unkn,FAU5 treated,5113.61154837749,,Unknown,Unassigned,False
,C01,SYBR,ugt-29,Unkn,N2,4290.44883073039,,Unknown,Unassigned,False
,C02,SYBR,ugt-29,Unkn,N2,4584.86667842434,,Unknown,Unassigned,False
,C03,SYBR,ugt-29,Unkn,N2,4683.40944651589,,Unknown,Unassigned,False
,C04,SYBR,ugt-29,Unkn,N2 treated,5074.22160889143,,Unknown,Unassigned,False
,C05,SYBR,ugt-29,Unkn,N2 treated,4915.91342782008,,Unknown,Unassigned,False
,C06,SYBR,ugt-29,Unkn,N2 treated,4527.93201680779,,Unknown,Unassigned,False
,C07,SYBR,ugt-29,Unkn,FAU5,4308.61314225349,,Unknown,Unassigned,False
,C08,SYBR,ugt-29,Unkn,FAU5,4818.11443676312,,Unknown,Unassigned,False
,C09,SYBR,ugt-29,Unkn,FAU5,4792.37797759963,,Unknown,Unassigned,False
,C10,SYBR,ugt-29,Unkn,FAU5 treated,5246.08543597744,,Unknown,Unassigned,False
,C11,SYBR,ugt-29,Unkn,FAU5 treated,4983.55688487487,,Unknown,Unassigned,False
,C12,SYBR,ugt-29,Unkn,FAU5 treated,4504.43287747379,,Unknown,Unassigned,False
,D01,SYBR,ugt-31,Unkn,N2,2861.66073396523,,Unknown,Unassigned,False
,D02,SYBR,ugt-31,Unkn,N2,2846.79293867573,,Unknown,Unassigned,False
,D03,SYBR,ugt-31,Unkn,N2,3051.18698952022,,Unknown,Unassigned,False
,D04,SYBR,ugt-31,Unkn,N2 treated,3294.44799355594,,Unknown,Unassigned,False
,D05,SYBR,ugt-31,Unkn,N2 treated,3141.16634197106,,Unknown,Unassigned,False
,D06,SYBR,ugt-31,Unkn,N2 treated,2928.20990429405,,Unknown,Unassigned,False
,D07,SYBR,ugt-31,Unkn,FAU5,2961.8160449076,,Unknown,Unassigned,False
,D08,SYBR,ugt-31,Unkn,FAU5,3014.27612399272,,Unknown,Unassigned,False
,D09,SYBR,ugt-31,Unkn,FAU5,3174.02851389166,,Unknown,Unassigned,False
,D10,SYBR,ugt-31,Unkn,FAU5 treated,3144.53630223529,,Unknown,Unassigned,False
,D11,SYBR,ugt-31,Unkn,FAU5 treated,3341.59092167153,,Unknown,Unassigned,False
,D12,SYBR,ugt-31,Unkn,FAU5 treated,2976.40407655672,,Unknown,Unassigned,False
,E01,SYBR,fbxa-79,Unkn,RB2060,4253.55665748104,,Unknown,Unassigned,False
,E02,SYBR,fbxa-79,Unkn,RB2060,4165.73499415361,,Unknown,Unassigned,False
,E03,SYBR,fbxa-79,Unkn,RB2060,4357.49009470335,,Unknown,Unassigned,False
,E04,SYBR,fbxa-79,Unkn,RB2060 treated,4940.24160074476,,Unknown,Unassigned,False
