,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
A,Peak 1,79.5,79.5,79.5,79.5,79.5,80,80,79.5,79.5,79.5,79.5,None
A,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
B,Peak 1,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77,77,77.5,77.5,76.5
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
C,Peak 1,76.5,77,77,77,77,77,77,76.5,76.5,77,77,77
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
D,Peak 1,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
E,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
E,Peak 1,77.5,77.5,77.5,77.5,77.5,77.5,None,None,None,None,None,None
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
F,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
F,Peak 1,80,80,80,80,80,80,None,None,None,None,None,None
F,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
G,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
G,Peak 1,77,77,77,77,77,77,None,None,None,None,None,None
G,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
H,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
H,Peak 1,76.5,77.5,77.5,77.5,77.5,77.5,None,None,None,None,None,None
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
