,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7810.41388209595,7857.03943917958,7715.92752326306,8159.56735687953,7954.44756549664,8257.80862175453,7292.19233567848,8220.797023147,8356.33782973876,8826.13934428403,8110.70486434719,2414.22594182319,8145.59206834943,7999.79591349587,8453.95924766851,8392.19339792586,7741.70080431879,7639.65303661084,7139.86114805299,8408.82068274613,8399.72497214785,8415.53494669412,8323.26692607895,8756.52363267459,7813.15133497368,8206.13408164939,8282.34423889032,8747.63556478696,8547.04338872746,8063.30739388864,7868.6345597476,8512.95132166999,8432.96243790945,8935.06052458711,8605.05838201014,8011.99550770801,6327.21776234603,7445.77680444779,6611.16861370669,6947.2535937815,6774.01262886877,6450.58437643553,6718.65998376321,6731.89139693005,6938.99838800337,6677.64969187662,6927.22279593603,6427.16026229613,7687.49271237254,7579.28058969513,7875.29133435934,8490.78706347429,8658.55611910252,7866.03727983993,2326.16255505354,2341.74916742637,2321.26627566049,2320.68463537436,2319.67576469032,2322.42565118747,7612.05350623459,8205.88643195414,8274.94749149308,8657.93793999917,8463.596351041,8351.00768703379,2332.41839202427,2333.40745124484,2324.312038904,2319.3266381158,2317.7293360765,2324.78522436274,7862.26991660188,8596.45304485786,8293.09640514236,7969.51545458593,8577.6412777818,8581.12018254489,2348.81121896275,2319.23793735413,2316.39086747024,2347.5673911911,2325.21768392605,2335.64671555587,6146.91336088567,6385.75419856096,6369.48007819909,6013.80475482684,5999.49189972295,5878.63292649999,2332.82663683575,2331.84353576184,2352.08181613387,2333.76253252964,2329.81873276653,2348.00656249545
,60.5,7795.46614747486,7849.97443207213,7705.14920759565,8148.43939861967,7945.20735285218,8250.65015614641,7287.60782516452,8217.77480650404,8351.29187687459,8818.40096982731,8104.34644471665,2413.42863880936,8133.03126592347,7990.36065702752,8442.33188449456,8382.61373514104,7730.87838986446,7645.90143139515,7134.87410466984,8413.29203398486,8410.21313622183,8422.2479228652,8332.55756343248,8761.70496091342,7804.54550169706,8190.88796355202,8268.1489561868,8735.21521886617,8534.72151968304,8054.64810370717,7857.99937624069,8508.84784074335,8441.25404519235,8939.53465884205,8609.4920062829,8005.68340366786,6306.63296507509,7416.6760457393,6583.75746601917,6916.32769145202,6745.54854152111,6426.42558983862,6702.62990082539,6719.19296250267,6924.63822641568,6657.75259544181,6912.5096879016,6407.1320554471,7683.54771024729,7578.82128071669,7864.41640809099,8478.62986145073,8651.07139564481,7858.98125963589,2326.48687610771,2341.95310752605,2321.64694451678,2321.18901810881,2320.20967517026,2323.0066943733,7602.95711457137,8186.95053707566,8259.08249353502,8639.29704887302,8447.75749811562,8346.01197814261,2332.78378790298,2333.29140140005,2324.32797245,2319.28583682799,2317.99788583303,2325.14444947244,7854.45835040509,8581.74620958589,8279.07702508863,7959.76157879303,8568.46840453455,8566.39952849347,2349.46463279764,2319.42388453324,2316.6281480719,2347.69220625095,2325.70172480858,2335.82852481501,6126.57320750485,6359.82054977664,6341.36885159007,6000.05003115304,5983.16605221051,5859.45665679795,2333.21552600333,2332.0701139744,2351.82076900366,2333.92288134782,2329.81002503115,2348.23059792309
,61,7780.51841285378,7842.90942496469,7694.37089192824,8137.3114403598,7935.96714020773,8243.49169053829,7283.02331465057,8214.75258986107,8346.24592401041,8810.66259537059,8097.98802508612,2412.63133579553,8120.47046349752,7980.92540055917,8430.7045213206,8373.03407235622,7720.05597541013,7652.14982617947,7129.88706128669,8417.76338522359,8420.70130029582,8428.96089903628,8341.84820078601,8766.88628915224,7795.93966842043,8175.64184545464,8253.95367348328,8722.79487294539,8522.39965063861,8045.9888135257,7847.36419273378,8504.74435981672,8449.54565247526,8944.00879309699,8613.92563055566,7999.37129962771,6286.04816780415,7387.57528703081,6556.34631833166,6885.40178912254,6717.08445417344,6402.26680324172,6686.59981788758,6706.49452807528,6910.278064828,6637.855499007,6897.79657986716,6387.10384859806,7679.60270812205,7578.36197173824,7853.54148182263,8466.47265942716,8643.5866721871,7851.92523943185,2326.81119716188,2342.15704762573,2322.02761337307,2321.69340084327,2320.74358565021,2323.58773755913,7593.86072290816,8168.01464219718,8243.21749557696,8620.65615774687,8431.91864519024,8341.01626925144,2333.1491837817,2333.17535155527,2324.343905996,2319.24503554017,2318.26643558956,2325.50367458214,7846.6467842083,8567.03937431393,8265.05764503489,7950.00770300014,8559.29553128731,8551.67887444205,2350.11804663254,2319.60983171236,2316.86542867355,2347.81702131081,2326.18576569111,2336.01033407415,6106.23305412402,6333.88690099232,6313.25762498105,5986.29530747924,5966.84020469807,5840.2803870959,2333.6044151709,2332.29669218697,2351.55972187344,2334.083230166,2329.80131729576,2348.45463335072
,61.5,7765.57067823269,7835.84441785725,7683.59257626083,8126.18348209993,7926.72692756327,8236.33322493017,7278.43880413662,8211.7303732181,8341.19997114623,8802.92422091387,8091.62960545559,2411.83403278171,8107.90966107156,7971.49014409082,8419.07715814665,8363.45440957141,7709.2335609558,7658.39822096379,7124.90001790354,8422.23473646232,8431.1894643698,8435.67387520735,8351.13883813953,8772.06761739107,7787.33383514381,8160.39572735727,8239.75839077976,8710.3745270246,8510.07778159418,8037.32952334423,7836.72900922687,8500.64087889008,8457.83725975816,8948.48292735193,8618.35925482842,7993.05919558756,6265.46337053321,7358.47452832232,6528.93517064414,6854.47588679306,6688.62036682578,6378.10801664481,6670.56973494976,6693.7960936479,6895.91790324032,6617.95840257219,6883.08347183273,6367.07564174903,7675.6577059968,7577.9026627598,7842.66655555428,8454.31545740359,8636.10194872939,7844.86921922781,2327.13551821606,2342.36098772542,2322.40828222937,2322.19778357773,2321.27749613015,2324.16878074496,7584.76433124494,8149.07874731871,8227.3524976189,8602.01526662073,8416.07979226486,8336.02056036026,2333.51457966042,2333.05930171048,2324.359839542,2319.20423425235,2318.53498534609,2325.86289969184,7838.83521801151,8552.33253904197,8251.03826498116,7940.25382720724,8550.12265804006,8536.95822039063,2350.77146046743,2319.79577889147,2317.1027092752,2347.94183637066,2326.66980657364,2336.19214333328,6085.89290074319,6307.953252208,6285.14639837203,5972.54058380544,5950.51435718563,5821.10411739385,2333.99330433848,2332.52327039954,2351.29867474322,2334.24357898419,2329.79260956038,2348.67866877836
,62,7750.62294361161,7828.77941074981,7672.81426059342,8115.05552384007,7917.48671491882,8229.17475932205,7273.85429362267,8208.70815657513,8336.15401828206,8795.18584645715,8085.27118582505,2411.03672976788,8095.3488586456,7962.05488762247,8407.4497949727,8353.87474678659,7698.41114650146,7664.6466157481,7119.91297452039,8426.70608770105,8441.67762844378,8442.38685137843,8360.42947549306,8777.24894562989,7778.72800186718,8145.14960925989,8225.56310807624,8697.95418110382,8497.75591254976,8028.67023316275,7826.09382571996,8496.53739796344,8466.12886704106,8952.95706160687,8622.79287910118,7986.74709154741,6244.87857326227,7329.37376961384,6501.52402295662,6823.54998446357,6660.15627947811,6353.94923004791,6654.53965201194,6681.09765922051,6881.55774165263,6598.06130613738,6868.3703637983,6347.0474349,7671.71270387155,7577.44335378135,7831.79162928593,8442.15825538002,8628.61722527168,7837.81319902378,2327.45983927023,2342.5649278251,2322.78895108566,2322.70216631218,2321.8114066101,2324.74982393079,7575.66793958172,8130.14285244023,8211.48749966084,8583.37437549458,8400.24093933948,8331.02485146908,2333.87997553913,2332.9432518657,2324.375773088,2319.16343296454,2318.80353510262,2326.22212480155,7831.02365181472,8537.62570377001,8237.01888492742,7930.49995141434,8540.94978479281,8522.23756633921,2351.42487430232,2319.98172607058,2317.33998987685,2348.06665143052,2327.15384745616,2336.37395259242,6065.55274736236,6282.01960342368,6257.03517176301,5958.78586013164,5934.18850967319,5801.9278476918,2334.38219350606,2332.74984861211,2351.03762761301,2334.40392780237,2329.78390182499,2348.90270420599
,62.5,7735.6752089905,7821.71440364239,7662.03594492592,8103.9275655802,7908.24650227425,8222.01629371393,7269.26978310877,8205.68593993213,8331.10806541782,8787.44747200053,8078.91276619453,2410.23942675403,8082.78805621963,7952.6196311542,8395.82243179865,8344.29508400186,7687.58873204707,7670.89501053235,7114.92593113722,8431.17743893984,8452.1657925178,8449.09982754947,8369.72011284661,8782.4302738687,7770.12216859049,8129.90349116246,8211.36782537263,8685.53383518304,8485.43404350529,8020.01094298127,7815.45864221304,8492.43391703676,8474.42047432387,8957.43119586172,8627.22650337389,7980.43498750723,6224.29377599134,7300.27301090534,6474.11287526908,6792.62408213418,6631.69219213048,6329.79044345106,6638.50956907414,6668.39922479317,6867.19758006493,6578.16420970256,6853.65725576392,6327.01922805097,7667.76770174635,7576.98404480293,7820.91670301768,8430.00105335658,8621.13250181402,7830.75717881973,2327.78416032443,2342.76886792478,2323.16961994197,2323.20654904662,2322.34531709008,2325.33086711661,7566.57154791857,8111.20695756171,8195.62250170277,8564.73348436841,8384.40208641418,8326.02914257785,2334.24537141787,2332.82720202089,2324.39170663398,2319.12263167673,2319.07208485917,2326.58134991127,7823.21208561794,8522.91886849819,8222.99950487368,7920.74607562147,8531.77691154558,8507.51691228783,2352.07828813724,2320.16767324971,2317.57727047853,2348.19146649035,2327.63788833864,2336.55576185154,6045.21259398152,6256.0859546393,6228.92394515398,5945.03113645781,5917.86266216084,5782.75157798967,2334.77108267362,2332.97642682471,2350.77658048277,2334.56427662055,2329.77519408963,2349.12673963362
,63,7720.72747436941,7814.64939653495,7651.25762925851,8092.79960732033,7899.0062896298,8214.85782810581,7264.68527259482,8202.66372328916,8326.06211255364,8779.70909754381,8072.554346564,2409.4421237402,8070.22725379367,7943.18437468585,8384.19506862469,8334.71542121704,7676.76631759274,7677.14340531666,7109.93888775407,8435.64879017857,8462.65395659178,8455.81280372054,8379.01075020013,8787.61160210752,7761.51633531387,8114.65737306508,8197.17254266911,8673.11348926226,8473.11217446086,8011.35165279979,7804.82345870613,8488.33043611012,8482.71208160677,8961.90533011666,8631.66012764665,7974.12288346708,6203.7089787204,7271.17225219685,6446.70172758156,6761.6981798047,6603.22810478281,6305.63165685415,6622.47948613633,6655.70079036579,6852.83741847724,6558.26711326776,6838.94414772949,6306.99102120194,7663.8226996211,7576.52473582448,7810.04177674933,8417.84385133301,8613.64777835631,7823.70115861569,2328.10848137861,2342.97280802446,2323.55028879826,2323.71093178108,2322.87922757002,2325.91191030244,7557.47515625535,8092.27106268324,8179.75750374471,8546.09259324226,8368.5632334888,8321.03343368667,2334.61076729659,2332.71115217611,2324.40764017998,2319.08183038892,2319.3406346157,2326.94057502097,7815.40051942115,8508.21203322622,8208.98012481995,7910.99219982857,8522.60403829833,8492.79625823641,2352.73170197214,2320.35362042882,2317.81455108019,2348.31628155021,2328.12192922117,2336.73757111067,6024.8724406007,6230.15230585498,6200.81271854496,5931.27641278401,5901.5368146484,5763.57530828762,2335.1599718412,2333.20300503727,2350.51553335255,2334.72462543873,2329.76648635424,2349.35077506125
,63.5,7700.94086100169,7801.07196584371,7635.57864538586,8076.52441553142,7883.33012860663,8203.09107545698,7255.3005717402,8193.98304548462,8315.01157008773,8766.4923080175,8062.03227833957,2409.59991141349,8052.5908367405,7928.62195562921,8367.01159612751,8319.89063549083,7661.00003278075,7678.82236570409,7099.89772458889,8434.85241523389,8469.13747246811,8459.39358167533,8382.68014769172,8788.2112272555,7747.14229101379,8095.09930169581,8177.6690899254,8655.0983325205,8455.46087761569,7997.20712499434,7789.69269951755,8478.86948216222,8487.17999738138,8961.40982420484,8631.83150272861,7962.74233845441,6179.35964248815,7237.81342944615,6415.26918173059,6727.0202294038,6570.21522582807,6278.02382583929,6603.56467577855,6638.39753087617,6833.95338188404,6534.77150656623,6820.85243139093,6283.20972171135,7655.64635926976,7573.05336592482,7794.43051413016,8400.38014564257,8601.26740254766,7811.60592329349,2328.61773749708,2343.16227817228,2323.85267351301,2323.88771929778,2323.59763612384,2326.40695942117,7543.24044311663,8067.94189431163,8157.8639991856,8521.4698451295,8347.25781701007,8310.97567710492,2335.04625814383,2332.61821344848,2324.45158532448,2318.96343790904,2319.40190533488,2326.93538391408,7801.80535271501,8487.37148082183,8189.13766804114,7896.4056826503,8507.50355346455,8471.85133776213,2353.37405561867,2320.25198759222,2318.05968872661,2348.10689855592,2328.40770944504,2337.21180465025,6001.07091890459,6200.55686236017,6168.10664537921,5914.19592089929,5881.51136937274,5740.33300296167,2335.61265654649,2333.63888036693,2350.44197384999,2335.06385167188,2329.56176463491,2349.51560103351
,64,7676.45481758065,7780.54404434735,7615.37995157135,8055.4711160763,7862.43315580947,8186.73185473662,7242.09261786261,8179.93831238188,8298.3296925125,8748.48272809293,8048.33666535059,2409.68080423797,8030.11996901538,7909.16347926073,8345.04052256631,8300.5070894767,7641.04635753176,7675.90818658636,7085.79483352764,8428.81606125173,8471.96216876977,8459.75247435209,8380.87587978558,8784.84789252582,7727.17918118339,8071.59331901112,8153.63276465752,8631.87880645823,8432.98074688798,7978.09086049911,7770.27934723334,8465.11503231951,8487.73679862571,8956.51736708139,8628.59190375603,7946.59763028334,6151.00969945596,7200.81468008891,6380.64324014371,6689.56809704947,6532.75536849163,6247.57150986661,6581.87995461285,6616.4915640633,6810.58882896288,6509.20253064044,6799.63619490399,6255.71366339403,7642.47340961308,7567.0986170039,7775.09321665263,8379.03078244545,8584.86666073974,7795.41773725515,2329.02254343904,2343.5193546229,2324.22858089251,2324.05201412323,2324.24723975264,2327.01250834463,7523.69881167849,8039.54389865625,8130.90033374083,8491.8353058256,8321.41293964498,8296.22525301311,2335.21998351308,2332.87348646438,2324.5309833869,2318.99737829265,2319.54008777561,2326.9238001282,7782.25550223453,8461.24396753414,8164.10539874715,7877.90554056868,8486.79049120637,8446.56088944216,2353.72749309687,2320.29655717813,2318.23207134544,2348.00410241332,2328.49820765102,2338.00465439917,5974.22572834345,6167.21531344932,6131.82158428296,5893.76769041305,5857.70842923228,5713.670700412,2335.94510350306,2333.64165847789,2350.32613058127,2335.56447517555,2329.42900551038,2349.54040027381
,64.5,7647.55591279395,7753.51057991827,7591.0939902659,8029.85556987214,7837.0745270358,8166.54118940948,7225.74493797246,8161.40291151234,8275.88828910031,8726.27724661172,8031.80222305192,2409.69278081273,8003.31334566934,7885.59944065105,8318.89702816028,8277.10259872195,7617.63238409755,7668.18595428538,7068.77538471985,8417.43912853562,8470.35629654567,8457.2618364293,8373.60916701808,8777.95234422437,7701.5656343864,8044.48376504781,8125.76637611839,8604.61958123017,8407.17723394515,7955.16679452768,7746.57059913287,8447.07317240729,8484.1211634501,8946.88952613152,8620.89059865107,7925.56450953512,6119.03421664604,7161.1796975781,6343.22419566847,6649.34487464047,6491.99628604991,6214.63308041422,6557.95314325734,6590.07164879965,6783.0016412374,6481.257801832,6774.9127076663,6224.63772295064,7624.78012710112,7559.41579719032,7752.54860328827,8355.14835521771,8565.26267230182,7775.64946402002,2329.3629261325,2343.74579110608,2324.81563440433,2324.07001509516,2324.85549929855,2327.67430251906,7499.46132248305,8007.86677622935,8100.5979661893,8458.61516861022,8292.1082426319,8277.3507071785,2335.55359843101,2333.13035755006,2325.07706043804,2319.49261242059,2319.86877684286,2326.87243985886,7756.84493299369,8430.39807136615,8135.10435007109,7856.40529476937,8461.72812978614,8417.74862036648,2353.80730549778,2320.69215238623,2318.53526009915,2348.02308884115,2328.62875652775,2338.77465054462,5944.73482208655,6130.36474296339,6092.80372979338,5869.80074549087,5830.5175725079,5684.23037768571,2336.02720123594,2333.71880892984,2350.26116439005,2335.75978191821,2329.44152539296,2349.51834502503
