,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
A,Cq,22.4755395921442,22.5128931225116,22.5301401708065,25.0249546515017,25.0638060720238,25.0134967735991,23.5934803748947,23.171187592974,23.1437555514908,23.407580304885,23.604526679523,NaN
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
B,Cq,24.8727974111619,24.9491696178274,24.7492547834417,25.0811580109726,25.2689755152802,25.3209164394418,26.0910453891619,25.8135071910476,25.585847901391,24.7315406791143,24.8074026939157,24.8790360159453
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
C,Cq,23.9865449468639,23.872856526942,23.7734590368466,22.1199228600393,22.1470253514651,22.2361139979633,24.6765658780727,24.4594913929747,24.453287620815,21.7210711549966,21.7856640380288,22.001682341325
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,N2,N2,N2,N2 treated,N2 treated,N2 treated,FAU5,FAU5,FAU5,FAU5 treated,FAU5 treated,FAU5 treated
D,Cq,31.3740232840351,31.6975484658283,31.6473293458267,31.380259084352,31.3680215992336,31.7562327411439,33.0333188863577,32.6107354447031,32.3560927801004,30.3591451323641,30.0565355031362,29.8430559970662
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
E,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
E,Cq,25.0449161997314,25.0480518641551,24.9213384663147,25.1706563038714,25.1847649073058,25.1981765449281,NaN,NaN,NaN,NaN,NaN,NaN
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
F,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
F,Cq,24.6998775604616,24.6805879445229,24.6241292182632,25.2504057173585,25.3258731332303,25.2642821288037,NaN,NaN,NaN,NaN,NaN,NaN
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
G,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
G,Cq,21.976379977045,21.8226315306865,21.796840017083,23.40369998725,23.2617281319988,23.2036439932061,NaN,NaN,NaN,NaN,NaN,NaN
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,NRT,NRT,NRT,NRT,NRT
H,Sample,RB2060,RB2060,RB2060,RB2060 treated,RB2060 treated,RB2060 treated,FAU5,FAU5 treated,RB2060,RB2060 treated,N2,N2 treated
H,Cq,27.5880796359595,28.424555561886,28.4822333910451,30.6163634563258,30.6948276921085,31.0405831478639,NaN,NaN,NaN,NaN,NaN,NaN
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
