,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-SYBR,ceh-74,N2,,0.0120499866984898,-6.37482463585338,0.000534830413959713,0.000534830413959713,NaN,0.00030878448347044,0.00030878448347044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,27.0501032274587,0.064033032171975,0.0369694883615177,NaN
,1-SYBR,ceh-74,RB2060,,1,0,0.0319513503723539,0.0319513503723539,NaN,0.0184471207384506,0.0184471207384506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,20.6752785916053,0.0460960547319008,0.0266135696080426,NaN
,1-SYBR,cest-34,N2,,0.0669958563033415,-3.89978432219669,0.00500436820279201,0.00500436820279201,NaN,0.00288927332900597,0.00288927332900597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,28.223603608145,0.107764533320703,0.0622178823218021,NaN
,1-SYBR,cest-34,RB2060,,1,0,0.053680460862127,0.053680460862127,NaN,0.0309924285289722,0.0309924285289722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,24.3238192859483,0.0774445346784247,0.0447126229438538,NaN
,1-SYBR,daf-16,N2,,1,0,0.187914704203275,0.187914704203275,NaN,0.10849260505645,0.10849260505645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,33.9635395829736,0.271103611864182,0.156521743288065,NaN
,1-SYBR,daf-16,RB2060,,0.0898670988444571,-3.47606316104065,0.0194348052927546,0.0194348052927546,NaN,0.0112206900674198,0.0112206900674198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,37.4396027440142,0.311999581348776,0.180133042278766,NaN
,1-SYBR,fbxa-128,N2,,0.00299712531632795,-8.38220487733207,0.000188926450939642,0.000188926450939642,NaN,0.000109076737307043,0.000109076737307043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,31.108606237982,0.0909415606943376,0.0525051345474005,NaN
,1-SYBR,fbxa-128,RB2060,,1,0,0.0503521272666205,0.0503521272666205,NaN,0.0290708142316537,0.0290708142316537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,22.7264013606499,0.0726427643057634,0.041940319526611,NaN
,1-SYBR,tba-1,N2,,0.928004892219256,-0.107795683972171,0.0485757155350271,0.0485757155350271,NaN,0.0280452024402266,0.0280452024402266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,21.5539082270914,0.0755167828290491,0.043599634894686,NaN
,1-SYBR,tba-1,RB2060,,1,0,0.0756635633691437,0.0756635633691437,NaN,0.0436843786790214,0.0436843786790214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,21.4461125431192,0.109159447648651,0.0630232364845398,NaN
,1-SYBR,zip-2,N2,,0.307850797284656,-1.69969678997857,0.00941925274823656,0.00941925274823656,NaN,0.0054382081097595,0.0054382081097595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,23.8579413916696,0.0441418679068594,0.0254853193185582,NaN
,1-SYBR,zip-2,RB2060,,1,0,0.0227383211268237,0.0227383211268237,NaN,0.0131279758234918,0.0131279758234918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,22.158244601691,0.0328044631278093,0.0189396656174619,NaN
