,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,B03,SYBR,daf-16,NRT,N2,None,None,None,None,
,B04,SYBR,daf-16,Unkn,N2,None,None,None,None,
,B05,SYBR,daf-16,Unkn,N2,73,567.913557516128,62.5,84.5,
,B06,SYBR,daf-16,Unkn,N2,None,None,None,None,
,B07,SYBR,daf-16,Unkn,RB2060,None,None,None,None,
,B08,SYBR,daf-16,Unkn,RB2060,None,None,None,None,
,B09,SYBR,daf-16,Unkn,RB2060,79,536.37929941033,75.5,83.5,
,B10,SYBR,daf-16,NRT,RB2060,None,None,None,None,
,C03,SYBR,zip-2,NRT,N2,71,986.742738183277,62.5,79,
,C04,SYBR,zip-2,Unkn,N2,81,1407.81883447367,62.5,84.5,
,C05,SYBR,zip-2,Unkn,N2,81,1447.05145384834,62.5,84.5,
,C06,SYBR,zip-2,Unkn,N2,81,1464.78327303765,62.5,84.5,
,C07,SYBR,zip-2,Unkn,RB2060,81,1551.13796692869,62.5,84.5,
,C08,SYBR,zip-2,Unkn,RB2060,81,1564.12421774939,62.5,84.5,
,C09,SYBR,zip-2,Unkn,RB2060,81,1566.05656656102,62.5,84.5,
,C10,SYBR,zip-2,NRT,RB2060,71.5,1027.22699944769,62.5,78,
,D03,SYBR,fbxa-128,NRT,N2,None,None,None,None,
,D04,SYBR,fbxa-128,Unkn,N2,75.5,976.988692662032,72.5,83,
,D05,SYBR,fbxa-128,Unkn,N2,75.5,984.114612381724,72,85,
,D06,SYBR,fbxa-128,Unkn,N2,75.5,931.915919826832,72.5,78.5,
,D07,SYBR,fbxa-128,Unkn,RB2060,75,1686.26096095146,62.5,79.5,
,D08,SYBR,fbxa-128,Unkn,RB2060,75,1750.42889768944,62.5,82,
,D09,SYBR,fbxa-128,Unkn,RB2060,75,1772.43004691764,62.5,79.5,
,D10,SYBR,fbxa-128,NRT,RB2060,None,None,None,None,
,E03,SYBR,ceh-74,NRT,N2,71,826.568402035258,66,83.5,
,E04,SYBR,ceh-74,Unkn,N2,77.5,1393.75864366244,62.5,87,
,E05,SYBR,ceh-74,Unkn,N2,77.5,1478.16809642152,62.5,85.5,
,E06,SYBR,ceh-74,Unkn,N2,77.5,1477.66573714975,62.5,86,
,E07,SYBR,ceh-74,Unkn,RB2060,77.5,1623.41083151165,62.5,82,
,E08,SYBR,ceh-74,Unkn,RB2060,77.5,1656.0779529183,62.5,83.5,
,E09,SYBR,ceh-74,Unkn,RB2060,77.5,1659.92350638077,67,82,
,E10,SYBR,ceh-74,NRT,RB2060,71,926.015703337869,66.5,79.5,
,G03,SYBR,cest-34,NRT,N2,72.5,837.175743585846,62.5,78,
,G04,SYBR,cest-34,Unkn,N2,75,1089.4011378821,62.5,85,
,G05,SYBR,cest-34,Unkn,N2,75,1220.55508195287,62.5,87.5,
,G06,SYBR,cest-34,Unkn,N2,75,1193.31359299695,62.5,88,
,G07,SYBR,cest-34,Unkn,RB2060,75,1415.34735389519,62.5,81.5,
,G08,SYBR,cest-34,Unkn,RB2060,75,1474.49472390793,62.5,81,
,G09,SYBR,cest-34,Unkn,RB2060,75,1493.27158637929,62.5,84.5,
,G10,SYBR,cest-34,NRT,RB2060,70,554.770259660459,62.5,72.5,
,H03,SYBR,tba-1,NRT,N2,75,736.355659336253,62.5,81.5,
,H04,SYBR,tba-1,Unkn,N2,79.5,1183.95968024835,67.5,83.5,
,H05,SYBR,tba-1,Unkn,N2,79.5,1189.24999890243,67.5,83.5,
,H06,SYBR,tba-1,Unkn,N2,79.5,1210.40449034109,67.5,83.5,
,H07,SYBR,tba-1,Unkn,RB2060,79.5,1301.62042251737,67.5,83.5,
,H08,SYBR,tba-1,Unkn,RB2060,79.5,1409.54141766196,67,83.5,
,H09,SYBR,tba-1,Unkn,RB2060,79.5,1343.68039349603,67.5,83.5,
,H10,SYBR,cest-34,NRT,RB2060,76,737.546477734085,62.5,83,
