,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
B,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
B,Peak 1,,,None,None,73,None,None,None,79,None,,
B,Peak 2,,,None,None,None,None,None,None,None,None,,
C,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
C,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
C,Peak 1,,,71,81,81,81,81,81,81,71.5,,
C,Peak 2,,,None,None,None,None,None,None,None,None,,
D,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
D,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
D,Peak 1,,,None,75.5,75.5,75.5,75,75,75,None,,
D,Peak 2,,,None,None,None,None,None,None,None,None,,
E,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
E,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
E,Peak 1,,,71,77.5,77.5,77.5,77.5,77.5,77.5,71,,
E,Peak 2,,,None,None,None,None,None,None,None,None,,
F,Content,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
G,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
G,Peak 1,,,72.5,75,75,75,75,75,75,70,,
G,Peak 2,,,None,None,None,None,None,None,None,None,,
H,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
H,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
H,Peak 1,,,75,79.5,79.5,79.5,79.5,79.5,79.5,76,,
H,Peak 2,,,None,None,None,None,None,None,None,None,,
