,Temperature,B3,B4,B5,B6,B7,B8,B9,B10,C3,C4,C5,C6,C7,C8,C9,C10,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,G3,G4,G5,G6,G7,G8,G9,G10,H3,H4,H5,H6,H7,H8,H9,H10
,60,2796.11942472214,6548.65206648299,6823.4068882901,6922.20268440292,7900.51429261577,7985.52515046437,8287.93521562738,3562.5136134242,8436.52521723857,10998.4305463401,11234.6682006468,11383.7247976259,11748.5377497594,11733.2839511777,11787.9708921554,8770.14715696232,2358.1949661515,8822.61374529986,8805.41456628391,8698.24660372828,10469.8757114702,10852.679306706,10978.4693059199,2502.63755376161,8611.3730572243,10134.1232622052,10670.6139616053,10708.7970208394,10990.4031696256,11265.8539147338,11322.4928579725,9066.84670100525,6539.01847115719,8287.76745491037,8968.61792920323,8884.00303557346,9434.15852863423,9519.63778633749,9731.96915054116,6872.28570566597,8580.47170111883,9446.47808005787,9464.04290074969,9741.14697509025,9891.18098351936,10553.7711918031,10159.6801729681,9339.34336846511
,60.5,2787.592293327,6499.0234842428,6773.16379983598,6867.55800787271,7858.67748437335,7943.69559718293,8243.93941195869,3545.02410226838,8372.01354719476,10932.7377805498,11169.0269228287,11315.1026549224,11681.4780475238,11671.0259772209,11722.425986834,8694.29078087658,2353.55217310912,8762.25965691757,8737.38150465146,8634.99698366461,10400.1947733274,10778.6020762883,10903.0557359282,2492.13716070452,8533.32470911192,10070.3898965413,10599.8032857419,10635.2533629343,10920.0645834668,11189.8308222253,11250.6550782087,8976.72051699729,6492.50008615588,8229.93101150543,8903.5899496096,8824.30151131561,9371.59979412212,9457.67732097976,9668.12632187836,6826.18212675993,8563.37091949824,9409.19883788579,9427.18316704845,9704.3206189381,9856.79978150501,10510.6451885941,10122.1710338039,9292.23570571933
,61,2779.06516193187,6449.39490200261,6722.92071138186,6812.91333134251,7816.84067613094,7901.86604390148,8199.94360829,3527.53459111256,8307.50187715094,10867.0450147596,11103.3856450107,11246.4805122188,11614.4183452883,11608.7680032641,11656.8810815126,8618.43440479083,2348.90938006674,8701.90556853528,8669.348443019,8571.74736360093,10330.5138351846,10704.5248458706,10827.6421659364,2481.63676764744,8455.27636099953,10006.6565308775,10528.9926098786,10561.7097050292,10849.725997308,11113.8077297167,11178.8172984448,8886.59433298933,6445.98170115457,8172.09456810048,8838.56197001596,8764.59998705776,9309.04105961001,9395.71685562203,9604.28349321556,6780.07854785389,8546.27013787766,9371.9195957137,9390.32343334721,9667.49426278595,9822.41857949065,10467.5191853852,10084.6618946398,9245.12804297356
,61.5,2770.53803053674,6399.76631976243,6672.67762292773,6758.26865481231,7775.00386788852,7860.03649062004,8155.94780462131,3510.04507995674,8242.99020710713,10801.3522489694,11037.7443671926,11177.8583695153,11547.3586430528,11546.5100293072,11591.3361761912,8542.57802870508,2344.26658702436,8641.55148015298,8601.31538138654,8508.49774353725,10260.8328970418,10630.4476154529,10752.2285959446,2471.13637459036,8377.22801288714,9942.92316521363,10458.1819340153,10488.1660471242,10779.3874111492,11037.7846372082,11106.979518681,8796.46814898137,6399.46331615326,8114.25812469554,8773.53399042233,8704.89846279991,9246.4823250979,9333.7563902643,9540.44066455276,6733.97496894785,8529.16935625707,9334.64035354162,9353.46369964598,9630.6679066338,9788.0373774763,10424.3931821762,10047.1527554756,9198.02038022778
,62,2762.0108991416,6350.13773752224,6622.43453447361,6703.6239782821,7733.16705964611,7818.20693733859,8111.95200095262,3492.55556880093,8178.47853706331,10735.6594831791,10972.1030893745,11109.2362268118,11480.2989408173,11484.2520553504,11525.7912708698,8466.72165261934,2339.62379398198,8581.19739177069,8533.28231975409,8445.24812347358,10191.151958899,10556.3703850352,10676.8150259529,2460.63598153328,8299.17966477476,9879.18979954979,10387.3712581519,10414.6223892191,10709.0488249904,10961.7615446996,11035.1417389172,8706.3419649734,6352.94493115195,8056.4216812906,8708.5060108287,8645.19693854206,9183.92359058579,9271.79592490657,9476.59783588995,6687.87139004181,8512.06857463648,9297.36111136953,9316.60396594474,9593.84155048165,9753.65617546195,10381.2671789673,10009.6436163115,9150.912717482
,62.5,2753.48376774647,6300.50915528202,6572.1914460195,6648.97930175193,7691.33025140367,7776.37738405719,8067.95619728389,3475.06605764509,8113.9668670195,10669.966717389,10906.4618115563,11040.6140841083,11413.2392385817,11421.9940813936,11460.2463655482,8390.86527653365,2334.98100093958,8520.84330338832,8465.24925812182,8381.99850340984,10121.4710207562,10482.2931546176,10601.4014559612,2450.13558847619,8221.1313166624,9815.45643388603,10316.5605822886,10341.0787313139,10638.7102388315,10885.7384521911,10963.3039591534,8616.21578096538,6306.42654615059,7998.58523788564,8643.47803123528,8585.49541428415,9121.3648560735,9209.83545954872,9412.75500722716,6641.76781113582,8494.96779301592,9260.08186919742,9279.7442322435,9557.01519432943,9719.27497344759,10338.1411757584,9972.1344771472,9103.80505473607
,63,2744.95663635133,6250.88057304183,6521.94835756537,6594.33462522173,7649.49344316125,7734.54783077575,8023.9603936152,3457.57654648928,8049.45519697569,10604.2739515987,10840.8205337383,10971.9919414047,11346.1795363462,11359.7361074368,11394.7014602268,8315.00890044791,2330.3382078972,8460.48921500603,8397.21619648937,8318.74888334617,10051.7900826134,10408.2159241999,10525.9878859694,2439.63519541911,8143.08296855001,9751.72306822219,10245.7499064253,10267.5350734088,10568.3716526727,10809.7153596825,10891.4661793896,8526.08959695742,6259.90816114928,7940.7487944807,8578.45005164165,8525.7938900263,9058.80612156139,9147.87499419099,9348.91217856436,6595.66423222978,8477.86701139533,9222.80262702533,9242.88449854226,9520.18883817728,9684.89377143324,10295.0151725494,9934.62533798304,9056.69739199029
,63.5,2736.0611763173,6199.22144227145,6469.34608519017,6537.42288041597,7599.12348768131,7682.54678847014,7971.19207793206,3437.76975304214,7980.02324814124,10535.957344708,10772.7800213795,10900.9694375522,11276.8048563316,11295.6991464981,11327.0782063353,8233.61024527778,2326.52352833591,8396.29588665403,8325.36508316824,8251.23256486431,9980.58327486138,10332.4927603428,10448.3867517927,2429.91092381068,8057.83466447614,9685.72136536071,10172.3277168533,10191.1217956838,10496.396600237,10731.5950252921,10816.9487244215,8427.42893688313,6210.41836497534,7880.81916929356,8510.29873962149,8463.23289759317,8994.08419247893,9083.75608876159,9283.08178981556,6543.86389664448,8455.7730139392,9182.83018105834,9203.17011841354,9480.24849769631,9647.14715420228,10248.8221555928,9893.6531467648,9005.34372384912
,64,2726.82527233279,6145.86645425527,6414.67133909135,6478.81845277256,7542.45883059307,7623.24032039819,7912.1670350399,3416.2095088182,7906.78341230115,10467.3416198674,10703.8700742496,10829.0059966572,11207.2265628425,11230.6407194197,11258.5406598668,8148.25089184616,2323.09615677692,8329.66763576999,8251.85655884307,8181.17255876673,9908.88223842359,10256.2041785195,10369.853184803,2420.94542285319,7967.58912598738,9618.36913552866,10097.9670194715,10113.3150576867,10423.4514523179,10653.0082147962,10739.1298638848,8321.96161833641,6159.89515294422,7819.91143700226,8440.35628354075,8398.25017360815,8928.58548941216,9018.77471539168,9215.95294387268,6487.18378105346,8428.48245922757,9140.32875632693,9161.19388151567,9437.95268158497,9606.50434650335,10200.3160446262,9849.94209588033,8950.70289674302
,64.5,2717.1679663273,6090.72195142548,6357.417261136,6417.92658997217,7480.39581956464,7558.0469896651,7848.03400625102,3393.54687627106,7828.57893813736,10397.9612004286,10633.4531923805,10755.1819177371,11135.2236139,11163.0304697921,11187.6643881053,8058.43869600059,2320.0482638538,8260.41107163352,8176.6748297597,8108.70409141482,9835.7038471723,10178.0724287757,10289.7052655161,2412.36472402842,7874.28914924782,9548.46838016433,10021.0659923248,10033.0644326209,10347.8815750285,10572.4286119636,10657.744227532,8212.15943013603,6107.87432727998,7757.41035842478,8368.93938037544,8331.5888420125,8861.37342127736,8952.46540807844,9147.13390483274,6425.23429739792,8394.19487208043,9095.16269931228,9116.57669353508,9393.4192328716,9563.38353996755,10149.6814879534,9803.42036149915,8892.50256859065
