,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,
A,Cq,,,,,,,,,,,,
A,,,,,,,,,,,,,
B,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
B,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
B,Cq,,,NaN,34.2757354228262,33.7875045983221,33.8273787277724,37.45847772597,37.7417363365051,37.1185941695675,NaN,,
B,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
C,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
C,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
C,Cq,,,37.4938945607286,23.9075481079086,23.8432812470592,23.8229948200409,22.184499237524,22.168763707903,22.1214708596461,36.1695994725106,,
C,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
D,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
D,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
D,Cq,,,NaN,31.1850302962722,31.0080252265832,31.1327631910905,22.8023474731043,22.7192684115608,22.6575881972847,NaN,,
D,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
E,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
E,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
E,Cq,,,35.3748671768406,27.1238446510881,27.0179102330331,27.008554798255,20.725072996543,20.6340953770549,20.6666674012181,34.4687535104873,,
E,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
F,Content,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,
F,,,,,,,,,,,,,
G,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
G,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
G,Cq,,,39.4633465403929,28.3471286648943,28.1488270524098,28.1748551071309,24.4091106961045,24.3044477611292,24.2578994006111,NaN,,
G,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
H,Content,,,NRT,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NRT,,
H,Sample,,,N2,N2,N2,N2,RB2060,RB2060,RB2060,RB2060,,
H,Cq,,,31.2029558105059,21.5967518854881,21.5982594941425,21.4667133016436,21.5707007405727,21.4003750383184,21.3672618504665,30.5473512693499,,
H,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
