,Well,Fluor,Target,Content,Sample,Cq,SQ
,B03,SYBR,daf-16,NRT,N2,NaN,NaN
,B04,SYBR,daf-16,Unkn,N2,34.2757354228262,NaN
,B05,SYBR,daf-16,Unkn,N2,33.7875045983221,NaN
,B06,SYBR,daf-16,Unkn,N2,33.8273787277724,NaN
,B07,SYBR,daf-16,Unkn,RB2060,37.45847772597,NaN
,B08,SYBR,daf-16,Unkn,RB2060,37.7417363365051,NaN
,B09,SYBR,daf-16,Unkn,RB2060,37.1185941695675,NaN
,B10,SYBR,daf-16,NRT,RB2060,NaN,NaN
,C03,SYBR,zip-2,NRT,N2,37.4938945607286,NaN
,C04,SYBR,zip-2,Unkn,N2,23.9075481079086,NaN
,C05,SYBR,zip-2,Unkn,N2,23.8432812470592,NaN
,C06,SYBR,zip-2,Unkn,N2,23.8229948200409,NaN
,C07,SYBR,zip-2,Unkn,RB2060,22.184499237524,NaN
,C08,SYBR,zip-2,Unkn,RB2060,22.168763707903,NaN
,C09,SYBR,zip-2,Unkn,RB2060,22.1214708596461,NaN
,C10,SYBR,zip-2,NRT,RB2060,36.1695994725106,NaN
,D03,SYBR,fbxa-128,NRT,N2,NaN,NaN
,D04,SYBR,fbxa-128,Unkn,N2,31.1850302962722,NaN
,D05,SYBR,fbxa-128,Unkn,N2,31.0080252265832,NaN
,D06,SYBR,fbxa-128,Unkn,N2,31.1327631910905,NaN
,D07,SYBR,fbxa-128,Unkn,RB2060,22.8023474731043,NaN
,D08,SYBR,fbxa-128,Unkn,RB2060,22.7192684115608,NaN
,D09,SYBR,fbxa-128,Unkn,RB2060,22.6575881972847,NaN
,D10,SYBR,fbxa-128,NRT,RB2060,NaN,NaN
,E03,SYBR,ceh-74,NRT,N2,35.3748671768406,NaN
,E04,SYBR,ceh-74,Unkn,N2,27.1238446510881,NaN
,E05,SYBR,ceh-74,Unkn,N2,27.0179102330331,NaN
,E06,SYBR,ceh-74,Unkn,N2,27.008554798255,NaN
,E07,SYBR,ceh-74,Unkn,RB2060,20.725072996543,NaN
,E08,SYBR,ceh-74,Unkn,RB2060,20.6340953770549,NaN
,E09,SYBR,ceh-74,Unkn,RB2060,20.6666674012181,NaN
,E10,SYBR,ceh-74,NRT,RB2060,34.4687535104873,NaN
,G03,SYBR,cest-34,NRT,N2,39.4633465403929,NaN
,G04,SYBR,cest-34,Unkn,N2,28.3471286648943,NaN
,G05,SYBR,cest-34,Unkn,N2,28.1488270524098,NaN
,G06,SYBR,cest-34,Unkn,N2,28.1748551071309,NaN
,G07,SYBR,cest-34,Unkn,RB2060,24.4091106961045,NaN
,G08,SYBR,cest-34,Unkn,RB2060,24.3044477611292,NaN
,G09,SYBR,cest-34,Unkn,RB2060,24.2578994006111,NaN
,G10,SYBR,cest-34,NRT,RB2060,NaN,NaN
,H03,SYBR,tba-1,NRT,N2,31.2029558105059,NaN
,H04,SYBR,tba-1,Unkn,N2,21.5967518854881,NaN
,H05,SYBR,tba-1,Unkn,N2,21.5982594941425,NaN
,H06,SYBR,tba-1,Unkn,N2,21.4667133016436,NaN
,H07,SYBR,tba-1,Unkn,RB2060,21.5707007405727,NaN
,H08,SYBR,tba-1,Unkn,RB2060,21.4003750383184,NaN
,H09,SYBR,tba-1,Unkn,RB2060,21.3672618504665,NaN
,H10,SYBR,cest-34,NRT,RB2060,30.5473512693499,NaN
