,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,tba-1,Unkn,N2,,24.2912346900678,24.2912346900678,0,NaN,NaN,NaN,0,68,
,A02,SYBR,tba-1,Unkn,N2,,24.0749603014906,24.0749603014906,0,NaN,NaN,NaN,0,68,
,A03,SYBR,tba-1,Unkn,N2,,24.1238903864614,24.1238903864614,0,NaN,NaN,NaN,0,68,
,A04,SYBR,tba-1,Unkn,FAU5,,24.4474177786925,24.4474177786925,0,NaN,NaN,NaN,0,68,
,A05,SYBR,tba-1,Unkn,FAU5,,24.4379957178405,24.4379957178405,0,NaN,NaN,NaN,0,68,
,A06,SYBR,tba-1,Unkn,FAU5,,24.3887857653286,24.3887857653286,0,NaN,NaN,NaN,0,68,
,A07,SYBR,tba-1,Unkn,N2 treated,,23.8717183912037,23.8717183912037,0,NaN,NaN,NaN,0,68,
,A08,SYBR,tba-1,Unkn,N2 treated,,23.8931433480775,23.8931433480775,0,NaN,NaN,NaN,0,68,
,A09,SYBR,tba-1,Unkn,N2 treated,,23.7051114313324,23.7051114313324,0,NaN,NaN,NaN,0,68,
,A10,SYBR,tba-1,Unkn,,FAU5 treated,23.1072484390133,23.1072484390133,0,NaN,NaN,NaN,0,68,
,A11,SYBR,tba-1,Unkn,,FAU5 treated,23.1582207896557,23.1582207896557,0,NaN,NaN,NaN,0,68,
,A12,SYBR,tba-1,Unkn,,FAU5 treated,26.1604567241916,26.1604567241916,0,NaN,NaN,NaN,0,68,
,B01,SYBR,oac-7,Unkn,N2,,28.1040928723802,28.1040928723802,0,NaN,NaN,NaN,0,68,
,B02,SYBR,oac-7,Unkn,N2,,28.0750307585658,28.0750307585658,0,NaN,NaN,NaN,0,68,
,B03,SYBR,oac-7,Unkn,N2,,27.9329897096606,27.9329897096606,0,NaN,NaN,NaN,0,68,
,B04,SYBR,oac-7,Unkn,FAU5,,27.903247443198,27.903247443198,0,NaN,NaN,NaN,0,68,
,B05,SYBR,oac-7,Unkn,FAU5,,28.0685368442157,28.0685368442157,0,NaN,NaN,NaN,0,68,
,B06,SYBR,oac-7,Unkn,FAU5,,28.2193824031579,28.2193824031579,0,NaN,NaN,NaN,0,68,
,B07,SYBR,oac-7,Unkn,N2 treated,,26.1562216374571,26.1562216374571,0,NaN,NaN,NaN,0,68,
,B08,SYBR,oac-7,Unkn,N2 treated,,25.8157213769667,25.8157213769667,0,NaN,NaN,NaN,0,68,
,B09,SYBR,oac-7,Unkn,N2 treated,,25.8479187132956,25.8479187132956,0,NaN,NaN,NaN,0,68,
,B10,SYBR,oac-7,Unkn,,FAU5 treated,24.4246115498957,24.4246115498957,0,NaN,NaN,NaN,0,68,
,B11,SYBR,oac-7,Unkn,,FAU5 treated,24.4588550599773,24.4588550599773,0,NaN,NaN,NaN,0,68,
,B12,SYBR,oac-7,Unkn,,FAU5 treated,24.7443725953965,24.7443725953965,0,NaN,NaN,NaN,0,68,
,C01,SYBR,ugt-31,Unkn,N2,,30.4607110021552,30.4607110021552,0,NaN,NaN,NaN,0,68,
,C02,SYBR,ugt-31,Unkn,N2,,31.0072693332058,31.0072693332058,0,NaN,NaN,NaN,0,68,
,C03,SYBR,ugt-31,Unkn,N2,,30.9546645991267,30.9546645991267,0,NaN,NaN,NaN,0,68,
,C04,SYBR,ugt-31,Unkn,FAU5,,30.521943681007,30.521943681007,0,NaN,NaN,NaN,0,68,
,C05,SYBR,ugt-31,Unkn,FAU5,,30.4948206807088,30.4948206807088,0,NaN,NaN,NaN,0,68,
,C06,SYBR,ugt-31,Unkn,FAU5,,30.6420957068698,30.6420957068698,0,NaN,NaN,NaN,0,68,
,C07,SYBR,ugt-31,Unkn,N2 treated,,28.2787263177308,28.2787263177308,0,NaN,NaN,NaN,0,68,
,C08,SYBR,ugt-31,Unkn,N2 treated,,28.1506820620755,28.1506820620755,0,NaN,NaN,NaN,0,68,
,C09,SYBR,ugt-31,Unkn,N2 treated,,27.9930112242762,27.9930112242762,0,NaN,NaN,NaN,0,68,
,C10,SYBR,ugt-31,Unkn,,FAU5 treated,27.2663710450782,27.2663710450782,0,NaN,NaN,NaN,0,68,
,C11,SYBR,ugt-31,Unkn,,FAU5 treated,27.1561174521021,27.1561174521021,0,NaN,NaN,NaN,0,68,
,C12,SYBR,ugt-31,Unkn,,FAU5 treated,27.0129907381024,27.0129907381024,0,NaN,NaN,NaN,0,68,
,D01,SYBR,t22f3.11,Unkn,N2,,28.2847202984124,28.2847202984124,0,NaN,NaN,NaN,0,68,
,D02,SYBR,t22f3.11,Unkn,N2,,28.0441124007369,28.0441124007369,0,NaN,NaN,NaN,0,68,
,D03,SYBR,t22f3.11,Unkn,N2,,28.1855501432403,28.1855501432403,0,NaN,NaN,NaN,0,68,
,D04,SYBR,t22f3.11,Unkn,FAU5,,27.3564476148704,27.3564476148704,0,NaN,NaN,NaN,0,68,
,D05,SYBR,t22f3.11,Unkn,FAU5,,27.6021059655473,27.6021059655473,0,NaN,NaN,NaN,0,68,
,D06,SYBR,t22f3.11,Unkn,FAU5,,27.5492029720299,27.5492029720299,0,NaN,NaN,NaN,0,68,
,D07,SYBR,t22f3.11,Unkn,N2 treated,,27.5489620331628,27.5489620331628,0,NaN,NaN,NaN,0,68,
,D08,SYBR,t22f3.11,Unkn,N2 treated,,27.6399631652055,27.6399631652055,0,NaN,NaN,NaN,0,68,
,D09,SYBR,t22f3.11,Unkn,N2 treated,,27.5141220724064,27.5141220724064,0,NaN,NaN,NaN,0,68,
,D10,SYBR,t22f3.11,Unkn,,FAU5 treated,28.0344906010357,28.0344906010357,0,NaN,NaN,NaN,0,68,
,D11,SYBR,t22f3.11,Unkn,,FAU5 treated,28.1407576469956,28.1407576469956,0,NaN,NaN,NaN,0,68,
,D12,SYBR,t22f3.11,Unkn,,FAU5 treated,28.3272440322355,28.3272440322355,0,NaN,NaN,NaN,0,68,
,E01,SYBR,ugt-29,Unkn,N2,,26.5489671764154,26.5489671764154,0,NaN,NaN,NaN,0,68,
,E02,SYBR,ugt-29,Unkn,N2,,26.6091483819363,26.6091483819363,0,NaN,NaN,NaN,0,68,
,E03,SYBR,ugt-29,Unkn,N2,,26.5955900261014,26.5955900261014,0,NaN,NaN,NaN,0,68,
,E04,SYBR,ugt-29,Unkn,FAU5,,26.5697283323328,26.5697283323328,0,NaN,NaN,NaN,0,68,
,E05,SYBR,ugt-29,Unkn,FAU5,,26.7841354254655,26.7841354254655,0,NaN,NaN,NaN,0,68,
,E06,SYBR,ugt-29,Unkn,FAU5,,26.554842658775,26.554842658775,0,NaN,NaN,NaN,0,68,
,E07,SYBR,ugt-29,Unkn,N2 treated,,23.2424625395353,23.2424625395353,0,NaN,NaN,NaN,0,68,
,E08,SYBR,ugt-29,Unkn,N2 treated,,23.1685002549703,23.1685002549703,0,NaN,NaN,NaN,0,68,
,E09,SYBR,ugt-29,Unkn,N2 treated,,23.0134129887324,23.0134129887324,0,NaN,NaN,NaN,0,68,
,E10,SYBR,ugt-29,Unkn,,FAU5 treated,21.4564158161474,21.4564158161474,0,NaN,NaN,NaN,0,68,
,E11,SYBR,ugt-29,Unkn,,FAU5 treated,21.4440513456358,21.4440513456358,0,NaN,NaN,NaN,0,68,
,E12,SYBR,ugt-29,Unkn,,FAU5 treated,21.4748728047267,21.4748728047267,0,NaN,NaN,NaN,0,68,
,F01,SYBR,ugt-29,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,F02,SYBR,ugt-31,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,F03,SYBR,t22f3.11,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,F04,SYBR,oac-7,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
