"ENTREZID","SYMBOL","GO","EVIDENCE","ONTOLOGY"
"171590","homt-1","GO:0005737","IBA","CC"
"171590","homt-1","GO:0006480","IEA","BP"
"171590","homt-1","GO:0008168","IEA","MF"
"171590","homt-1","GO:0032259","IEA","BP"
"171590","homt-1","GO:0071885","IBA","MF"
"171590","homt-1","GO:0071885","IEA","MF"
"171591","nlp-40","GO:0005576","IEA","CC"
"171591","nlp-40","GO:0005615","IDA","CC"
"171591","nlp-40","GO:0007218","IDA","BP"
"171591","nlp-40","GO:0007218","IEA","BP"
"171591","nlp-40","GO:0031410","IEA","CC"
"171591","nlp-40","GO:0071855","IC","MF"
"171591","nlp-40","GO:2000294","IMP","BP"
"171592","rcor-1","GO:0000118","IBA","CC"
"171592","rcor-1","GO:0003714","IBA","MF"
"171592","rcor-1","GO:0005634","IEA","CC"
"171592","rcor-1","GO:0005667","IBA","CC"
"171592","rcor-1","GO:0006357","IBA","BP"
"171592","rcor-1","GO:0045892","IBA","BP"
"171592","rcor-1","GO:0046872","IEA","MF"
"171593","sesn-1","GO:0005634","IEA","CC"
"171593","sesn-1","GO:0005737","IEA","CC"
"171593","sesn-1","GO:0016239","IBA","BP"
"171593","sesn-1","GO:0016684","IBA","MF"
"171593","sesn-1","GO:0070728","IBA","MF"
"171593","sesn-1","GO:0071233","IBA","BP"
"171593","sesn-1","GO:1901031","IEA","BP"
"171593","sesn-1","GO:1904262","IBA","BP"
"171593","sesn-1","GO:1904262","IEA","BP"
"171593","sesn-1","GO:1990253","IBA","BP"
"171594","pgs-1","GO:0003824","IEA","MF"
"171594","pgs-1","GO:0005524","IEA","MF"
"171594","pgs-1","GO:0005737","IEA","CC"
"171594","pgs-1","GO:0005739","IBA","CC"
"171594","pgs-1","GO:0005739","IEA","CC"
"171594","pgs-1","GO:0005739","ISS","CC"
"171594","pgs-1","GO:0006655","IEA","BP"
"171594","pgs-1","GO:0006655","ISS","BP"
"171594","pgs-1","GO:0008444","IBA","MF"
"171594","pgs-1","GO:0008444","IEA","MF"
"171594","pgs-1","GO:0008444","ISS","MF"
"171594","pgs-1","GO:0008654","IEA","BP"
"171594","pgs-1","GO:0016740","IEA","MF"
"171594","pgs-1","GO:0032049","IBA","BP"
"171594","pgs-1","GO:0032049","IEA","BP"
"171594","pgs-1","GO:0042127","IMP","BP"
"171594","pgs-1","GO:0051881","IMP","BP"
"171595","Y48G1C.5","GO:0004725","IEA","MF"
"171595","Y48G1C.5","GO:0006470","IEA","BP"
"171595","Y48G1C.5","GO:0016020","IEA","CC"
"171597","Y48G1C.6",NA,NA,NA
"171599","pid-2","GO:0005737","IEA","CC"
"171599","pid-2","GO:0031047","IEA","BP"
"171599","pid-2","GO:0048471","IEA","CC"
"171601","rab-11.1","GO:0000139","IEA","CC"
"171601","rab-11.1","GO:0000281","IMP","BP"
"171601","rab-11.1","GO:0003924","IBA","MF"
"171601","rab-11.1","GO:0003924","IEA","MF"
"171601","rab-11.1","GO:0003924","TAS","MF"
"171601","rab-11.1","GO:0005525","IBA","MF"
"171601","rab-11.1","GO:0005525","IEA","MF"
"171601","rab-11.1","GO:0005525","TAS","MF"
"171601","rab-11.1","GO:0005737","IEA","CC"
"171601","rab-11.1","GO:0005768","IEA","CC"
"171601","rab-11.1","GO:0005794","IBA","CC"
"171601","rab-11.1","GO:0005794","IEA","CC"
"171601","rab-11.1","GO:0005813","IEA","CC"
"171601","rab-11.1","GO:0005819","IEA","CC"
"171601","rab-11.1","GO:0005829","IEA","CC"
"171601","rab-11.1","GO:0005856","IEA","CC"
"171601","rab-11.1","GO:0005886","IEA","CC"
"171601","rab-11.1","GO:0006887","IBA","BP"
"171601","rab-11.1","GO:0006898","IMP","BP"
"171601","rab-11.1","GO:0009792","IMP","BP"
"171601","rab-11.1","GO:0015031","IEA","BP"
"171601","rab-11.1","GO:0016324","IEA","CC"
"171601","rab-11.1","GO:0030133","IEA","CC"
"171601","rab-11.1","GO:0030703","IMP","BP"
"171601","rab-11.1","GO:0055037","IBA","CC"
"171601","rab-11.1","GO:0055037","IDA","CC"
"171601","rab-11.1","GO:0055038","IEA","CC"
"171601","rab-11.1","GO:0060471","IMP","BP"
"171601","rab-11.1","GO:0060473","IDA","CC"
"171601","rab-11.1","GO:0061796","IMP","BP"
"171601","rab-11.1","GO:1990676","IDA","CC"
"171602","rpl-7","GO:0000463","IBA","BP"
"171602","rpl-7","GO:0000463","IEA","BP"
"171602","rpl-7","GO:0003723","IBA","MF"
"171602","rpl-7","GO:0003723","IEA","MF"
"171602","rpl-7","GO:0003735","IBA","MF"
"171602","rpl-7","GO:0003735","IEA","MF"
"171602","rpl-7","GO:0005840","IEA","CC"
"171602","rpl-7","GO:0022625","IBA","CC"
"171602","rpl-7","GO:0022625","IEA","CC"
"171602","rpl-7","GO:1990904","IEA","CC"
"171603","F53G12.9","GO:0005737","IBA","CC"
"171604","F53G12.8","GO:0016020","IEA","CC"
"171605","col-45","GO:0005581","IEA","CC"
"171605","col-45","GO:0016020","IEA","CC"
"171605","col-45","GO:0042302","IEA","MF"
"171606","spe-8","GO:0004672","IEA","MF"
"171606","spe-8","GO:0004713","IEA","MF"
"171606","spe-8","GO:0004715","IBA","MF"
"171606","spe-8","GO:0004715","IEA","MF"
"171606","spe-8","GO:0005102","IBA","MF"
"171606","spe-8","GO:0005524","IEA","MF"
"171606","spe-8","GO:0005737","IEA","CC"
"171606","spe-8","GO:0005886","IBA","CC"
"171606","spe-8","GO:0005886","IDA","CC"
"171606","spe-8","GO:0005886","IEA","CC"
"171606","spe-8","GO:0006468","IEA","BP"
"171606","spe-8","GO:0007169","IBA","BP"
"171606","spe-8","GO:0007283","IEA","BP"
"171606","spe-8","GO:0007286","IMP","BP"
"171606","spe-8","GO:0030154","IBA","BP"
"171606","spe-8","GO:0030154","IEA","BP"
"171607","mex-3","GO:0001708","IMP","BP"
"171607","mex-3","GO:0003676","IEA","MF"
"171607","mex-3","GO:0003723","IEA","MF"
"171607","mex-3","GO:0003727","IDA","MF"
"171607","mex-3","GO:0003727","ISS","MF"
"171607","mex-3","GO:0005515","IPI","MF"
"171607","mex-3","GO:0005634","IEA","CC"
"171607","mex-3","GO:0005737","IDA","CC"
"171607","mex-3","GO:0005737","IEA","CC"
"171607","mex-3","GO:0009880","IMP","BP"
"171607","mex-3","GO:0010468","IGI","BP"
"171607","mex-3","GO:0010628","IMP","BP"
"171607","mex-3","GO:0017148","IMP","BP"
"171607","mex-3","GO:0043186","IDA","CC"
"171607","mex-3","GO:0048308","IMP","BP"
"171607","mex-3","GO:0051148","IGI","BP"
"171607","mex-3","GO:0051148","IMP","BP"
"171608","bli-3","GO:0002119","IGI","BP"
"171608","bli-3","GO:0004601","IDA","MF"
"171608","bli-3","GO:0004601","IEA","MF"
"171608","bli-3","GO:0005886","IBA","CC"
"171608","bli-3","GO:0005886","IDA","CC"
"171608","bli-3","GO:0006952","IBA","BP"
"171608","bli-3","GO:0006979","IEA","BP"
"171608","bli-3","GO:0006979","IGI","BP"
"171608","bli-3","GO:0016020","IEA","CC"
"171608","bli-3","GO:0016174","IEA","MF"
"171608","bli-3","GO:0016174","IMP","MF"
"171608","bli-3","GO:0016175","IBA","MF"
"171608","bli-3","GO:0016491","IEA","MF"
"171608","bli-3","GO:0020037","IDA","MF"
"171608","bli-3","GO:0020037","IEA","MF"
"171608","bli-3","GO:0040002","IGI","BP"
"171608","bli-3","GO:0040032","IGI","BP"
"171608","bli-3","GO:0040032","IMP","BP"
"171608","bli-3","GO:0042338","IGI","BP"
"171608","bli-3","GO:0042338","IMP","BP"
"171608","bli-3","GO:0042554","IBA","BP"
"171608","bli-3","GO:0042744","IEA","BP"
"171608","bli-3","GO:0043020","IBA","CC"
"171608","bli-3","GO:0050830","IMP","BP"
"171608","bli-3","GO:0050832","IMP","BP"
"171608","bli-3","GO:0098869","IEA","BP"
"171608","bli-3","GO:0106293","IEA","MF"
"171608","bli-3","GO:0106294","IEA","MF"
"171609","ptr-11","GO:0005886","IBA","CC"
"171609","ptr-11","GO:0006897","IBA","BP"
"171609","ptr-11","GO:0016020","IEA","CC"
"171609","ptr-11","GO:0018996","IBA","BP"
"171609","ptr-11","GO:0018996","IMP","BP"
"171609","ptr-11","GO:0030659","IBA","CC"
"171610","cest-27","GO:0052689","IEA","MF"
"171611","F56C11.3","GO:0005739","IBA","CC"
"171611","F56C11.3","GO:0016491","IEA","MF"
"171611","F56C11.3","GO:0016971","IBA","MF"
"171611","F56C11.3","GO:0016971","IEA","MF"
"171611","F56C11.3","GO:0016972","IEA","MF"
"171611","F56C11.3","GO:0050660","IBA","MF"
"171613","puf-10",NA,NA,NA
"171615","snpc-3.2","GO:0000978","IBA","MF"
"171615","snpc-3.2","GO:0001006","IBA","MF"
"171615","snpc-3.2","GO:0001046","IBA","MF"
"171615","snpc-3.2","GO:0003677","IEA","MF"
"171615","snpc-3.2","GO:0003681","IBA","MF"
