"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,-0.121309764119277,0.205715429535218,0.404706260544407,0.686482849620844,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,0.0577682412607022,0.172083524198833,0.67026535442792,0.855026016391583,"Y74C9A.2"
"Y74C9A.4",910.174817566004,-0.0262684225230753,0.182480260531287,0.847991201940725,0.939218220674605,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.175242715081691,0.319962255489269,0.149224339369767,0.446129197263018,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.0583741709409377,0.285087213758878,0.260360541135405,0.567123496736795,"Y74C9A.1"
"Y48G1C.12",277.64895104496,0.155311180381284,0.226955758441887,0.312328481605382,0.61606327921362,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,-0.196010652183082,0.258481486031622,0.209545932693137,0.521302821350464,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.0909221723625889,0.269121421241759,0.429180113063532,0.704246445084756,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.108823795893878,0.249014744884917,0.425563555253803,0.701985852296187,"Y48G1C.6"
"Y48G1C.9",603.951043251091,0.117062559180679,0.257114463590558,0.383517644621039,0.673386292600283,"Y48G1C.9"
"Y48G1C.1",351.861502423548,0.0751383943596077,0.208832880292241,0.590634557491033,0.808854675403761,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,0.0585357743036851,0.285255506514578,0.198676988054427,0.50917247282941,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,0.248890982501415,0.225476546459896,0.118730421845095,0.40840507949619,"Y48G1C.8"
"F53G12.1",15106.7185367035,0.212333974425478,0.165790284186951,0.118796098706298,0.408512411395716,"F53G12.1"
"F53G12.10",174067.526741315,0.260184482879198,0.230808356035219,0.105480236494424,0.386297803771492,"F53G12.10"
"F53G12.9",513.684622439562,0.263397258540965,0.384839717767625,0.0733946876807382,0.335432906106478,"F53G12.9"
"F53G12.8",13.5106147790981,-0.0173788330042179,0.280006665090896,0.456725851570205,0.722922839663737,"F53G12.8"
"F53G12.7",17.9378206270631,0.0870818331751487,0.295997681741352,0.0898303409962521,0.363059188542151,"F53G12.7"
"F53G12.6",3.43114085894502,0.0213740338023993,0.280993992098442,0.257048103220067,NA,"F53G12.6"
"F53G12.5",1028.53898081512,-0.0596098719591287,0.228406151171985,0.665195405618035,0.85216924935932,"F53G12.5"
"F53G12.4",29.3511251866795,-0.0407704360509677,0.274784289820776,0.559535390396556,0.786908898195963,"F53G12.4"
"F53G12.3",5.70503674777331,0.0500449713767727,0.286666103527852,0.0160838931686866,0.178793746762605,"F53G12.3"
"F56C11.5",306.905001982936,0.448310567135496,0.455228450890443,0.0346164494479624,0.250767798738526,"F56C11.5"
"F56C11.3",329.091668186324,0.0104817999442324,0.244546982744521,0.934068986204069,0.974267908362607,"F56C11.3"
"Y48G1BL.2",751.158574413678,-0.0171887370862936,0.232755176704341,0.897277188963013,0.959546493025152,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,0.0950858553142688,0.298761810230978,0.0891858087778608,0.362348748367705,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,0.376485153206962,0.432588129991972,0.0521763348596232,0.293871102705087,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,-0.029886426337303,0.208596040227981,0.817308211438651,0.925784579021156,"Y48G1BR.1"
"C53D5.2",213.478208031046,0.343179450853707,0.341421202683413,0.064945371774723,0.318575020112789,"C53D5.2"
"C53D5.4",327.900131982468,-0.0060023810394295,0.213193120380164,0.999517619459226,0.999686342892625,"C53D5.4"
"C53D5.1",577.448276768008,-0.0980053455979904,0.211719294773764,0.513901242940646,0.760633758154056,"C53D5.1"
"C53D5.5",828.249212269341,0.0568766521120474,0.221574150327894,0.67375803342401,0.857247269349147,"C53D5.5"
"C53D5.6",6294.56438115708,0.109746873476677,0.174722504834435,0.425631422111805,0.701985852296187,"C53D5.6"
"Y48G1A.5",1507.53153289718,0.0905873515773526,0.253048020401384,0.480210125059104,0.736823770808025,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,0.0604455620488193,0.198201247339828,0.668281370449028,0.853815012379621,"Y48G1A.4"
"Y48G1A.3",458.330298384313,0.0322671518602544,0.205659563137938,0.847946863119171,0.939218220674605,"Y48G1A.3"
"Y48G1A.6",204.375797232641,-0.000733056898702166,0.239399532642629,0.988360479087031,0.996577603706909,"Y48G1A.6"
"Y48G1A.2",126.901692202831,0.0185288035575872,0.253078030870775,0.86664097524372,0.948398512214498,"Y48G1A.2"
"Y48G1A.1",311.768224510158,0.0503115239972638,0.226264942076734,0.717038397706878,0.880612322986894,"Y48G1A.1"
"R119.7",536.59111327906,0.0251944111165801,0.204867236614727,0.90708028089722,0.96273187000735,"R119.7"
"R119.2",788.321913388991,0.218813266375865,0.286346982024711,0.185702181498037,0.492236979072017,"R119.2"
"R119.3",2043.71225496715,0.482989456402782,0.318408087417277,0.0184322627642483,0.190324471236688,"R119.3"
"R119.4",15951.7737217737,-0.0562539556417423,0.16741201690239,0.677128525563525,0.859108206051982,"R119.4"
"R119.6",820.079600974405,0.275784412712525,0.146309849342452,0.0290224486818816,0.234139371402837,"R119.6"
"R119.5",751.862127311935,-0.0506916440409941,0.214806615581085,0.71704385410371,0.880612322986894,"R119.5"
"Y50C1A.1",1287.58698126049,-0.20670036151757,0.26927039530419,0.155287372199537,0.45432443752939,"Y50C1A.1"
"Y50C1A.2",80.9181505152425,-0.0543800665035843,0.262067015415938,0.608268815399711,0.819041407531061,"Y50C1A.2"
"C07F11.1",1192.42906217769,-0.0182001447433266,0.225897353733797,0.929625548114847,0.972549019613396,"C07F11.1"
"W04C9.4",1162.98382952907,0.0825646967110539,0.220841636821243,0.566807410298039,0.792326465236162,"W04C9.4"
"W04C9.3",4.0557321644428,7.96390491890236e-05,0.279698669565975,0.985879101505167,NA,"W04C9.3"
"W04C9.6",12.9645371422278,0.0101691323188454,0.279175707264762,0.531869010289327,0.771532350584958,"W04C9.6"
"W04C9.2",1779.11155766529,0.302581381536312,0.333628424607069,0.0815285163363285,0.349172109090053,"W04C9.2"
"W04C9.1",3540.83491846443,0.254749433590533,0.228117111488524,0.111866337306477,0.397955895363438,"W04C9.1"
"Y65B4BL.3",129.226846955985,-0.112938290969176,0.251817004947151,0.412048600569236,0.692350749798452,"Y65B4BL.3"
"Y65B4BL.4",132.63392036551,-0.261904984852499,0.420524716864998,0.0495875096800744,0.286221134782699,"Y65B4BL.4"
"Y65B4BL.2",513.26608582255,0.0950687844415204,0.230339455587977,0.508358586678382,0.756989296003434,"Y65B4BL.2"
"Y65B4BL.7",661.914680601743,0.242803980374292,0.299693625924965,0.132824575815973,0.42574282483616,"Y65B4BL.7"
