"TF_name","a","b","c","d","odds_ratio","p_value","padj_BH"
"zip-2",27,51,63,2129,17.8197217021071,3.47934662633123e-20,5.21901993949685e-19
"cebp-1",24,247,66,1933,2.84394567458799,7.38626154413724e-05,0.000553969615810293
"fos-1",56,1033,34,1147,1.82832477453934,0.00391802312739862,0.0195901156369931
"nhr-77",40,710,50,1470,1.65598298822118,0.0140654270935608,0.0456119270736575
"pqm-1",56,1091,34,1089,1.6436742877251,0.0152039756912192,0.0456119270736575
"skn-1",27,485,63,1695,1.49749678407841,0.058478584870499,0.146196462176247
"unc-62",30,566,60,1614,1.42555539396023,0.0779542774135076,0.166483513534636
"ceh-60",53,1120,37,1060,1.35551060004158,0.0982608723935803,0.166483513534636
"sma-9",34,671,56,1509,1.36522827051681,0.0998901081207813,0.166483513534636
"sta-1",6,89,84,2091,1.67768769185695,0.171774886974118,0.257662330461177
"nhr-28",46,1009,44,1171,1.2131999847459,0.214037162424442,0.291868857851512
"elt-2",37,835,53,1345,1.12444374914489,0.332734952329777,0.415918690412221
"pha-4",43,1054,47,1126,0.977397502524474,0.584175018539085,0.674048098314329
"daf-16",49,1243,41,937,0.90095117532015,0.723917366031597,0.775625749319568
"blmp-1",19,766,71,1414,0.494123589313221,0.998468780006505,0.998468780006505
