"TF_name","total_targets","DE_targets","GxE_targets","GxE_pct","odds_ratio","p_value","padj_BH"
"daf-16",6143,1292,49,3.8,0.90095117532015,0.723917366031597,0.775625749319568
"ceh-60",4404,1173,53,4.5,1.35551060004158,0.0982608723935803,0.166483513534636
"pqm-1",4685,1147,56,4.9,1.6436742877251,0.0152039756912192,0.0456119270736575
"pha-4",5853,1097,43,3.9,0.977397502524474,0.584175018539085,0.674048098314329
"fos-1",4712,1089,56,5.1,1.82832477453934,0.00391802312739862,0.0195901156369931
"nhr-28",4353,1055,46,4.4,1.2131999847459,0.214037162424442,0.291868857851512
"elt-2",3485,872,37,4.2,1.12444374914489,0.332734952329777,0.415918690412221
"blmp-1",4651,785,19,2.4,0.494123589313221,0.998468780006505,0.998468780006505
"nhr-77",3791,750,40,5.3,1.65598298822118,0.0140654270935608,0.0456119270736575
"sma-9",3533,705,34,4.8,1.36522827051681,0.0998901081207813,0.166483513534636
"unc-62",2464,596,30,5,1.42555539396023,0.0779542774135076,0.166483513534636
"skn-1",2945,512,27,5.3,1.49749678407841,0.058478584870499,0.146196462176247
"cebp-1",1012,271,24,8.9,2.84394567458799,7.38626154413724e-05,0.000553969615810293
"sta-1",306,95,6,6.3,1.67768769185695,0.171774886974118,0.257662330461177
"zip-2",235,78,27,34.6,17.8197217021071,3.47934662633123e-20,5.21901993949685e-19
