"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class"
"Y74C9A.3",-0.152125651689458,0.677513573878141,-0.277720224604792,0.239856310947264,0.153425019276716,0.699672386500164,0.0195495931685435,0.960565875541326,-0.121309764119277,0.686482849620844,"NS"
"Y74C9A.2",-0.44407428930303,0.0437865394722204,-0.297363024627144,0.134483875737056,0.0296738956305878,0.965832956857071,0.0717608548055852,0.810151138337911,0.0577682412607022,0.855026016391583,"NS"
"Y74C9A.4",-0.339123327344401,0.195167113259229,-0.317011935398354,0.139716587983839,0.0518987504138,0.936989667137598,0.0198616521787751,0.958985008783187,-0.0262684225230753,0.939218220674605,"NS"
"Y74C9A.5",-0.389108061826956,0.498884829578904,-0.927827271119228,0.0283737324704554,0.106625777574192,0.724186177822814,-0.0503161813670335,0.867802247112144,-0.175242715081691,0.446129197263018,"NS"
"Y74C9A.1",0.197015153435881,0.766378603907222,-0.196403189103575,0.639460442623508,-0.0012115525331566,0.985657506041597,-0.0947203688313967,0.536923779571326,-0.0583741709409377,0.567123496736795,"NS"
"Y48G1C.12",-0.629772256327329,0.0283546747790897,-0.262871330422697,0.302180787115731,-0.122843515344492,0.77913167402825,0.0214919227360991,0.958081997705229,0.155311180381284,0.61606327921362,"NS"
"Y48G1C.2",0.116958650734697,0.807670466356346,-0.172094744956824,0.554396119127272,0.0862804887905612,0.864470484787009,-0.0764733854478648,0.801985395589224,-0.196010652183082,0.521302821350464,"NS"
"Y48G1C.10",-0.145788679593264,0.81582093095312,-0.319242128005817,0.376838054643244,-0.0520850026625164,0.908635987435459,-0.147763064785713,0.553977526528017,-0.0909221723625889,0.704246445084756,"NS"
"Y48G1C.6",-0.0178004501994469,0.976398493362974,-0.188598684705037,0.552648832619952,0.0926384660012698,0.84366595839104,-0.0163700084336889,0.966852090124988,-0.108823795893878,0.701985852296187,"NS"
"Y48G1C.9",-0.0663097637753811,0.910242292910223,0.14795860446736,0.66301980033992,-0.0428042899708832,0.942574654552672,0.059058875178355,0.856115497268168,0.117062559180679,0.673386292600283,"NS"
"Y48G1C.1",-0.470178487298436,0.1247215280333,-0.243050274044442,0.344253131768281,-0.0116382566950713,0.990870234170176,0.0535150902273999,0.877783768045981,0.0751383943596077,0.808854675403761,"NS"
"Y48G1C.13",-0.308573481993748,0.51969334970566,0.104022084703126,0.815800597488128,-0.0294339433108214,0.857113127902417,0.0447457834539342,0.792139354240322,0.0585357743036851,0.50917247282941,"NS"
"Y48G1C.8",0.0164321966673357,0.970080720280866,0.303231614543105,0.180397418034478,-0.623887136231371,0.0214888959807375,-0.170633321490553,0.500711871207459,0.248890982501415,0.40840507949619,"NS"
"F53G12.1",0.232903801572816,0.282866110106226,0.46085733520355,0.0051637864909083,-0.443854594395775,0.0281332356410472,-0.142948799167123,0.544154203728198,0.212333974425478,0.408512411395716,"NS"
"F53G12.10",-0.106958593578531,0.774895032755607,0.204851574234632,0.392347587445258,-0.0785381518261109,0.881404337539349,0.126276483295165,0.647546686940572,0.260184482879198,0.386297803771492,"NS"
"F53G12.9",-0.408887961259624,0.436147395301507,0.177122605526809,0.62811997658661,-0.0583567370765142,0.8951953153205,0.152878879913489,0.549612873584231,0.263397258540965,0.335432906106478,"NS"
"F53G12.8",-0.121744368903878,0.683747470219441,-0.352030996413228,0.337050439551666,-0.0248907424627279,0.735375335781679,-0.0700677921236607,0.432572944748374,-0.0173788330042179,0.722922839663737,"NS"
"F53G12.7",-0.0905153953826676,0.870899361182118,0.487947195653443,0.261865543912967,-0.0656622432243708,0.540745766735548,0.0248613738012822,0.908396978073621,0.0870818331751487,0.363059188542151,"NS"
"F53G12.6",-0.101278416370929,0.583942556222742,0.0701417022415541,0.854936567709517,0.00255234481517461,0.997614921711242,0.0398454696849314,0.614666366898809,0.0213740338023993,NA,"NS"
"F53G12.5",0.3351018263797,0.426603239510362,0.132600642800418,0.678847044541907,-0.06659636288961,0.915508991533774,-0.105374077923711,0.711018276228807,-0.0596098719591287,0.85216924935932,"NS"
"F53G12.4",-0.0393541612958283,0.959389028998313,-0.184770042865409,0.657694111444647,-0.00354947023895259,0.994212863162042,-0.0535439081905717,0.810589854924056,-0.0407704360509677,0.786908898195963,"NS"
"F53G12.3",-0.157714144077736,0.588917588037895,0.507165524628475,0.172542818899785,-0.0338970338638696,0.143132402880564,0.00752347096431545,0.958390569695811,0.0500449713767727,0.178793746762605,"NS"
"F56C11.5",-0.288219616630702,0.542553054256052,0.298028747953618,0.342716992294235,-0.537321630924253,0.170455747564451,-0.00232298483941014,0.994931361694488,0.448310567135496,0.250767798738526,"NS"
"F56C11.3",0.153766164035,0.799272981873741,0.116379533571333,0.75592936321249,-0.064432271627007,0.885872219940357,-0.050193476708699,0.879043003095837,0.0104817999442324,0.974267908362607,"NS"
"Y48G1BL.2",0.0938840783514609,0.878189849096255,0.0281293470916239,0.946536691324658,-0.341733254404752,0.338167408897695,-0.271884244208888,0.299973810228408,-0.0171887370862936,0.959546493025152,"NS"
