"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,0.0195495931685435,0.150236587564886,0.842071780747198,0.960565875541326,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,0.0717608548055852,0.135897655456165,0.457539122336319,0.810151138337911,"Y74C9A.2"
"Y74C9A.4",910.174817566004,0.0198616521787751,0.141389410244829,0.837635141898737,0.958985008783187,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.0503161813670335,0.221001609376755,0.570787949153475,0.867802247112144,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.0947203688313967,0.31059375975276,0.130995438450759,0.536923779571326,"Y74C9A.1"
"Y48G1C.12",277.64895104496,0.0214919227360991,0.158971892382526,0.82757476003953,0.958081997705229,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,-0.0764733854478648,0.175871929275784,0.44833492086584,0.801985395589224,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.147763064785713,0.255436409592264,0.143323310172663,0.553977526528017,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.0163700084336889,0.183816060809846,0.865462928584697,0.966852090124988,"Y48G1C.6"
"Y48G1C.9",603.951043251091,0.059058875178355,0.194174400606153,0.543888512170621,0.856115497268168,"Y48G1C.9"
"Y48G1C.1",351.861502423548,0.0535150902273999,0.161437708065813,0.591280442961565,0.877783768045981,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,0.0447457834539342,0.27781110339685,0.431236974640597,0.792139354240322,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,-0.170633321490553,0.166235859453198,0.110501813906109,0.500711871207459,"Y48G1C.8"
"F53G12.1",15106.7185367035,-0.142948799167123,0.128178395585604,0.135448930735554,0.544154203728198,"F53G12.1"
"F53G12.10",174067.526741315,0.126276483295165,0.15898055418741,0.220777890409488,0.647546686940572,"F53G12.10"
"F53G12.9",513.684622439562,0.152878879913489,0.24915838702414,0.13910278246756,0.549612873584231,"F53G12.9"
"F53G12.8",13.5106147790981,-0.0700677921236607,0.337685913348065,0.0739007276803144,0.432572944748374,"F53G12.8"
"F53G12.7",17.9378206270631,0.0248613738012822,0.26939878447892,0.661615774535067,0.908396978073621,"F53G12.7"
"F53G12.6",3.43114085894502,0.0398454696849314,0.313316566718174,0.194994952369652,0.614666366898809,"F53G12.6"
"F53G12.5",1028.53898081512,-0.105374077923711,0.190783635302811,0.30493956994304,0.711018276228807,"F53G12.5"
"F53G12.4",29.3511251866795,-0.0535439081905717,0.257668912669229,0.460488451512801,0.810589854924056,"F53G12.4"
"F53G12.3",5.70503674777331,0.00752347096431545,0.288231853826366,0.83019233405127,0.958390569695811,"F53G12.3"
"F56C11.5",306.905001982936,-0.00232298483941014,0.186824066714773,0.980661529663971,0.994931361694488,"F56C11.5"
"F56C11.3",329.091668186324,-0.050193476708699,0.203687162230824,0.594322842324628,0.879043003095837,"F56C11.3"
"Y48G1BL.2",751.158574413678,-0.271884244208888,0.268034629086876,0.0307775222356137,0.299973810228408,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,0.0589155114034725,0.280910630930643,0.332179321537306,0.731749565067562,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,0.122213647018892,0.214333095495434,0.233557793029243,0.659863549660576,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,0.0416541817240336,0.16405147435866,0.674698199156478,0.912923352727124,"Y48G1BR.1"
"C53D5.2",213.478208031046,0.178323487329106,0.210129631885902,0.108986685718893,0.498060761539824,"C53D5.2"
"C53D5.4",327.900131982468,-0.0489240708487214,0.168960302953088,0.622784451128369,0.891663601360241,"C53D5.4"
"C53D5.1",577.448276768008,-0.0321588524455524,0.158337009847624,0.744983907850358,0.93471319596187,"C53D5.1"
"C53D5.5",828.249212269341,-0.213923424338556,0.216601539304396,0.0652870477000018,0.412193849961365,"C53D5.5"
"C53D5.6",6294.56438115708,0.00361845232471947,0.131097462955847,0.969494134934385,0.993299307345518,"C53D5.6"
"Y48G1A.5",1507.53153289718,-0.107658598177875,0.212217982271561,0.284140960892289,0.69624748373296,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,0.0278330330902801,0.152111666113739,0.777305514211643,0.943236547473221,"Y48G1A.4"
"Y48G1A.3",458.330298384313,0.0194113139702102,0.1597735633233,0.844013414244872,0.960565875541326,"Y48G1A.3"
"Y48G1A.6",204.375797232641,0.0655402124934601,0.201096170683411,0.497475703305257,0.831982629053564,"Y48G1A.6"
"Y48G1A.2",126.901692202831,0.0663236989947094,0.219901752731993,0.469476058950022,0.814959668862877,"Y48G1A.2"
"Y48G1A.1",311.768224510158,-0.0167793956742514,0.17626054293067,0.86370251883936,0.966852090124988,"Y48G1A.1"
"R119.7",536.59111327906,-0.199164550694147,0.193122861436761,0.0773471919196217,0.436419386277124,"R119.7"
"R119.2",788.321913388991,0.0429427149327962,0.1802248914896,0.662155554504041,0.908518913555806,"R119.2"
"R119.3",2043.71225496715,-0.0210552409289164,0.160837407846766,0.831061760170296,0.958390569695811,"R119.3"
"R119.4",15951.7737217737,-0.146011121375114,0.141077331587676,0.144478332906777,0.556554897562696,"R119.4"
"R119.6",820.079600974405,0.0741122611072404,0.106889169865242,0.388528700570466,0.766988732537482,"R119.6"
"R119.5",751.862127311935,-0.0419381167393185,0.166942727417443,0.672521990466009,0.912333969207715,"R119.5"
"Y50C1A.1",1287.58698126049,-0.0228629432501611,0.173146350004188,0.815936344515707,0.953297393787896,"Y50C1A.1"
"Y50C1A.2",80.9181505152425,0.031046205062443,0.21769965526537,0.723108928895831,0.928607047269547,"Y50C1A.2"
"C07F11.1",1192.42906217769,-0.225420507574354,0.234285355340297,0.0563766466282255,0.389739291932209,"C07F11.1"
"W04C9.4",1162.98382952907,0.152188989521255,0.190163125214043,0.158146141044445,0.57429862679313,"W04C9.4"
"W04C9.3",4.0557321644428,0.0389266364742632,0.307078970616358,0.237587779004964,0.664039246127497,"W04C9.3"
"W04C9.6",12.9645371422278,-0.00903828779098544,0.281286538050483,0.832793934272166,0.958390569695811,"W04C9.6"
"W04C9.2",1779.11155766529,0.0250083964385745,0.179130522854282,0.797791445670819,0.949319085738666,"W04C9.2"
