"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,0.153425019276716,0.187068575383058,0.241792271371322,0.699672386500164,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,0.0296738956305878,0.147504788430677,0.801630741854839,0.965832956857071,"Y74C9A.2"
"Y74C9A.4",910.174817566004,0.0518987504138,0.158486194944462,0.667446809736322,0.936989667137598,"Y74C9A.4"
"Y74C9A.5",784.143664153675,0.106625777574192,0.247032191128118,0.269196340643435,0.724186177822814,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.0012115525331566,0.237471167265242,0.886490744763022,0.985657506041597,"Y74C9A.1"
"Y48G1C.12",277.64895104496,-0.122843515344492,0.191080504852916,0.330611692382395,0.77913167402825,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,0.0862804887905612,0.196176150754053,0.485144525875514,0.864470484787009,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.0520850026625164,0.224204261106675,0.583964257574877,0.908635987435459,"Y48G1C.10"
"Y48G1C.6",291.373697823044,0.0926384660012698,0.213274794146859,0.44742589470159,0.84366595839104,"Y48G1C.6"
"Y48G1C.9",603.951043251091,-0.0428042899708832,0.206351110900792,0.688759673309596,0.942574654552672,"Y48G1C.9"
"Y48G1C.1",351.861502423548,-0.0116382566950713,0.174831501582297,0.931433124849145,0.990870234170176,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,-0.0294339433108214,0.240180840012623,0.470236302945244,0.857113127902417,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,-0.623887136231371,0.229919797254734,0.000669890126228785,0.0214888959807375,"Y48G1C.8"
"F53G12.1",15106.7185367035,-0.443854594395775,0.158848561800716,0.000986378688634278,0.0281332356410472,"F53G12.1"
"F53G12.10",174067.526741315,-0.0785381518261109,0.169006529030003,0.519026389996059,0.881404337539349,"F53G12.10"
"F53G12.9",513.684622439562,-0.0583567370765142,0.222261815615633,0.555744347811393,0.8951953153205,"F53G12.9"
