"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,-0.277720224604792,0.209432593237321,0.0885347411263612,0.239856310947264,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,-0.297363024627144,0.176248529635325,0.039880541091438,0.134483875737056,"Y74C9A.2"
"Y74C9A.4",910.174817566004,-0.317011935398354,0.195187596152295,0.0421666140040452,0.139716587983839,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.927827271119228,0.547079898274513,0.00573147520573889,0.0283737324704554,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.196403189103575,0.585051957402505,0.410810013370819,0.639460442623508,"Y74C9A.1"
"Y48G1C.12",277.64895104496,-0.262871330422697,0.225756907246822,0.124552209758789,0.302180787115731,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,-0.172094744956824,0.235681470437203,0.323642017329255,0.554396119127272,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.319242128005817,0.386670522494127,0.172914619587622,0.376838054643244,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.188598684705037,0.271739137127839,0.321343562787444,0.552648832619952,"Y48G1C.6"
"Y48G1C.9",603.951043251091,0.14795860446736,0.277091024041302,0.439420426167121,0.66301980033992,"Y48G1C.9"
"Y48G1C.1",351.861502423548,-0.243050274044442,0.222939455805488,0.151279114993018,0.344253131768281,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,0.104022084703126,0.55085642974006,0.647613474444406,0.815800597488128,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,0.303231614543105,0.204438392391454,0.0594369549836003,0.180397418034478,"Y48G1C.8"
"F53G12.1",15106.7185367035,0.46085733520355,0.158597993898994,0.000759806984493364,0.0051637864909083,"F53G12.1"
"F53G12.10",174067.526741315,0.204851574234632,0.194166604743186,0.18332845715186,0.392347587445258,"F53G12.10"
"F53G12.9",513.684622439562,0.177122605526809,0.329217082632626,0.398957896562943,0.62811997658661,"F53G12.9"
"F53G12.8",13.5106147790981,-0.352030996413228,0.886863614274022,0.145997641653122,0.337050439551666,"F53G12.8"
"F53G12.7",17.9378206270631,0.487947195653443,0.777777509386526,0.100151180052852,0.261865543912967,"F53G12.7"
"F53G12.6",3.43114085894502,0.0701417022415541,0.731949558987979,0.712611949076448,0.854936567709517,"F53G12.6"
"F53G12.5",1028.53898081512,0.132600642800418,0.246391581832726,0.457874031034379,0.678847044541907,"F53G12.5"
"F53G12.4",29.3511251866795,-0.184770042865409,0.476092164835249,0.433554305619369,0.657694111444647,"F53G12.4"
"F53G12.3",5.70503674777331,0.507165524628475,1.06889421214365,0.0560005777537611,0.172542818899785,"F53G12.3"
"F56C11.5",306.905001982936,0.298028747953618,0.305424102982594,0.150185182019359,0.342716992294235,"F56C11.5"
"F56C11.3",329.091668186324,0.116379533571333,0.298039021757328,0.557141924092748,0.75592936321249,"F56C11.3"
"Y48G1BL.2",751.158574413678,0.0281293470916239,0.255667452288491,0.876938405197845,0.946536691324658,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,-0.0616624442259094,0.516407810959332,0.784558495781391,0.896892334051564,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,0.278418460918909,0.312254374015672,0.18231220814345,0.390844308779369,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,0.216674693048826,0.227800475446193,0.205936037062447,0.422196780590085,"Y48G1BR.1"
"C53D5.2",213.478208031046,0.483878501692005,0.302544160998264,0.0251554662482718,0.0942376241006134,"C53D5.2"
"C53D5.4",327.900131982468,0.286296933311989,0.249276605000872,0.117750765380912,0.290981218962322,"C53D5.4"
"C53D5.1",577.448276768008,-0.3142095270267,0.231359755371501,0.0728620435726843,0.207922346848651,"C53D5.1"
"C53D5.5",828.249212269341,-0.840110556660495,0.307131913337392,0.000564004908818622,0.00396441081088304,"C53D5.5"
"C53D5.6",6294.56438115708,0.543489869921098,0.186854207912955,0.000594515561281265,0.0041499517611006,"C53D5.6"
"Y48G1A.5",1507.53153289718,-0.0124103621382841,0.273204501217653,0.947467686830866,0.976927240940523,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,0.0237096923212589,0.187195534243768,0.87422294317528,0.945629535674137,"Y48G1A.4"
"Y48G1A.3",458.330298384313,-0.03748161174073,0.20175931361009,0.811720891029734,0.912178039645706,"Y48G1A.3"
"Y48G1A.6",204.375797232641,-0.493218372800534,0.366917149119599,0.0412057829286827,0.137587530087938,"Y48G1A.6"
"Y48G1A.2",126.901692202831,0.112607242523155,0.328107326762402,0.5871942919982,0.77608645013608,"Y48G1A.2"
"Y48G1A.1",311.768224510158,-0.706904956516649,0.323505001361487,0.00339927252442265,0.0184340477758117,"Y48G1A.1"
"R119.7",536.59111327906,-0.148026979860278,0.212002666015311,0.363258862595453,0.592492288486102,"R119.7"
"R119.2",788.321913388991,0.0551194971023098,0.239595620467341,0.752872610689937,0.879246587026596,"R119.2"
"R119.3",2043.71225496715,0.274823626011971,0.233066098466906,0.116332641229121,0.288661395948601,"R119.3"
"R119.4",15951.7737217737,0.430166125987998,0.179364735490822,0.00399599316261948,0.0211304068328293,"R119.4"
"R119.6",820.079600974405,-0.0490687506701652,0.116642539257938,0.640723678775486,0.811735336811648,"R119.6"
"R119.5",751.862127311935,-0.195464597168037,0.230319047660341,0.256303165928892,0.483326426179788,"R119.5"
"Y50C1A.1",1287.58698126049,0.032044760801377,0.227354793389923,0.850117850086963,0.934595675701725,"Y50C1A.1"
"Y50C1A.2",80.9181505152425,-0.0262559527193387,0.332006106288686,0.898971615316077,0.954529712783968,"Y50C1A.2"
"C07F11.1",1192.42906217769,-0.142294133780814,0.251978172918419,0.432135418549394,0.656999872495223,"C07F11.1"
"W04C9.4",1162.98382952907,-0.0219073724540481,0.214844005524294,0.893572115778191,0.952891653627518,"W04C9.4"
"W04C9.3",4.0557321644428,-0.249831381674157,0.81323928293974,0.255437333412697,0.482417457267482,"W04C9.3"
"W04C9.6",12.9645371422278,-0.100263442485962,0.644602227122739,0.644736181827146,0.814346941963453,"W04C9.6"
"W04C9.2",1779.11155766529,0.0124543202640403,0.238875977349185,0.94314781706678,0.975026075686567,"W04C9.2"
"W04C9.1",3540.83491846443,-0.194265199336708,0.191975682810862,0.203273127752801,0.41879454269275,"W04C9.1"
"Y65B4BL.3",129.226846955985,-0.0542366056127076,0.257266926269915,0.766215201161747,0.887150257782837,"Y65B4BL.3"
"Y65B4BL.4",132.63392036551,-0.379145192932295,0.439967696664585,0.132047086586917,0.314439885116672,"Y65B4BL.4"
"Y65B4BL.2",513.26608582255,-0.00408741084507697,0.225922016251492,0.980692780154916,0.992915550898796,"Y65B4BL.2"
"Y65B4BL.7",661.914680601743,0.202515667888389,0.261057899880856,0.276487505611563,0.50606453469263,"Y65B4BL.7"
